시군명,학교유형명,학교명,장애영역명,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도,홈페이지URL
부천시,공립,부천상록학교,지적장애,경기도 부천시 춘의동 246번지,경기도 부천시 길주로 574,37.50609001,126.805765,http://www.sangrok.sc.kr
부천시,사립,부천혜림학교,지적장애,경기도 부천시 심곡본동 523-99번지,경기도 부천시 경인로304번길 26,37.48090452,126.7886575,http://www.hl.sc.kr
