연번,시설명,소재지,연락처,운영 사업(프로그램),홈페이지(블로그)
1,부천시청소년수련관,장말로 107 (복사골문화센터 2층),032-325-4300,"청소년 문화예술 동아리, 청소년 공정여행 길위의 인생학교, 청소년 공연지원사업 등",youth.bcf.or.kr
2,산울림청소년수련관,역곡로 149-65(춘의동),032-344-4480,"상상학교, 오감충전 여가활동, 오리엔티어링대회 등",www.echoyouth.or.kr
3,소사청소년수련관,소사동로 125(괴안동),032-344-0720,"가족 야영캠프, 청소년국제성취포상제, 메이커스 프로그램 등",www.sosayouth.or.kr
4,부천여성청소년센터,부천로122번길 60(원미동),032-665-0925,"청소년 마을참여연구소,  진로휴먼 북카페, 축제기획단 흥부자 등",www.vomul.or.kr
5,고리울청소년문화의집,고강로132번길 28(고강동),032-682-1886,"24초 영화제, 공연만개, 부천-가와사키 청소년교류 등",www.kumayouth.or.kr
6,송내동청소년문화의집,경인로92번길 33(송내어울마당 3층),032-656-8085,"우리동네 이색놀이터, Up & Down, 아시아국제교류 프로젝트 등",www.sndyouth.or.kr
