번호,지역,행정동,정류소ID,정류소 명칭,안내기유형,세부유형,,,,,,,,
333,원미,역곡동,11390,역곡역북부,LED,표지판일체형,,,,,,,,
334,원미,역곡동,11391,역곡역북부,LCD,독립형,,,,,,,,
335,원미,역곡동,11395,역곡역.역곡북부시장입구,LED,표지판,,,,,,,,
336,원미,역곡동,11396,역곡역.역곡북부시장입구,LCD,독립형,,,,,,,,
337,원미,역곡동,11399,역곡1주민지원센터입구,LCD,독립형,,,,,,,,
338,원미,역곡동,11400,역곡1주민지원센터입구,LCD,독립형,,,,,,,,
339,원미,상동,11401,행복한마을.푸른마을.상일중학교,LCD,쉘터(독립형),,,,,,,,
340,원미,춘의동,11404,까치울역2번출구,LCD,쉘터(독립형),,,,,,,,
341,원미,역곡2동,11406,역곡역북부,LED,쉘터(거치형),,,,,,,,
342,원미,역곡동,11409,농협사거리(마),LCD,쉘터(독립형),,,,,,,,
343,원미,역곡동,11410,역곡감리교회.역곡2동성당,LED,쉘터(거치형),,,,,,,,
344,원미,역곡동,11411,역곡감리교회.역곡2동성당,LED,표지판일체형,,,,,,,,
345,원미,역곡동,11416,가톨릭대학교,LED,쉘터(거치형),,,,,,,,
346,원미,역곡동,11426,가톨릭대학교정문,LED,독립형,,,,,,,,
347,원미,역곡동,11427,국민은행(마),LCD,쉘터(독립형),,,,,,,,
348,원미,역곡2동 52-2,11428,역곡2주민지원센터,LED,독립형,,,,,,,,
349,원미,심곡동,11430,심곡동 행정복지센터.원미초교,LED,쉘터(거치형),,,,,,,,
350,원미,심곡동,11431,심곡동 행정복지센터.원미초교,LED,독립형,,,,,,,,
351,원미,심곡동,11432,부천시민학습원,LED,쉘터(거치형),,,,,,,,
352,원미,심곡동,11433,부천시민학습원,LCD,쉘터(독립형),,,,,,,,
353,원미,중동,11434,계룡리슈빌,LED,쉘터(거치형),,,,,,,,
354,원미,중동,11435,신중동역3번출구.롯데백화점.홈플러스중동지점,LED,쉘터(거치형),,,,,,,,
355,원미,중동,11440,부천시청역4번출구.현대백화점.경기예고,LCD,쉘터(거치형),,,,,,,,
356,원미,중동,11441,부천시청역3번출구.경기예고.현대백화점,LED,쉘터(거치형),,,,,,,,
357,원미,역곡동,11444,역곡안동네,LED,독립형,,,,,,,,
358,원미,역곡동,11445,양문교회,LED,표지판,,,,,,,,
359,원미,약대동,11447,부천테크노파크4단지403동앞,LCD,쉘터(독립형),,,,,,,,
360,원미,약대동,11448,부천테크노파크2단지201동앞,LED,쉘터(거치형),,,,,,,,
361,원미,약대동,11449,부천테크노파크4단지401동앞,LCD,독립형,,,,,,,,
362,원미,도당동,11451,도당소공원,LCD,독립형,,,,,,,,
363,원미,도당동,11453,도당교,LED,독립형,,,,,,,,
364,오정,정동,11454,도당교,LED,독립형,,,,,,,,
365,원미,상동,11456,다정한마을주공아파트,LCD,독립형,,,,,,,,
366,원미,역곡2동,11458,역곡지구대,LED,표지판일체형,,,,,,,,
367,원미,심곡동,11461,부천역북부(기점),LCD+LED,독립형,,,,,,,,
368,원미,상2동 570,11463,하얀마을,LCD,독립형,,,,,,,,
369,원미,심곡동,11467,부천역.심곡동 행정복지센터,LCD,쉘터(독립형),,,,,,,,
370,원미,상동,11468,부천정보산업고교,LCD,쉘터(거치형),,,,,,,,
371,원미,춘의동,11469,부천고용복지플러스센터,LCD,쉘터(독립형),,,,,,,,
372,원미,심곡동,11473,부천대입구,LED,쉘터(거치형),,,,,,,,
373,원미,중동,11474,한양아파트,LED,표지판일체형,,,,,,,,
374,원미,약대동,11475,부천테크노파크2단지,LCD,쉘터(독립형),,,,,,,,
375,원미,중동,11476,천화사.심원고등학교,LED,쉘터(독립형),,,,,,,,
376,원미,상동,11481,송내역.영화의거리,LED,쉘터(거치형),,,,,,,,
377,원미,춘의동,11482,천화사.심원고등학교,LED,쉘터(거치형),,,,,,,,
378,원미,춘의동,11488,춘의가구거리,LCD,쉘터(독립형),,,,,,,,
379,원미,상동,11490,상지초등학교,LED,쉘터(거치형),,,,,,,,
380,원미,상동 5,11491,대림아파트,LED,쉘터(거치형),,,,,,,,
381,원미,중동,11492,포도마을사거리.현대백화점.이마트,LED,쉘터(거치형),,,,,,,,
382,원미,춘의동,11498,조마루사거리,LED,쉘터(거치형),,,,,,,,
383,원미,중동,11499,위브더스테이트9단지,LCD+LED,쉘터(거치형),,,,,,,,
384,원미,도당동,11500,근화아파트,LCD,독립형,,,,,,,,
385,원미,상동,11503,부개6단지후문.웅진플레이,LED,쉘터(거치형),,,,,,,,
386,원미,상동,11504,인천미래생활고등학교,LED,쉘터(거치형),,,,,,,,
387,원미,역곡동,11505,국민은행(마),LCD,쉘터(독립형),,,,,,,,
388,원미,약대동,11506,부천테크노파크2단지200동앞,LED,쉘터(거치형),,,,,,,,
389,원미,도당동,11507,북부도서관,LCD,독립형,,,,,,,,
390,원미,원미동,11509,풍림아파트.부천다문화지원센터,LCD,쉘터(독립형),,,,,,,,
391,원미,원미동,11513,풍림아파트.부천다문화지원센터,LCD,독립형,,,,,,,,
392,원미,중동,11514,팰리스카운티정문,LCD,쉘터(독립형),,,,,,,,
393,원미,상동,11517,상1주민지원센터입구,LED,독립형,,,,,,,,
394,원미,중동,11518,팰리스카운티정문,LCD,쉘터(독립형),,,,,,,,
395,원미,춘의동,11519,중앙그린빌아파트,LCD,쉘터(독립형),,,,,,,,
396,원미,춘의동,11520,중앙그린빌아파트,LCD,쉘터(독립형),,,,,,,,
397,원미,중동,11521,그린타운앞.유베이스,LED,쉘터(거치형),,,,,,,,
398,원미,중동,11522,금호한양상가.유베이스,LED,쉘터(거치형),,,,,,,,
399,원미,상동,11525,사랑마을.신도초교,LCD,독립형,,,,,,,,
400,원미,중4동 1024-1,55078,중원고등학교,LED,쉘터(거치형),,,,,,,,
401,원미,상동 623,55009,부평동중,LED,쉘터(거치형),,,,,,,,
402,원미,원미동,11536,부천동 행정복지센터.원미어울마당,LED,독립형,,,,,,,,
403,원미,원미동,11537,원미지구대,LED,독립형,,,,,,,,
404,원미,원미동,11538,원미지구대,LED,독립형,,,,,,,,
405,원미,원미동,11539,부천동 행정복지센터.원미어울마당,LED,표지판일체형,,,,,,,,
406,원미,상동,11540,한국아파트,LED,쉘터(거치형),,,,,,,,
407,원미,상동,11541,경남아파트,LED,쉘터(거치형),,,,,,,,
408,원미,중동,11542,팰리스카운티.장말문예사거리,LED,쉘터(거치형),,,,,,,,
409,원미,심곡동,11548,부천상상거리,LCD,쉘터(거치형),,,,,,,,
410,원미,약대동,11549,신흥시장,LCD+LED,독립형,,,,,,,,
411,원미,약대동,11551,신흥시장,LCD+LED,쉘터(거치형),,,,,,,,
412,원미,상동,11555,송내역A,LCD+LED,독립형,,,,,,,,
413,원미,상동,11556,송내역B,LCD+LED,독립형,,,,,,,,
414,원미,상동,11557,송내역C,LCD+LED,독립형,,,,,,,,
415,원미,중동,11558,루미아트,LCD+LED,쉘터(거치형),,,,,,,,
416,소사,심곡본동,12508,성지아파트.산성교회입구,LED,쉘터(거치형),,,,,,,,
417,소사,송내동,56131,송내역남부,LCD+LED,쉘터(독립형),,,,,,,,
418,소사,송내동,56005,송내역남부,LCD+LED,쉘터(독립형),,,,,,,,
419,소사,송내동,12003,송내역남부,LED,쉘터(거치형),,,,,,,,
420,소사,송내동,12006,중앙병원입구.송내자이아파트,LED,독립형,,,,,,,,
421,소사,송내동,12007,중앙병원입구.송내자이아파트,LCD,쉘터(독립형),,,,,,,,
422,소사,송내동,12008,송내사거리.송일초등학교,LED,쉘터(거치형),,,,,,,,
423,소사,송내동,12009,송내사거리.중동역,LED,독립형,,,,,,,,
424,소사,송내동,12010,중동역,LCD,쉘터(독립형),,,,,,,,
425,소사,송내동,12011,신한일전기,LED,표지판,,,,,,,,
426,소사,송내동,12012,신한일전기,LCD,독립형,,,,,,,,
427,소사,송내동,12013,중동역,LCD,쉘터(독립형),,,,,,,,
428,소사,송내동,12014,동신아파트,LED,독립형,,,,,,,,
429,소사,송내동,12015,동신아파트,LED,표지판,,,,,,,,
430,소사,송내동,12016,송내e편한세상.부천고,LED,표지판,,,,,,,,
431,소사,송내동,12017,송내사회체육관.부천고.부천공고,LED,쉘터(거치형),,,,,,,,
432,소사,송내동,12018,송내사회체육관.부천고.부천공고,LCD,쉘터(독립형),,,,,,,,
433,소사,송내동,12019,송내e편한세상.부천고,LED,독립형,,,,,,,,
434,소사,송내동,12020,성주초교.부천공고,LED,독립형,,,,,,,,
435,소사,송내동,12021,성주초교.부천공고,LCD,쉘터(독립형),,,,,,,,
436,소사,송내동,12022,영스포렉스,LCD,쉘터(독립형),,,,,,,,
437,소사,송내동,12027,소사경찰서,LCD,쉘터(독립형),,,,,,,,
438,소사,송내동,12030,부천남중학교,LCD,쉘터(독립형),,,,,,,,
439,소사,송내동,12031,부천남중학교,LCD,쉘터(독립형),,,,,,,,
440,소사,심곡본동,12034,정명고.경기경영고,LCD,쉘터(독립형),,,,,,,,
441,소사,심곡본동,12036,심곡고가사거리,LCD,쉘터(독립형),,,,,,,,
442,소사,심곡본동,12037,정명공원,LED,쉘터(거치형),,,,,,,,
443,소사,심곡본동,12038,심곡약국,LED,표지판일체형,,,,,,,,
444,소사,심곡본동,12039,깊은구지사거리,LCD,독립형,,,,,,,,
445,소사,심곡본동,12040,깊은구지사거리,LED,독립형,,,,,,,,
446,소사,심곡본동,12042,소림사,LCD,독립형,,,,,,,,
447,소사,심곡본동,12043,소림사,LED,독립형,,,,,,,,
448,소사,심곡본동,12044,부천자유시장.대산동 행정복지센터,LCD,독립형,,,,,,,,
449,소사,심곡본동,12046,부천자유시장.대산동 행정복지센터,LCD,쉘터(독립형),,,,,,,,
450,소사,심곡본동,12048,극동아파트,LED,독립형,,,,,,,,
451,소사,심곡본동,12049,극동아파트,LCD,독립형,,,,,,,,
452,소사,심곡본동,12050,심곡본주민지원센터.일신교회,LED,독립형,,,,,,,,
453,소사,심곡본동,12051,부천역남부광장,LED,쉘터(거치형),,,,,,,,
454,소사,심곡본동,12052,부천역남부광장,LCD,쉘터(독립형),,,,,,,,
455,소사,심곡본동,12053,부천역남부.부천남초교,LED,독립형,,,,,,,,
456,소사,심곡본동,12054,부천역남부.부천남초교,LED,독립형,,,,,,,,
457,소사,심곡본동,12055,부천역남부,LCD,쉘터(독립형),,,,,,,,
458,소사,심곡본동,12056,부천역남부,LED,독립형,,,,,,,,
459,소사,옥길동,12057,센트리뷰.브리즈힐,LCD+LED,쉘터(거치형),,,,,,,,
460,소사,심곡본동,12058,부천역전우체국,LCD,쉘터(독립형),,,,,,,,
461,소사,소사본동,12059,진영고등학교,LED,쉘터(거치형),,,,,,,,
462,소사,소사본동,12060,진영고등학교,LED,쉘터(거치형),,,,,,,,
463,소사,소사본동,12061,소사본주민지원센터,LED,쉘터(거치형),,,,,,,,
464,소사,소사본동,12062,소사본주민지원센터,LED,쉘터(거치형),,,,,,,,
465,소사,소사본동,12063,부원초등학교,LED,쉘터(거치형),,,,,,,,
466,소사,소사본동,12064,여우고개입구,LED,쉘터(거치형),,,,,,,,
467,소사,소사본동,12065,세종병원.서울신학대학교,LED,쉘터(거치형),,,,,,,,
468,소사,소사본동,12066,부원초등학교,LED,쉘터(거치형),,,,,,,,
469,소사,소사본동,12067,여우고개입구,LED,쉘터(거치형),,,,,,,,
470,소사,소사본동,12068,세종병원.서울신학대학교,LED,쉘터(거치형),,,,,,,,
471,소사,소사본동,12069,소사3거리.세종병원,LED,독립형,,,,,,,,
472,소사,소사본동,12070,소사역,LCD,쉘터(거치형),,,,,,,,
473,소사,소사본동,12071,복사골신협,LED,독립형,,,,,,,,
474,소사,옥길동,12072,브리즈힐.센트리뷰,LCD+LED,쉘터(거치형),,,,,,,,
475,소사,소사본동,12073,소사삼거리.세종병원.서울신학대학,LED,독립형,,,,,,,,
476,소사,소사본동,12074,소사구종점,LED,독립형,,,,,,,,
477,소사,소사본동,12075,소사구종점,LED,독립형,,,,,,,,
478,소사,소사본동,12076,소사역,LED,쉘터(거치형),,,,,,,,
479,소사,소사본동,12077,소사역,LED,독립형,,,,,,,,
480,소사,소사본동,12078,소중3길사거리,LCD,독립형,,,,,,,,
481,소사,소사본동,12079,소사초교앞사거리,LED,쉘터(거치형),,,,,,,,
482,소사,소사본동,12080,소사종합시장,LCD,독립형,,,,,,,,
483,소사,소사본동,12081,하나은행,LED,쉘터(거치형),,,,,,,,
484,소사,소사본동,12082,소사종합시장,LCD,독립형,,,,,,,,
485,소사,소사본동,12084,소사초교앞사거리,LCD,독립형,,,,,,,,
486,소사,소사본동,12085,소중3길사거리,LCD,독립형,,,,,,,,
487,소사,소사본동,12086,소새울역.양우아파트,LED,쉘터(거치형),,,,,,,,
488,소사,소사본동,12087,소새울역.양우아파트,LED,쉘터(거치형),,,,,,,,
489,소사,소사본동,12088,소사초등학교정문,LCD,독립형,,,,,,,,
490,소사,소사본동,12089,소사초등학교정문,LCD,독립형,,,,,,,,
491,소사,소사본동,12090,소새울역.한울빛도서관.복사초등학교,LCD,쉘터(거치형),,,,,,,,
492,소사,소사본동,12091,소새울역.복사초등학교.한울빛도서관,LCD,쉘터(독립형),,,,,,,,
493,소사,소사본동,12092,소사어울마당삼거리.MJ컨벤션,LED,쉘터(거치형),,,,,,,,
494,소사,소사본동,12094,소사고등학교,LCD,쉘터(독립형),,,,,,,,
495,소사,소사본동,12095,소사어울마당삼거리,LED,독립형,,,,,,,,
496,소사,옥길동,12096,산들초등학교,LCD+LED,쉘터(거치형),,,,,,,,
497,소사,소사본동,12097,KCC스위첸아파트.한신아파트,LED,독립형,,,,,,,,
498,소사,소사본동,12098,한신아파트.KCC스위첸아파트,LCD,쉘터(독립형),,,,,,,,
499,소사,소사본동,12099,소사어울마당삼거리.MJ컨벤션,LED,쉘터(거치형),,,,,,,,
500,소사,옥길동,12100,산들초등학교,LCD+LED,쉘터(거치형),,,,,,,,
501,소사,옥길동,12102,제이드카운티1단지,LCD+LED,쉘터(거치형),,,,,,,,
502,소사,옥길동,12103,옥길단독1블럭,LCD+LED,쉘터(거치형),,,,,,,,
503,소사,소사본동,12104,삼익세라믹아파트.SKVIEW아파트,LCD,쉘터(독립형),,,,,,,,
504,소사,소사본동,12105,삼익세라믹아파트.SKVIEW아파트,LED,쉘터(거치형),,,,,,,,
505,소사,괴안동,12106,소사어울마당사거리,LCD,독립형,,,,,,,,
506,소사,괴안동,12108,조공아파트,LED,독립형,,,,,,,,
507,소사,괴안동,12109,조공아파트,LED,독립형,,,,,,,,
508,소사,괴안동,12110,괴안동입구.성심고가,LED,쉘터(거치형),,,,,,,,
509,소사,괴안동,12111,현대정형외과,LED,쉘터(거치형),,,,,,,,
510,소사,괴안동,12112,괴안동입구.성심고가,LED,쉘터(거치형),,,,,,,,
511,소사,괴안동,12113,괴안동입구,LED,표지판,,,,,,,,
512,소사,괴안동,12114,괴안동입구,LED,독립형,,,,,,,,
513,소사,괴안동,12117,괴안사거리.괴안우체국,LCD,독립형,,,,,,,,
514,소사,괴안동,12118,범안동 행정복지센터,LCD,독립형,,,,,,,,
515,소사,괴안동,12119,괴안사거리.삼오유치원,LED,독립형,,,,,,,,
516,소사,괴안동,12120,괴안사거리.삼오유치원,LED,독립형,,,,,,,,
517,소사,괴안동,12121,부천범박힐스테이트입구.동남사거리,LED,독립형,,,,,,,,
518,소사,범박동,12123,부천범박힐스테이트1.2단지,LCD,독립형,,,,,,,,
519,소사,범박동,12124,부천범박힐스테이트1.2단지,LCD+LED,쉘터(거치형),,,,,,,,
520,소사,범박동,12125,범박주민지원센터,LCD,독립형,,,,,,,,
521,소사,범박동,12126,부천범박힐스테이트3.4단지,LED,쉘터(거치형),,,,,,,,
522,소사,범박동,12127,부천범박힐스테이트3.4단지,LED,쉘터(거치형),,,,,,,,
523,소사,범박동,12128,범박주민지원센터,LCD,독립형,,,,,,,,
524,소사,범박동,12129,부천범박힐스테이트5.6단지,LED,쉘터(거치형),,,,,,,,
525,소사,범박동,12130,부천범박힐스테이트5.6단지,LED,독립형,,,,,,,,
526,소사,괴안동,12132,신일해피트리아파트,LED,쉘터(거치형),,,,,,,,
527,소사,괴안동,12133,신일해피트리아파트,LCD,독립형,,,,,,,,
528,소사,괴안동,12134,역곡역.역곡남부시장,LCD,쉘터(독립형),,,,,,,,
529,소사,옥길동,12136,자이.호반베르디움,LCD+LED,쉘터(거치형),,,,,,,,
530,원미,역곡3동,12137,역곡역.역곡남부시장,LED,쉘터(거치형),,,,,,,,
531,소사,괴안동,12138,역곡역,LED,독립형,,,,,,,,
532,소사,옥길동,12139,호반베르디움.자이,LCD+LED,쉘터(거치형),,,,,,,,
533,원미,역곡3동,12141,부안초교.동원주택,LCD,독립형,,,,,,,,
534,소사,괴안동,12142,역곡역남부,LCD,쉘터(거치형),,,,,,,,
535,소사,괴안동,12144,부안초교.동원주택,LCD,독립형,,,,,,,,
536,소사,괴안동,12146,한양슈퍼,LED,독립형,,,,,,,,
537,소사,괴안동,12147,한양슈퍼,LED,독립형,,,,,,,,
538,소사,괴안동,12148,역곡고가입구,LCD,쉘터(거치형),,,,,,,,
539,소사,괴안동,12150,역곡고가입구,LCD,독립형,,,,,,,,
540,소사,괴안동,12153,유한대학교,LCD,쉘터(거치형),,,,,,,,
541,소사,괴안동,12154,유한대학교,LCD,쉘터(거치형),,,,,,,,
542,소사,계수동,12155,계수마을회관,LED,쉘터(거치형),,,,,,,,
543,소사,소사본동,12160,시온고등학교,LCD,쉘터(독립형),,,,,,,,
544,소사,소사본동,12161,소사중학교.주공뜨란채4단지,LED,쉘터(독립형),,,,,,,,
545,소사,소사본동,12162,소사국민체육센터,LED,쉘터(독립형),,,,,,,,
546,소사,소사본동,12163,소사국민체육센터,LCD,쉘터(독립형),,,,,,,,
547,소사,괴안동,12168,괴안사거리.괴안우체국,LCD,쉘터(독립형),,,,,,,,
548,소사,괴안동,12169,동광교회,LCD,독립형,,,,,,,,
549,소사,소사본동,12170,한신시장입구,LED,표지판일체형,,,,,,,,
550,소사,소사본동,12173,소사본3주민지원센터,LED,독립형,,,,,,,,
551,소사,소사본동,12176,주공뜨란채4단지,LCD,쉘터(거치형),,,,,,,,
552,소사,소사본동,12177,부천소사푸르지오,LCD,독립형,,,,,,,,
553,소사,소사본동,12178,소사어울마당.소사본동 행정복지센터,LED,쉘터(거치형),,,,,,,,
554,소사,소사본동,12179,소사어울마당.소사본동 행정복지센터,LCD,쉘터(독립형),,,,,,,,
555,소사,소사본동,12180,소사어울마당사거리,LED,쉘터(거치형),,,,,,,,
556,소사,소사본동,12181,풍림아파트,LED,쉘터(거치형),,,,,,,,
557,소사,소사본동,12182,두산삼성주공아파트,LED,쉘터(거치형),,,,,,,,
558,소사,소사본동,12183,청구아파트,LCD,쉘터(독립형),,,,,,,,
559,소사,소사본동,12184,소새울역.복사초등학교,LED,독립형,,,,,,,,
560,소사,소사본동,12185,수협사거리,LED,표지판일체형,,,,,,,,
561,소사,소사본동,12186,삼신아파트,LED,쉘터(거치형),,,,,,,,
562,소사,소사본동,12195,주공2.뜨란채4단지.소안초등학교,LED,쉘터(거치형),,,,,,,,
563,소사,소사본동,12196,주공2.3단지,LCD,쉘터(독립형),,,,,,,,
564,소사,괴안동,12197,주공2.3단지,LED,쉘터(거치형),,,,,,,,
565,소사,소사본동,12199,주공2단지.창영초등학교,LED,쉘터(거치형),,,,,,,,
566,소사,괴안동,12200,범안동 행정복지센터,LED,독립형,,,,,,,,
567,소사,옥길동,12429,제이드카운티2단지.헤일라움,LCD+LED,쉘터(거치형),,,,,,,,
568,소사,옥길동,12430,옥길단독1블럭,LCD+LED,쉘터(거치형),,,,,,,,
569,소사,심곡본동,12431,부천역전우체국,LED,독립형,,,,,,,,
570,소사,송내동,12432,부천고교.현대아파트,LED,독립형,,,,,,,,
571,소사,옥길동,12436,옥길중.버들초등학교,LCD+LED,쉘터(거치형),,,,,,,,
572,소사,옥길동,12437,옥길단독2블럭.상업지역,LCD+LED,쉘터(거치형),,,,,,,,
573,소사,송내동,12440,부천고교.현대아파트,LCD,독립형,,,,,,,,
574,소사,옥길동,12441,옥길단독2블럭.상업지역,LCD+LED,쉘터(거치형),,,,,,,,
575,소사,소사본동,12443,주공1.뜨란채4단지,LED,쉘터(거치형),,,,,,,,
576,소사,송내동,12444,송내역남부,LED,표지판일체형,,,,,,,,
577,소사,심곡본동,12448,소명지하차도입구,LCD,쉘터(독립형),,,,,,,,
578,소사,심곡본동,12449,심곡동양파라곤,LCD,쉘터(독립형),,,,,,,,
579,소사,괴안동,12452,보강빌라.대흥아트빌,LED,표지판일체형,,,,,,,,
580,소사,괴안동,12456,부안초교입구.범박휴먼시아1단지,LCD,쉘터(독립형),,,,,,,,
581,소사,괴안동,12458,부안초교입구.범박휴먼시아1단지,LED,쉘터(거치형),,,,,,,,
582,소사,소사본동,12462,소사어울마당.소사푸르지오,LED,독립형,,,,,,,,
583,소사,송내동,12475,부천여중.성주중,LED,쉘터(독립형),,,,,,,,
584,소사,송내동,12477,자이아파트,LCD,쉘터(독립형),,,,,,,,
585,소사,송내동,12479,복사골뜨란채아파트,LED,쉘터(거치형),,,,,,,,
586,소사,송내동,12481,부천여중.성주중,LED,쉘터(독립형),,,,,,,,
587,소사,심곡본동,12483,심곡본주민지원센터.일신교회,LCD,독립형,,,,,,,,
588,소사,옥길동,12484,옥길LH1단지.소사치매센터,LCD+LED,쉘터(거치형),,,,,,,,
589,소사,옥길동,12485,옥길LH1단지.소사치매센터,LCD+LED,쉘터(거치형),,,,,,,,
590,소사,범박동,12486,범박동휴먼시아2차,LCD,쉘터(거치형),,,,,,,,
591,소사,범박동,12488,범박고등학교,LED,쉘터(거치형),,,,,,,,
592,소사,범박동,12489,범박고등학교,LED,쉘터(거치형),,,,,,,,
593,소사,범박동,12490,양지마을입구,LED,쉘터(거치형),,,,,,,,
594,소사,범박동,12491,양지마을입구,LED,쉘터(독립형),,,,,,,,
595,소사,범박동,12492,부천범박힐스테이트1.3단지,LED,쉘터(거치형),,,,,,,,
596,소사,범박동,12493,부천범박힐스테이트1.3단지,LED,쉘터(거치형),,,,,,,,
597,소사,괴안동,12494,범박휴먼시아1단지정문,LED,쉘터(거치형),,,,,,,,
598,소사,괴안동,12495,범박휴먼시아1단지정문,LED,쉘터(거치형),,,,,,,,
599,소사,범박동,12496,양지마을,LED,쉘터(거치형),,,,,,,,
600,소사,범박동,12497,양지마을,LED,쉘터(거치형),,,,,,,,
601,소사,소사본동,12498,소사종합시장,LED,표지판일체형,,,,,,,,
602,소사,송내동,12504,송내역남부(광역버스),LED,독립형,,,,,,,,
603,소사,옥길동,12505,센트럴힐,LCD+LED,쉘터(거치형),,,,,,,,
604,오정,삼정동,13001,부천축산물공판장,LED,독립형,,,,,,,,
605,오정,삼정동,13002,부천축산물공판장,LCD,쉘터(독립형),,,,,,,,
606,오정,삼정동,13007,삼정동중소기업협동화단지,LCD,독립형,,,,,,,,
607,오정,신흥동,13009,부천테크노파크1단지100동앞,LED,쉘터(거치형),,,,,,,,
608,오정,삼정동,13010,부천테크노파크3단지300동앞,LED,쉘터(거치형),,,,,,,,
609,오정,삼정동,13013,부천자동차검사소,LED,쉘터(거치형),,,,,,,,
610,오정,삼정동,13014,삼정종합사회복지관,LED,쉘터(거치형),,,,,,,,
611,오정,삼정동,13015,한국화장품연수원.부천아트벙커B39,LCD,쉘터(독립형),,,,,,,,
612,오정,삼정동,13016,한국화장품연수원.부천아트벙커B39,LCD,독립형,,,,,,,,
613,오정,삼정동,13017,삼정초등학교,LCD,독립형,,,,,,,,
614,오정,삼정동,13018,한국화장품연수원,LCD,쉘터(독립형),,,,,,,,
615,오정,삼정동,13019,삼정초등학교,LCD,쉘터(독립형),,,,,,,,
616,오정,삼정동,13020,신흥시장,LCD+LED,쉘터(거치형),,,,,,,,
617,오정,삼정동,13021,제일주유소,LED,표지판일체형,,,,,,,,
618,오정,삼정동,13022,신흥시장,LCD+LED,독립형,,,,,,,,
619,오정,삼정동,13023,종로약국,LCD,독립형,,,,,,,,
620,오정,삼정동,13024,종로약국,LED,독립형,,,,,,,,
621,오정,신흥동,13025,삼정사거리,LED,쉘터(거치형),,,,,,,,
622,오정,삼정동,13026,삼정사거리,LCD,쉘터(독립형),,,,,,,,
623,오정,삼정동,13029,삼정사거리입구,LED,표지판,,,,,,,,
624,오정,내동,13030,삼정사거리입구,LED,표지판,,,,,,,,
625,오정,삼정동,13031,삼정아파트,LED,표지판일체형,,,,,,,,
626,오정,내동,13032,신흥주민지원센터,LCD,쉘터(독립형),,,,,,,,
627,오정,삼정동,13033,신흥주민지원센터,LCD,쉘터(독립형),,,,,,,,
628,오정,내동,13034,약대오거리,LED,쉘터(거치형),,,,,,,,
629,오정,삼정동,13037,내리주유소.한국화장품삼거리,LED,독립형,,,,,,,,
630,오정,내동,13038,내리주유소.한국화장품삼거리,LED,쉘터(거치형),,,,,,,,
631,오정,내동,13039,내동사거리,LCD,독립형,,,,,,,,
632,오정,내동,13040,내동사거리,LCD,쉘터(독립형),,,,,,,,
633,오정,내동,13041,부천IC,LCD,독립형,,,,,,,,
634,오정,신흥동,13042,부천IC,LED,쉘터(거치형),,,,,,,,
635,오정,내동,13043,부천IC,LED,쉘터(거치형),,,,,,,,
636,오정,내동,13044,내동고개,LED,쉘터(거치형),,,,,,,,
637,오정,내동,13045,내동고개,LED,독립형,,,,,,,,
638,오정,오정동,13046,내촌고가입구,LED,쉘터(거치형),,,,,,,,
639,오정,오정동,13047,부천우편집중국.부천실업고,LCD,독립형,,,,,,,,
640,오정,내동,13048,부천우편집중국.부천실업고,LCD,쉘터(독립형),,,,,,,,
641,오정,신흥동,13050,내촌사거리,LED,쉘터(거치형),,,,,,,,
642,오정,오정동,13051,내촌고가밑,LCD,독립형,,,,,,,,
643,오정,내동,13052,내촌사거리,LED,독립형,,,,,,,,
644,오정,오정동,13053,노동복지회관.오정시장,LCD,쉘터(독립형),,,,,,,,
645,오정,오정동,13054,오정동경인OBS방송국,LCD,쉘터(독립형),,,,,,,,
646,오정,오정동,13055,오정시장.노동복지회관,LED,쉘터(거치형),,,,,,,,
647,오정,오정동,13056,오정동경인OBS방송국,LCD,쉘터(독립형),,,,,,,,
648,오정,오정동,13059,금호빌라,LCD,독립형,,,,,,,,
649,오정,오정동,13060,금호빌라,LED,독립형,,,,,,,,
650,오정,오정동,13061,덕산고.봉오대로사거리,LCD,쉘터(독립형),,,,,,,,
651,오정,오정동,13062,덕산고.봉오대로사거리,LED,쉘터(거치형),,,,,,,,
652,오정,오정동,13066,삼하빌라,LED,쉘터(거치형),,,,,,,,
653,오정,오정동,13067,삼하빌라,LED,독립형,,,,,,,,
654,오정,여월동,13072,근화아파트,LED,독립형,,,,,,,,
655,오정,정동,13074,오정동행정복지센터.오정어울마당,LCD,독립형,,,,,,,,
656,오정,오정동,13077,오정동행정복지센터.대명초등학교,LCD,쉘터(독립형),,,,,,,,
657,오정,오정동,13078,오정동행정복지센터.대명초등학교,LED,쉘터(거치형),,,,,,,,
658,오정,여월동,13079,여월중,LED,독립형,,,,,,,,
659,오정,여월동,13080,여월중,LED,독립형,,,,,,,,
660,오정,원종동,13081,신동문아파트,LED,독립형,,,,,,,,
661,오정,여월동,13082,여월농업공원.휴먼시아4단지,LED,쉘터(거치형),,,,,,,,
662,오정,원종동,13083,신동문아파트,LCD,쉘터(독립형),,,,,,,,
663,오정,여월동,13084,여월농업공원.여월휴먼시아4단지,LED,쉘터(거치형),,,,,,,,
664,오정,여월동,13085,영화아파트,LCD,독립형,,,,,,,,
665,오정,정동,13086,원종2주민지원센터.원종사회복지관,LCD,독립형,,,,,,,,
666,오정,원종동,13087,원종2주민지원센터.원종사회복지관,LED,독립형,,,,,,,,
