번호,지역,행정동,정류소ID,정류소 명칭,안내기유형,세부유형,,,,,,,,
62,원미,상동,11074,송내역.로데오거리,LED,쉘터(거치형),,,,,,,,
63,원미,상동,11075,다정한마을.금강아파트,LCD,쉘터(독립형),,,,,,,,
64,원미,상동,11076,다정한마을.금강주공아파트,LCD,쉘터(독립형),,,,,,,,
65,원미,상동,11078,홈플러스상동점,LCD,쉘터(독립형),,,,,,,,
66,원미,상동,11079,법원.검찰청.복사골문화센터.반달마을,LCD,쉘터(독립형),,,,,,,,
67,원미,상동,11080,복사골문화센터.한아름마을,LED,쉘터(거치형),,,,,,,,
68,원미,상동,11082,진달래공원,LED,쉘터(거치형),,,,,,,,
69,원미,상동,11084,사랑마을벽산.선경.삼익아파트,LCD,쉘터(독립형),,,,,,,,
70,원미,상동,11085,상인초등학교.금강아파트,LCD,쉘터(독립형),,,,,,,,
71,원미,상동,11086,반달마을.법원.검찰청,LCD,쉘터(독립형),,,,,,,,
72,원미,상동,46092,법원.검찰청,LCD,쉘터(독립형),,,,,,,,
73,원미,상동,11088,상동역8번출구.세이브존,LED,쉘터(독립형),,,,,,,,
74,원미,중동,11089,포도마을,LCD,쉘터(독립형),,,,,,,,
75,원미,중동,11090,보람마을.신도초교,LCD,쉘터(독립형),,,,,,,,
76,원미,상동,11091,꿈동산.사랑마을,LCD,쉘터(독립형),,,,,,,,
77,원미,상동,11092,석천중학교.진달래신동아아파트,LED,쉘터(거치형),,,,,,,,
78,원미,상동,11094,쌍용아파트,LED,쉘터(거치형),,,,,,,,
79,원미,상동,11095,부천터미널소풍,LCD,쉘터(독립형),,,,,,,,
80,원미,상동,46906,법원.검찰청,LED,쉘터(거치형),,,,,,,,
81,원미,상동,11098,꿈동산.사랑마을,LED,쉘터(독립형),,,,,,,,
82,원미,상동,11099,다정한마을.레미안아파트,LED,쉘터(거치형),,,,,,,,
83,원미,중동,11100,부천터미널소풍,LCD,쉘터(독립형),,,,,,,,
84,원미,상동,11103,솔안공원,LCD,쉘터(독립형),,,,,,,,
85,원미,상동,11105,다정한마을.레미안아파트,LCD,쉘터(독립형),,,,,,,,
86,원미,중동,11107,포도마을.보람마을,LED,쉘터(거치형),,,,,,,,
87,원미,중동,11108,포도마을.보람마을,LED,쉘터(거치형),,,,,,,,
88,원미,중동,55068,금강마을,LED,쉘터(거치형),,,,,,,,
89,원미,상동,11111,솔안공원,LED,독립형,,,,,,,,
90,원미,상동,11112,상도중학교,LCD,쉘터(독립형),,,,,,,,
91,원미,상동,11113,사랑마을후문,LCD,독립형,,,,,,,,
92,원미,상동,11114,상도중학교,LCD,쉘터(독립형),,,,,,,,
93,원미,상동,11115,송내초교.법원입구,LCD,독립형,,,,,,,,
94,원미,상동,11116,송내초등학교,LCD,독립형,,,,,,,,
95,원미,중동,11117,금강마을상가.한라마을,LCD,독립형,,,,,,,,
96,원미,중동,11118,보람마을,LCD,쉘터(독립형),,,,,,,,
97,원미,중동,11119,상주민지원센터.삼광교회,LCD,독립형,,,,,,,,
98,원미,상동,11121,상주민지원센터.삼광교회,LED,쉘터(거치형),,,,,,,,
99,원미,중동,11123,순천향대학병원.부명고,LCD,쉘터(독립형),,,,,,,,
100,원미,중동,11124,상지초등학교,LED,표지판일체형,,,,,,,,
101,원미,중동,11125,부명고.순천향대학병원,LCD,독립형,,,,,,,,
102,원미,중동,11126,경기국제통상고.포도마을뉴서울.중앙공원,LCD,쉘터(독립형),,,,,,,,
103,원미,중동,11128,영안아파트,LCD,독립형,,,,,,,,
104,원미,상동,11130,상동시장.중동역.부천여고,LCD,독립형,,,,,,,,
105,원미,중동,11131,경기국제통상고.포도마을뉴서울.중앙공원,LED,쉘터(거치형),,,,,,,,
106,원미,상동,11132,중동역.부천여고,LCD,독립형,,,,,,,,
107,원미,중동,11133,영안아파트,LCD,독립형,,,,,,,,
108,원미,중동,11134,부천시청역2번출구.현대백화점.이마트,LED,쉘터(거치형),,,,,,,,
109,원미,중동,11135,금강주공아파트,LED,쉘터(거치형),,,,,,,,
110,원미,중동,11137,신중동 행정복지센터.고용노동지청,LCD,쉘터(독립형),,,,,,,,
111,원미,중동,11138,신중동 행정복지센터.고용노동지청,LCD,쉘터(독립형),,,,,,,,
112,원미,약대동,11139,부천체육관.부천초교사거리,LED,쉘터(거치형),,,,,,,,
113,원미,중동,11140,한라마을.덕유마을,LCD,쉘터(독립형),,,,,,,,
114,원미,중동,11141,한라마을.덕유마을,LED,쉘터(거치형),,,,,,,,
115,원미,중동,11142,부천체육관,LCD+LED,쉘터(거치형),,,,,,,,
116,원미,상동,11143,상동시장,LED,독립형,,,,,,,,
117,원미,중동,11144,상동시장,LED,독립형,,,,,,,,
118,원미,중동,11145,중원초교,LCD+LED,쉘터(거치형),,,,,,,,
119,원미,중동,11146,중원초교,LED,쉘터(거치형),,,,,,,,
120,원미,약대동,11147,부천초등학교,LCD+LED,쉘터(거치형),,,,,,,,
121,원미,중동,11148,은하마을.덕유마을,LCD,독립형,,,,,,,,
122,원미,중동,11149,은하마을.덕유마을,LCD,독립형,,,,,,,,
123,원미,약대동,11150,부천초등학교,LCD+LED,쉘터(거치형),,,,,,,,
124,원미,중동,11151,중동시장앞.넘말,LED,쉘터(거치형),,,,,,,,
125,원미,중동,11152,중동시장앞.넘말,LCD,독립형,,,,,,,,
126,원미,중동,11153,부천시청역5번출구,LED,쉘터(독립형),,,,,,,,
127,원미,중동,11155,덕유마을,LED,쉘터(거치형),,,,,,,,
128,원미,중동,11156,덕유마을3단지,LED,쉘터(거치형),,,,,,,,
129,원미,중동,11157,덕유마을상가,LED,쉘터(거치형),,,,,,,,
130,원미,중동,11158,부천시청.중앙공원,LED,쉘터(거치형),,,,,,,,
131,원미,중동,11159,팰리스카운티.부천서초교입구,LCD,쉘터(독립형),,,,,,,,
132,원미,중동,11160,팰리스카운티.장말문예사거리,LED,독립형,,,,,,,,
133,원미,중동,11161,부천시청역1번출구,LED,쉘터(독립형),,,,,,,,
134,원미,약대동,11162,부천아이파크,LCD+LED,쉘터(거치형),,,,,,,,
135,원미,중동,11163,팰리스카운티.부천서초교입구,LCD,쉘터(독립형),,,,,,,,
136,원미,중동,11164,복사골마을,LED,쉘터(거치형),,,,,,,,
137,원미,중동,11165,복사골마을,LCD,독립형,,,,,,,,
138,원미,약대동,11166,부천아이파크,LCD+LED,쉘터(거치형),,,,,,,,
139,원미,중동,11167,팰리스카운티.장말문예사거리,LED,표지판일체형,,,,,,,,
140,원미,중동,11168,그린타운상가.무지개마을,LCD,쉘터(독립형),,,,,,,,
141,원미,중동,11169,그린타운상가.무지개마을,LED,쉘터(거치형),,,,,,,,
142,원미,중동,11170,팰리스카운티.부천중학교,LED,쉘터(거치형),,,,,,,,
143,원미,중동,11171,중흥고교,LCD,쉘터(독립형),,,,,,,,
144,원미,중동,11173,덕유마을3단지,LED,쉘터(거치형),,,,,,,,
145,원미,중동,11174,은하쌍용아파트,LED,쉘터(독립형),,,,,,,,
146,원미,중동,11175,중앙공원.미리내마을,LCD,쉘터(독립형),,,,,,,,
147,원미,중동,11176,중앙공원.미리내마을,LCD,독립형,,,,,,,,
148,원미,중동,11177,중흥고교,LCD,쉘터(독립형),,,,,,,,
149,원미,중동,11178,부천시청,LED,쉘터(거치형),,,,,,,,
150,원미,중동,11179,부천시청,LCD,쉘터(거치형),,,,,,,,
151,원미,중동,11180,은하마을.중흥마을,LCD,쉘터(독립형),,,,,,,,
152,원미,중동,11181,중동행정복지센터.시민회관,LCD,쉘터(독립형),,,,,,,,
153,원미,중동,11182,부천중학교,LED,쉘터(거치형),,,,,,,,
154,원미,중동,11183,덕유마을.설악마을,LCD,쉘터(독립형),,,,,,,,
155,원미,중동,11185,중흥마을.은하마을,LCD,독립형,,,,,,,,
156,원미,중동,11186,계남고교,LED,쉘터(거치형),,,,,,,,
157,원미,중동,11187,설악마을.덕유마을,LCD,쉘터(독립형),,,,,,,,
158,원미,약대동,11188,약대주민지원센터.약대초등학교,LCD,독립형,,,,,,,,
159,원미,약대동,11190,트레지움1단지.다니엘병원,LCD,쉘터(독립형),,,,,,,,
160,원미,약대동,11191,약대주민지원센터.약대초등학교,LCD,독립형,,,,,,,,
161,원미,중동,11192,계남고교,LED,쉘터(거치형),,,,,,,,
162,원미,약대동,11193,트레지움1단지.다니엘병원,LCD,쉘터(독립형),,,,,,,,
163,원미,중동,11194,설악마을.중흥마을,LCD,쉘터(거치형),,,,,,,,
164,원미,중동,11195,그린타운.미리내마을,LED,쉘터(거치형),,,,,,,,
165,원미,중동,11196,그린타운.미리내마을,LED,쉘터(거치형),,,,,,,,
166,원미,중동,11197,미리내마을,LED,쉘터(거치형),,,,,,,,
167,원미,중동,11198,미리내마을,LED,쉘터(거치형),,,,,,,,
168,원미,중동,11199,설악마을.중흥마을,LED,쉘터(거치형),,,,,,,,
169,원미,심곡동,11202,부천중학교,LED,쉘터(거치형),,,,,,,,
170,원미,중동,11203,시민운동장.시민회관,LED,표지판일체형,,,,,,,,
171,원미,중동,11204,시민운동장,LCD,쉘터(독립형),,,,,,,,
172,원미,심곡동,11205,상공회의소,LED,쉘터(거치형),,,,,,,,
173,원미,중동,11207,신중동역4번출구.롯데백화점.홈플러스중동지점,LCD,쉘터(독립형),,,,,,,,
174,원미,중동,11209,부천교육지원청.부천세무서,LED,쉘터(거치형),,,,,,,,
175,원미,중동,11210,계남중학교,LED,쉘터(거치형),,,,,,,,
176,원미,중동,11211,부곡중학교,LED,쉘터(거치형),,,,,,,,
177,원미,중동,11212,부곡중학교,LED,쉘터(거치형),,,,,,,,
178,원미,중동,11213,부천교육지원청.부천세무서,LED,쉘터(거치형),,,,,,,,
179,원미,중동,11214,계남중학교,LED,쉘터(거치형),,,,,,,,
180,원미,중동,11215,한양아파트,LED,쉘터(거치형),,,,,,,,
181,원미,도당동,11216,약대사거리,LED,표지판,,,,,,,,
182,원미,중동,11217,나성빌딩.위브트레지움2단지,LED,쉘터(거치형),,,,,,,,
183,원미,심곡동,11218,부천상공회의소,LED,표지판일체형,,,,,,,,
184,원미,중동,11219,부천세무서,LCD,쉘터(거치형),,,,,,,,
185,원미,약대동,11220,나성빌딩.부천중동래미안,LED,독립형,,,,,,,,
186,원미,약대동,11221,손가면옥,LED,독립형,,,,,,,,
