시군명,구/읍면동명,업종구분명,시설명,교습과정명,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
부천시,중동,학교교과교습학원,TOPLY(토플리)어학보습학원,실용외국어(유아/초·중·고),경기도 부천시 중동 1289번지 팰리스카운티현대아이파크상가 408호.409호 410호,경기도 부천시 원미구 중동로 100 팰리스카운티현대아이파크상가 408호.409호 410호,37.48984732,126.7675778
부천시,중동,학교교과교습학원,워릭어학보습학원,실용외국어(유아/초·중·고),경기도 부천시 중동 1058-4번지 서호빌딩 603호 ~ 608호,경기도 부천시 원미구 길주로 279 서호빌딩 603호 ~ 608호 (중동),37.50376179,126.7737656
부천시,중동,학교교과교습학원,미도움미술학원,미술,경기도 부천시 중동 1208번지 계남아카데미빌딩 206호,"경기도 부천시 원미구 부흥로 256, 계남아카데미빌딩 206호 (중동,계남아카데미빌딩)",37.49492623,126.7707734
부천시,중동,교습소,이인권실용음악교습소,음악,경기도 부천시 중동 1160-3번지 필레오트윈파크 2동 406호,경기도 부천시 소향로 149,37.50209384,126.7641014
부천시,중동,교습소,예음뮤직(Music)피아노교습소,음악,경기도 부천시 중동 1176-2번지 무지개마을동신아파트 상가 2층 201호,경기도 부천시 조마루로 210,37.49781961,126.7668291
부천시,중동,교습소,새상지영어교습소,보습,경기도 부천시 중동 760-17번지 원진빌딩 3층 일부,경기도 부천시 장말로187번길 19,37.49392816,126.7627705
부천시,중동,교습소,피아노스토리피아노교습소,음악,경기도 부천시 중동 852-3번지 헨델피아노 1층 일부,경기도 부천시 심중로27번길 94,37.48670474,126.7685262
부천시,중동,교습소,THE(더)클래식음악교습소,음악,경기도 부천시 중동 1036번지 3층 301호,경기도 부천시 중동로279번길 24,37.50559725,126.767879
부천시,중동,교습소,생각공장영어교습소,보습,경기도 부천시 중동 1113번지 위브더스테이트 상가 7동 223호,경기도 부천시 신흥로 150,37.4976525,126.7781607
부천시,중동,교습소,박쌤수학교습소,보습,경기도 부천시 중동 1180-1번지 미리내마을 상가동 202호,경기도 부천시 조마루로 269,37.49832007,126.7739066
부천시,중동,교습소,EM(이엠)수학교습소,보습,경기도 부천시 중동 1183번지 그린타운 208호,경기도 부천시 중동로 190,37.4961218,126.7693788
부천시,중동,교습소,더블e(이)영어교습소,보습,경기도 부천시 중동 1149번지 부천중동리슈빌엔클래스 209A호 일부,경기도 부천시 길주로 246,37.503231,126.7695715
부천시,중동,교습소,BONAMI(보나미)미술교습소,미술,경기도 부천시 중동 1180-1번지 미리내마을 205상가 205호,경기도 부천시 조마루로 269,37.49832007,126.7739066
부천시,중동,교습소,중동그린타운해법영어교습소,보습,경기도 부천시 중동 1183번지 206호,경기도 부천시 중동로 190,37.4961218,126.7693788
부천시,중동,교습소,미리내e해법수학교습소,보습,경기도 부천시 중동 1179번지 미리내마을 상가동 206호,경기도 부천시 소향로 228,37.49981475,126.7734045
부천시,중동,교습소,부천포도마을해법중국어교습소,실용외국어(유아/초·중·고),경기도 부천시 중동 1170번지 포도마을 2층 일부,경기도 부천시 조마루로 135,37.50101138,126.7590724
