시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,
초등학교,성주초교,경기도 부천시 경인로92번길 83,경기도 부천시 송내2동 439,37.480333,126.767054,부천원미경찰서,Y,22,8,부천시
유치원,"새싹유치원, 연세유치원",경기도 부천시 장말로 329,경기도 부천시 심곡동 448-32번지,37.490953,126.778535,부천원미경찰서,N,0,12,부천시
유치원,샘솔유치원,경기도 부천시 은성로19번길 58,경기도 부천시 소사본동 142-2,37.4776246,126.7935733,부천원미경찰서,N,0,6,부천시
유치원,예능영재유치원,경기도 부천시 삼작로416번길 14,경기도 부천시 원종동 361-16,37.5192027,126.8078005,부천원미경찰서,N,0,6,부천시
유치원,엄지유치원,경기도 부천시 성곡로33번길 22,경기도 부천시 여월동 44-7번지,37.517447,126.79953,부천원미경찰서,Y,4,6,부천시
유치원,중동사랑아트유치원,경기도 부천시 부흥로201번길 23,경기도 부천시 중동 595-4번지,37.497162,126.765182,부천원미경찰서,Y,5,6,부천시
유치원,초록나무유치원,경기도 부천시  상일로 71(상동),"경기도 부천시 상동 397번지 반달마을건영,동아,선경아파트",37.492651,126.750047,부천원미경찰서,Y,5,12,부천시
어린이집,근로복지공단어린이집,경기도 부천시 수도로206번길 54-14,경기도 부천시 도당동 46,37.518002,126.787667,부천원미경찰서,Y,4,6,부천시
어린이집,새별나라어린이집,경기도 부천시 송내대로30번길 84-7,경기도 부천시 송내동 335-21번지,37.485641,126.758178,부천원미경찰서,N,0,6,부천시
초등학교,도당초등학교,경기도 부천시 삼작로268번길 21,경기도 부천시 도당동 106,37.519207,126.791855,부천원미경찰서,Y,14,6,부천시
초등학교,부광초등학교,경기도 부천시 석천로209번길 40,경기도 부천시 중4동 1029-3,37.506806,126.761992,부천원미경찰서,Y,9,12,부천시
초등학교,부천북초등학교,경기도 부천시 원미로131번길 35,경기도 부천시 원미1동 99-1,37.493751,126.788997,부천원미경찰서,Y,12,9,부천시
