연번,노선명,기점,종점,자전거도로종류,총연장길이(km),분리형 자전거도로(m),분리형 보도(m),분리형 유효폭원(m),비분리형 도로폭원(m),비분리형 유효폭원(m)
287,중동로6R,중앙공원 사거리,터미널사거리,겸용도로(비분리형),0.27,0,0,0,3.5,2
288,중동로7R,터미널사거리,문예사거리,겸용도로(비분리형),0.24,0,0,0,5.5,1.9
289,중동로8R,문예사거리,중흥고사거리,겸용도로(비분리형),0.33,0,0,0,3.5,2.1
290,중동로9R,중흥고사거리,투다리,겸용도로(비분리형),0.24,0,0,0,3.4,2
291,중동로10R,투다리,신흥시장사거리,겸용도로(비분리형),0.46,0,0,0,3.5,2.1
292,중동로11R,신흥시장사거리,삼작로79번길,겸용도로(비분리형),0.51,0,0,0,2.9,1.4
293,중동로1L,송내사거리,중동고가교,겸용도로(분리형),0.14,2,7,5.5,0,0
294,중동로2L,중동역,중동사거리,겸용도로(비분리형),0.14,0,0,0,2,2
295,중동로3L,중동사거리,장말문예사거리,겸용도로(분리형),0.44,1.5,4,3,0,0
296,중동로4L,장말문예 사거리,복사골아파트사거리,겸용도로(비분리형),0.32,0,0,0,3.2,1.8
297,중동로5L,복사골아파트사거리,중앙공원사거리,겸용도로(비분리형),0.26,0,0,0,3.5,2
298,중동로6L,중앙공원 사거리,터미널사거리,겸용도로(분리형),0.26,2.5,9.3,7.8,0,0
299,중동로7L,문예사거리,터미널사거리,겸용도로(비분리형),0.24,0,0,0,3.7,2.1
300,중동로8L,중흥고사거리,문예사거리,겸용도로(비분리형),0.34,0,0,0,3.5,2.1
301,중동로9L,투다리,중흥고사거리,겸용도로(비분리형),0.29,0,0,0,3.6,2.2
302,중동로10L,신흥시장사거리,투다리,겸용도로(비분리형),0.46,0,0,0,3.5,1.4
303,중동로11L,삼작로79번길,신흥시장사거리,겸용도로(비분리형),0.51,0,0,0,3,1.4
304,중동로70번길1R,중동고가교,중동역2차푸르지오,겸용도로(분리형),0.1,2,6.5,4.5,0,0
305,중동로70번길2R,중동역2차푸르지오,중동역2차푸르지오,겸용도로(분리형),0.19,1.8,3.8,3.8,0,0
306,중동로70번길3R,중동역2차푸르지오,중동역2차푸르지오,겸용도로(분리형),0.13,2,4,4,0,0
307,경인로117번길1L,중동역2차푸르지오,중동역2차푸르지오,겸용도로(비분리형),0.15,0,0,0,4,3.2
308,경인로1L,송내사거리,삼정공단입구교차로,겸용도로(분리형),0.37,1.5,5,4,0,0
309,경인로10번길1R,송내자이아파트,사단사거리,겸용도로(분리형),0.1,1.3,5,3.7,0,0
310,경인로113번길1L,중동역2차푸르지오,중동역2차푸르지오,겸용도로(비분리형),0.08,0,0,0,4,3.2
311,심중로1R,산우물사거리,부천중사거리,겸용도로(분리형),0.5,1.6,5.5,4.4,0,0
312,심중로2R,부천중사거리,계남고삼거리,겸용도로(분리형),0.35,1,3.5,2,0,0
313,심중로1L,산우물사거리,부천중사거리,겸용도로(분리형),0.5,1.5,4.7,3.5,0,0
314,심중로2L,부천중사거리,계남고삼거리,겸용도로(분리형),0.35,2.5,6,4.5,0,0
315,서촌로20번길1R,송내고교,청지기교회,겸용도로(분리형),0.38,1.5,3.7,3,0,0
316,신흥로1R,하나로마트,던킨도너츠부천중동점,겸용도로(분리형),0.13,2.5,7.1,5,0,0
317,신흥로2R,던킨도너츠부천중동점,계남고가사거리,겸용도로(분리형),0.1,2.6,10.1,6.3,0,0
318,신흥로3R,계남고가사거리,계남고가사거리,겸용도로(분리형),0.04,2.3,0,2.3,0,0
319,신흥로4R,계남고가사거리,교육청사거리,겸용도로(분리형),0.33,2.3,12.4,7.8,0,0
320,신흥로5R,교육청사거리,도서관사거리,겸용도로(분리형),0.12,2.5,9.2,5.3,0,0
321,신흥로6R,도서관사거리,도서관사거리,겸용도로(분리형),0.02,1.5,0,1.5,0,0
322,신흥로7R,도서관사거리,신흥로284번길,겸용도로(분리형),0.07,1.3,3.1,1.6,0,0
323,신흥로8R,신흥로284번길,신흥로284번길,겸용도로(분리형),0.01,1.5,0,1.5,0,0
324,신흥로9R,신흥로284번길,약대교회사거리,겸용도로(비분리형),0.16,0,0,0,4,2.6
325,신흥로10R,약대교회사거리,신풍로335번길,겸용도로(비분리형),0.47,0,0,0,3.8,2.5
326,신흥로11R,산업길사거리,화명테크,겸용도로(분리형),0.29,1.8,5.5,3.5,0,0
327,신흥로12R,화명테크,흥아기연,겸용도로(분리형),0.27,2,5,3.2,0,0
328,신흥로13R,심곡고가교,심곡고가교,겸용도로(비분리형),0.12,0,0,0,2.3,2.3
329,신흥로14R,심곡고가교,전화국사거리,겸용도로(분리형),0.16,1.6,3.3,2.1,0,0
330,신흥로15R,전화국사거리,부천대학교사거리,겸용도로(분리형),0.43,1.6,5,3.8,0,0
331,신흥로16R,부천대학교사거리,소방서사거리,겸용도로(비분리형),0.34,0,0,0,2.6,1.8
332,신흥로17R,소방서사거리,중동리첸시아아파트,겸용도로(분리형),0.12,2.5,7,5.8,0,0
333,신흥로18R,중동리첸시아아파트,신흥고가사거리,겸용도로(분리형),0.23,2.5,11.2,7.5,0,0
334,신흥로19R,신흥고가사거리,두산위브더스테이트,겸용도로(분리형),0.23,2.5,11.2,7.5,0,0
335,신흥로1L,계남고가사거리,먹거리삼거리,겸용도로(분리형),0.19,2.5,11.7,9.2,0,0
336,신흥로2L,계남고가사거리,계남고가사거리,겸용도로(분리형),0.04,2.3,0,2.3,0,0
337,신흥로3L,교육청사거리,계남고가사거리,겸용도로(분리형),0.34,2.5,7.2,5.8,0,0
338,신흥로4L,도서관사거리,교육청사거리,겸용도로(분리형),0.13,2.1,5,4,0,0
339,신흥로5L,약대교회사거리,도서관사거리,겸용도로(비분리형),0.22,0,0,0,4.1,2.6
340,신흥로6L,약대오거리,약대교회사거리,겸용도로(비분리형),0.47,0,0,0,4,2.5
341,신흥로7L,흥아기연,산업길사거리,겸용도로(비분리형),0.61,0,0,0,3.9,2.1
342,신흥로1L,심곡고가교,심곡고가교,겸용도로(분리형),0.12,1.5,0,1.5,0,0
343,신흥로2L,심곡고가교,전화국사거리,겸용도로(분리형),0.16,2,5,3.8,0,0
344,신흥로3L,전화국사거리,부천대학교사거리,겸용도로(분리형),0.43,1.4,4.7,3.4,0,0
345,신흥로4L,부천대학교사거리,소방서사거리,겸용도로(비분리형),0.34,0,0,0,5,3.5
346,신흥로5L,소방서사거리,신흥고가사거리,겸용도로(분리형),0.34,2.8,12,8,0,0
347,신흥로6L,신흥고가사거리,먹거리삼거리,겸용도로(분리형),0.3,2.5,7.2,4.3,0,0
348,소향로1R,코오롱이데아폴리스,중앙사거리,겸용도로(비분리형),0.35,0,0,0,3.5,2.5
349,소향로2R,중앙사거리,중동전화국사거리,겸용도로(비분리형),0.37,0,0,0,3.5,2
350,소향로3R,중동전화국사거리,포도마을사거리,겸용도로(비분리형),0.39,0,0,0,3.4,1.4
351,소향로4R,포도마을사거리,터미널사거리,겸용도로(분리형),0.49,2.5,6,4.6,0,0
352,소향로5R,터미널사거리,국민은행삼거리,겸용도로(분리형),0.51,3.5,7,1.9,0,0
353,소향로6R,국민은행삼거리,먹거리삼거리,겸용도로(비분리형),0.14,0,0,0,3.5,2
354,소향로1L,중앙사거리,코오롱이데아폴리스,겸용도로(비분리형),0.35,0,0,0,3.3,1.8
355,소향로2L,해밀피부재활센터,중앙사거리,겸용도로(비분리형),0.07,0,0,0,3.7,2.4
356,소향로3L,부천터미널삼거리,해밀피부재활센터,겸용도로(비분리형),0.15,0,0,0,3.6,2.3
357,소향로4L,중동전화국사거리,부천터미널삼거리,겸용도로(비분리형),0.11,0,0,0,3.7,2.4
358,소향로5L,중동베네피아오피스텔,중동전화국사거리,겸용도로(비분리형),0.15,0,0,0,3.5,2
359,소향로6L,포도마을사거리,중동베네피아오피스텔,겸용도로(비분리형),0.22,0,0,0,3.5,2
360,소향로7L,부천시청어린이집,포도마을사거리,겸용도로(비분리형),0.13,0,0,0,2.5,2
361,소향로8L,테니스장,부천시청어린이집,겸용도로(분리형),0.18,2,5.5,3.8,0,0
362,소향로9L,터미널사거리,테니스장,겸용도로(비분리형),0.16,0,0,0,3.5,2.1
363,소향로10L,먹거리삼거리,터미널사거리,겸용도로(비분리형),0.67,0,0,0,3.4,2.1
364,조마루로358번길,원미고교,중앙교차로,겸용도로(분리형),0.1,2.5,8,5,0,0
365,부천로1R,춘의사거리,공구상가삼거리,겸용도로(비분리형),0.7,0,0,0,5.4,4
366,부천로2R,공구상가삼거리,도당사거리,겸용도로(비분리형),0.85,0,0,0,5,3.6
367,부천로3R,도당사거리,내촌사거리,겸용도로(비분리형),0.11,0,0,0,5.2,3.4
368,부천로1R,복개천사거리,북교사거리,겸용도로(비분리형),0.27,0,0,0,4.8,3
369,부천로2R,북교사거리,조마루사거리,겸용도로(분리형),0.46,0,0,0,0,0
370,부천로3R,조마루사거리,춘의테크노파크2차,겸용도로(비분리형),0.4,0,0,0,5.7,3.7
371,부천로1L,공구상가삼거리,춘의사거리,겸용도로(비분리형),0.71,0,0,0,5,3
372,부천로2L,도당사거리,공구상가삼거리,겸용도로(비분리형),0.84,0,0,0,5.8,4.6
373,부천로3L,내촌사거리,도당사거리,겸용도로(비분리형),0.12,0,0,0,4.5,3.1
374,부천로4L,대산교회,복개천사거리,겸용도로(분리형),0.06,1.2,4.8,3.4,0,0
375,역곡로1R,역곡북부역사거리,농협사거리,겸용도로(비분리형),0.23,0,0,0,3.5,2.3
376,역곡로2R,농협사거리,역곡초교사거리,겸용도로(비분리형),0.24,0,0,0,3,1.8
377,역곡로3R,역곡초교사거리,역곡초교입구사거리,겸용도로(비분리형),0.06,0,0,0,3,1.8
378,역곡로4R,역곡고교,까치울사거리,겸용도로(비분리형),1.64,0,0,0,2,1.4
379,역곡로5R,까치울사거리,작동교차로,겸용도로(비분리형),0.68,0,0,0,3,2
380,역곡로6R,작동교차로,신작동사거리,겸용도로(비분리형),0.6,0,0,0,3.5,2.2
381,역곡로7R,간대미사거리,국민은행,겸용도로(분리형),0.28,1.7,5,3.5,0,0
382,역곡로8R,국민은행,고리울사거리,겸용도로(분리형),0.4,1.7,5,3.5,0,0
383,역곡로9R,고리울사거리,수주삼거리,겸용도로(비분리형),0.33,0,0,0,3,1.8
384,역곡로10R,수주삼거리,오정대로삼거리,겸용도로(비분리형),0.8,0,0,0,3,1.8
385,역곡로11R,신작동사거리,경인고속도로교차,겸용도로(분리형),0.37,1.8,3,1.7,0,0
386,역곡로12R,경인고속도로교차,간대미사거리,겸용도로(분리형),0.11,1.8,5,3.9,0,0
387,역곡로1L,역곡역북부사거리,농협사거리,겸용도로(비분리형),0.23,0,0,0,4,2.8
388,역곡로2L,농협사거리,역곡초교사거리,겸용도로(분리형),0.23,1.5,3.4,2.1,0,0
389,역곡로3L,역곡초교 사거리,역곡초교입구사거리,겸용도로(비분리형),0.05,0,0,0,3,1.8
390,역곡로4L,역곡초교,까치울사거리,겸용도로(비분리형),1.72,0,0,0,6,4
391,역곡로5L,까치울사거리,보도육교,겸용도로(분리형),0.58,1.5,3,1.8,0,0
392,역곡로6L,보도육교,작동교차로,겸용도로(분리형),0.09,1.5,4,2.8,0,0
393,역곡로7L,작동교차로,신작동사거리,겸용도로(비분리형),0.63,0,0,0,3.5,2.5
394,역곡로8L,간대미사거리,국민은행,겸용도로(분리형),0.27,1.8,5,3.6,0,0
395,역곡로9L,국민은행,고리울사거리,겸용도로(분리형),0.4,1.7,5,3.5,0,0
396,역곡로10L,고리울사거리,오정대로삼거리,겸용도로(비분리형),0.62,0,0,0,3,1.8
397,역곡로11L,까치울사거리,까치울사거리,겸용도로(분리형),0.03,2,0,2,0,0
398,역곡로12L,까치울사거리,까치울사거리,겸용도로(분리형),0.03,2,0,2,0,0
399,역곡로13L,경인고속도로교차,신작동사거리,겸용도로(분리형),0.38,1.8,3,1.8,0,0
400,역곡로14L,간대미사거리,경인고속도로교차,겸용도로(분리형),0.11,1.8,5,3.9,0,0
401,봉오대로1R,중동대로입구,등귀교,겸용도로(비분리형),0.51,0,0,0,3.4,1.9
402,봉오대로2R,등뒤교,흥아기연,겸용도로(분리형),0.9,2,5.6,3.8,0,0
403,봉오대로3R,오정2육교,산업교,겸용도로(분리형),0.19,1.3,3.3,1.9,0,0
404,봉오대로4R,산업교,동산초등학교,겸용도로(분리형),0.2,2.1,3.7,3.7,0,0
405,봉오대로5R,동산초등학교,봉우대로사거리,겸용도로(분리형),0.49,2.1,5,3.6,0,0
406,봉오대로6R,봉우대로사거리,상오정로184번길,겸용도로(분리형),0.82,1.4,3,2.3,0,0
407,봉오대로7R,오정동9-6,원종동116-5,겸용도로(분리형),0.2,1.8,6.4,3.8,0,0
408,봉오대로10R,동문5차아파트,세창짜임아파트,겸용도로(비분리형),0.19,0,0,0,3.5,2.5
409,봉오대로11R,원동IC,고강2교,겸용도로(비분리형),0.19,0,0,0,2,2
410,봉오대로12R,고강2교,오정대로삼거리,겸용도로(분리형),0.6,1.5,4.2,3,0,0
411,봉오대로1L,등뒤교,흥아기연,겸용도로(비분리형),0.48,0,0,0,3.4,1.9
412,봉오대로2L,등뒤교,중동대로입구,겸용도로(분리형),0.7,2,5.5,3.7,0,0
413,봉오대로3L,동아정밀공업,오정2육교,겸용도로(분리형),0.43,3.5,7.1,7.1,0,0
414,봉오대로4L,봉오대로사거리,동부라이텍,겸용도로(비분리형),0.23,0,0,0,4.5,3.3
415,봉오대로5L,봉오대로사거리,동산초등학교,겸용도로(분리형),0.25,2,6.3,4.5,0,0
416,봉오대로6L,원종동116-5,봉오대로사거리,겸용도로(분리형),0.67,2,5.2,3.9,0,0
417,봉오대로7L,원종IC,고강2교,겸용도로(비분리형),0.18,0,0,0,2,2
418,봉오대로8L,고강2교,오정대로삼거리,겸용도로(분리형),0.68,2,5.5,4,0,0
419,봉오대로9L,오정대로삼거리,SK주유소,겸용도로(분리형),0.44,2,5.5,4,0,0
420,봉오대로 556번길,SK주유소,가로공원로,겸용도로(비분리형),0.42,0,0,0,2,1.3
421,길주로1R,삼산체육관사거리,중동IC,겸용도로(분리형),0.41,2.1,6.7,4.2,0,0
422,길주로2R,중동IC,중동IC,겸용도로(비분리형),0.05,0,0,0,5.2,5.2
423,길주로3R,중동IC,중동IC,겸용도로(비분리형),0.08,0,0,0,4.5,4.1
424,길주로4R,중동IC,중동IC,겸용도로(비분리형),0.02,0,0,0,4.5,4.1
425,길주로5R,중동IC,중동IC,겸용도로(비분리형),0.09,0,0,0,2.2,1.8
426,길주로6R,중동IC,중동IC,겸용도로(비분리형),0.35,0,0,0,7.5,2.2
427,길주로7R,상동역,뉴코아아울렛부천점,겸용도로(분리형),0.26,2.5,14.6,9.9,0,0
428,길주로8R,뉴코아아울렛부천점,중동대로사거리,겸용도로(분리형),0.11,2,11.1,8.2,0,0
429,길주로9R,중동대로사거리,현대백화점중동점,겸용도로(분리형),0.1,2.5,7.6,4.5,0,0
430,길주로10R,현대백화점중동점,석천사거리,겸용도로(분리형),0.22,2.3,4.3,2.3,0,0
431,길주로11R,석천사거리,부천시청,겸용도로(비분리형),0.12,0,0,0,7,4.8
432,길주로12R,부천시청,부천시,겸용도로(비분리형),0.18,0,0,0,9.8,5.5
433,길주로13R,부천시청,문예사거리,겸용도로(분리형),0.13,2.5,15.1,8.2,0,0
434,길주로14R,문예사거리,계남고가사거리,겸용도로(분리형),0.57,2.5,12.5,7.9,0,0
435,길주로15R,계남고가사거리,계남고가사거리,겸용도로(분리형),0.04,2.5,0,2.5,0,0
436,길주로16R,계남고가사거리,부천원미경찰서,겸용도로(분리형),0.08,7.2,2.5,5.1,0,0
437,길주로17R,부천원미경찰서,꿈마을사거리,겸용도로(분리형),0.2,2.5,7.4,5.3,0,0
438,길주로18R,꿈마을사거리,안남사거리,겸용도로(분리형),0.16,2.5,7.5,6.1,0,0
439,길주로19R,안남사거리,춘의사거리,겸용도로(분리형),0.38,2.4,7.4,6,0,0
440,길주로20R,춘의사거리,드라마갤러리,겸용도로(분리형),0.5,1.5,4.5,3.1,0,0
441,길주로21R,드라마갤러리,종합운동장사거리,겸용도로(비분리형),0.3,0,0,0,5,3.6
442,길주로22R,부천종합운동장역,앞뜰장작구이마을,겸용도로(분리형),0.6,1.5,4,2.8,0,0
443,길주로23R,부천상록고교,까치울사거리,겸용도로(분리형),0.55,1.5,4,2.8,0,0
444,길주로24R,까치울사거리,까치울사거리,겸용도로(분리형),0.3,2,0,2,0,0
445,길주로25R,까치울사거리,계남주유소,겸용도로(비분리형),0.17,0,0,0,3,1.8
446,길주로1L,중동IC,삼산체육관사거리,겸용도로(분리형),0.43,2,6.6,4.4,0,0
447,길주로2L,중동IC,중동IC,겸용도로(비분리형),0.11,0,0,0,2.6,2.6
448,길주로3L,중동IC,중동IC,겸용도로(비분리형),0.08,0,0,0,4.5,4.1
449,길주로4L,중동IC,중동IC,겸용도로(비분리형),0.02,0,0,0,4.5,4.1
450,길주로5L,중동IC,중동IC,겸용도로(비분리형),0.03,0,0,0,2.2,2.2
451,길주로6L,상동역사거리,중동IC,겸용도로(분리형),0.35,2.1,14.3,7.6,0,0
452,길주로7L,중동대로사거리,상동역사거리,겸용도로(분리형),0.36,2.5,16.6,9.9,0,0
453,길주로8L,경기예술고등학교,중동대로사거리,겸용도로(분리형),0.11,2.5,7.5,6.1,0,0
454,길주로9L,석천사거리,경기예술고등학교,겸용도로(분리형),0.22,2.4,15,8.3,0,0
455,길주로10L,석천사거리,계남고가사거리,겸용도로(분리형),0.49,8.5,15,2.6,0,0
456,길주로11L,계남고가사거리,문예사거리,겸용도로(분리형),0.54,2.5,12.5,5.8,0,0
457,길주로12L,계남고가사거리,계남고가사거리,겸용도로(분리형),0.04,2.3,0,2.3,0,0
458,길주로13L,꿈마을사거리,계남고가사거리,겸용도로(분리형),0.3,2.3,17.3,10.2,0,0
459,길주로14L,안남사거리,꿈마을사거리,겸용도로(분리형),0.13,2.6,14.9,12,0,0
460,길주로15L,춘의사거리,안남사거리,겸용도로(분리형),0.36,2.4,6.6,5.2,0,0
461,길주로16L,종합운동장사거리,춘의사거리,겸용도로(분리형),0.85,3,4.2,3,0,0
462,길주로17L,부천종합운동장역,앞뜰장작구이마을,겸용도로(분리형),0.6,1.5,4,2.8,0,0
463,길주로18L,앞뜰장작구이마을,오일뱅크셀프주유소,겸용도로(비분리형),0.3,0,0,0,3,1.8
464,길주로19L,열방교회,까치울사거리,겸용도로(비분리형),0.21,0,0,0,3.2,2
465,길주로20L,까치울사거리,까치울사거리,겸용도로(분리형),0.03,2,0,2,0,0
466,길주로21L,까치울사거리,생태박물관삼거리,겸용도로(분리형),0.36,1.5,5.5,4.3,0,0
467,여월로1R,여월휴먼시아,여월1교,겸용도로(분리형),0.75,1.5,4,2.8,0,0
468,여월로2R,여월1교,작동교차로,겸용도로(분리형),0.45,1.5,4,2.8,0,0
469,여월로3R,작동교차로,까치울터널,겸용도로(분리형),1,1.4,4,2.8,0,0
470,여월로1L,여월휴먼시아,여월1교,겸용도로(분리형),0.71,1.5,4,2.8,0,0
471,여월로2L,여월1교,작동교차로,겸용도로(분리형),0.45,1.5,4,2.8,0,0
472,여월로3L,작동교차로,까치울터널,겸용도로(분리형),1,1.5,4,3,0,0
473,소사로819 번길1R,동문5차아파트,이스트힐아파트,겸용도로(분리형),0.65,1,2.5,1.5,0,0
474,소사로819 번길1L,원일초교,원일초교,겸용도로(분리형),0.14,2,5,1.8,0,0
475,삼작로1R,지역난방공사삼거리,열병합발전소삼거리,겸용도로(분리형),0.16,2.6,6.6,4.2,0,0
476,삼작로2R,열병합발전소삼거리,소각장사거리,겸용도로(분리형),0.28,2.5,6.5,3.8,0,0
477,삼작로3R,소각장사거리,삼작로79번길,겸용도로(비분리형),0.22,0,0,0,4.5,4.1
478,삼작로4R,삼작로79번길,삼정사거리,겸용도로(비분리형),0.41,0,0,0,5,3.4
479,삼작로5R,내동사거리,삼오정삼거리,겸용도로(분리형),0.46,5.6,2.6,4.1,0,0
480,삼작로6R,삼오정삼거리,내촌사거리,겸용도로(비분리형),0.4,0,0,0,6,4.5
481,삼작로7R,도당소공원사거리,주주총회횟집,겸용도로(비분리형),0.66,0,0,0,3,1.8
482,삼작로8R,원담사거리,신작동사거리,겸용도로(비분리형),0.46,0,0,0,3,1.6
483,삼작로9R,신작동사거리,종점어린이공원,겸용도로(분리형),0.41,3,1.4,1.6,0,0
484,삼작로1L,소각장사거리,지역난방공사삼거리,겸용도로(비분리형),0.48,0,0,0,4.1,3.7
485,삼작로2L,내동사거리,소각장사거리,겸용도로(비분리형),0.65,0,0,0,4.2,2.7
486,삼작로3L,내촌사거리,내동사거리,겸용도로(비분리형),0.79,0,0,0,6.3,4.7
487,삼작로4L,도당소공원사거리,내촌사거리,겸용도로(비분리형),0.26,0,0,0,3.1,1.7
488,삼작로5L,주주총회횟집,도당소공원사거리,겸용도로(비분리형),0.62,0,0,0,3,1.8
489,삼작로6L,로얄아파트,원종초교앞교차로,겸용도로(비분리형),0.28,0,0,0,2.1,1.5
490,삼작로7L,신작동사거리,로얄아파트,겸용도로(비분리형),0.19,0,0,0,3,1.6
491,삼작로8L,종점어린이공원,신작동사거리,겸용도로(비분리형),0.41,0,0,0,4.2,1.7
492,오정로1R,오일뱅크,덕산고등학교,겸용도로(비분리형),0.5,0,0,0,3,1.7
493,오정로2R,덕산고등학교교차로,봉오대로사거리,겸용도로(비분리형),0.27,0,0,0,2.5,1.3
494,오정로1L,우편집중국삼거리,산업길사거리,겸용도로(비분리형),0.46,0,0,0,3,1.6
495,오정로2L,덕산고등학교교차로,우편집중국삼거리,겸용도로(비분리형),0.34,0,0,0,6.1,1
496,오정로3L,봉우대로사거리,덕산고등학교교차로,겸용도로(분리형),0.25,1.2,4,2.6,0,0
497,오정로4L,오정로산업로교차,봉오대로사거리,겸용도로(비분리형),0.1,0,0,0,2,0.9
498,오정로5L,하오정교,오정로산업로교차,겸용도로(비분리형),0.62,0,0,0,2,0.8
499,평천로1R,GS칼텍스,호수로삼거리,겸용도로(비분리형),0.39,0,0,0,4.2,2.7
500,평천로2R,호수로삼거리,부천체육관사거리,겸용도로(분리형),0.42,2,6.3,4.9,0,0
501,평천로3R,부천체육관사거리,부천초교사거리,겸용도로(비분리형),0.24,0,0,0,3.5,2.3
502,평천로4R,부천초교사거리,신흥시장사거리,겸용도로(분리형),0.47,1.5,5.1,3.6,0,0
503,평천로5R,신흥시장사거리,약대오거리,겸용도로(비분리형),0.39,0,0,0,3.4,2
504,평천로1L,부천체육관사거리,GS칼텍스,겸용도로(비분리형),0.9,0,0,0,4.3,2.9
505,평천로2L,신진중동자동차운전전문학원,부천체육관사거리,겸용도로(비분리형),0.15,0,0,0,3.5,2.1
506,평천로3L,부천초교사거리,신진중동자동차운전전문학원,겸용도로(비분리형),0.05,0,0,0,3.6,2.2
507,평천로4L,신흥시장사거리,부천초교사거리,겸용도로(분리형),0.48,1.4,5.1,3.3,0,0
508,평천로5L,약대오거리,신흥시장사거리,겸용도로(비분리형),0.43,0,0,0,3.5,2.1
509,도약로1R,도약삼거리,굴포로사거리,겸용도로(분리형),0.37,2,5.5,4.2,0,0
510,도약로2R,굴포로사거리,중원고사거리,겸용도로(분리형),0.42,2,5.5,4.2,0,0
511,도약로3R,도약로163번길,투다리,겸용도로(비분리형),0.16,0,0,0,3.6,2.2
512,도약로4R,투다리,약대교회사거리,겸용도로(분리형),0.44,2,5,3.5,0,0
513,도약로1L,굴포로사거리,도약삼거리,겸용도로(분리형),0.44,2,5.5,2.2,0,0
514,도약로2L,중원고사거리,굴포로사거리,겸용도로(분리형),0.42,2,5.5,4.2,0,0
515,도약로3L,중원초교사거리,중원고사거리,겸용도로(분리형),0.35,2.5,6.1,4.7,0,0
516,도약로4L,투다리,중원초교사거리,겸용도로(분리형),0.42,2.5,6.1,4.7,0,0
517,도약로5L,GS25부천약대점,투다리,겸용도로(분리형),0.22,1.5,3,3,0,0
518,도약로6L,약대교회사거리,GS25부천약대점,겸용도로(비분리형),0.18,0,0,0,3,1.5
519,계남로1R,길주삼거리,석천초교사거리,겸용도로(비분리형),0.45,0,0,0,3.5,2.2
520,계남로2R,석천초교사거리,길주사거리,겸용도로(비분리형),0.4,0,0,0,3.5,2.2
521,계남로2L,길주사거리,석천초교사거리,겸용도로(분리형),0.41,2,5.5,4.2,0,0
522,계남로1L,석천초교사거리,길주사거리,겸용도로(비분리형),0.45,0,0,0,3.5,2.2
523,상동로117번길1R,고두마리삼거리,영광사거리,겸용도로(비분리형),0.37,0,0,0,3,1.8
524,상동로117번길1L,영광사거리,고두마리삼거리,겸용도로(비분리형),0.37,0,0,0,2.9,1.7
525,상오정로1R,서문아파트,예심교회,겸용도로(비분리형),0.52,0,0,0,2.2,1.5
526,상오정로1L,예심교회,,겸용도로(비분리형),0.52,0,0,0,2.2,1.5
527,상오정로2L,오정레포츠,예심교회,겸용도로(비분리형),0.13,0,0,0,5.4,4.4
528,상오정로3L,성오정로184번길,오정레포츠,겸용도로(분리형),0.13,1.2,3.2,1.8,0,0
529,수도로1R,도약로175번길,수돗길사거리,겸용도로(분리형),0.28,1.5,4.6,3.1,0,0
530,수도로2R,수돗길사거리,약대오거리,겸용도로(비분리형),0.35,0,0,0,3,1.8
531,수도로3R,약대오거리,태양공구사거리,겸용도로(비분리형),0.43,0,0,0,2,1.2
532,수도로4R,태양공구사거리,도당사거리,겸용도로(비분리형),0.39,0,0,0,4.9,3.8
533,수도로5R,도당사거리,도당소공원사거리,겸용도로(분리형),0.32,1.4,5,3.9,0,0
534,수도로1L,수돗길사거리,도약로175번길,겸용도로(비분리형),0.26,0,0,0,3,1.8
535,수도로2L,약대오거리,수돗길사거리,겸용도로(비분리형),0.39,0,0,0,3,1.8
536,수도로3L,태양공구사거리,약대오거리,겸용도로(비분리형),0.5,0,0,0,5.1,3.9
537,수도로4L,도당사거리,태양공구사거리,겸용도로(비분리형),0.46,0,0,0,5,3.6
538,수도로5L,도당소공원사거리,도당사거리,겸용도로(비분리형),0.24,0,0,0,5.2,3.8
539,산업로1R,화명테크,CU부천오정산업단지점,겸용도로(비분리형),0.14,0,0,0,3,1.4
540,산업로2R,CU부천오정산업단지점,고려반도체시스템,겸용도로(비분리형),0.46,0,0,0,3,1.4
541,산업로3R,고려반도체시스템,산업로104번길,겸용도로(분리형),0.33,1.1,3,1.5,0,0
542,산업로4R,산업로104번길,오정로교차,겸용도로(비분리형),0.51,0,0,0,2,1.3
543,산업로1L,CU부천오정산업단지 ,화명테크,겸용도로(비분리형),0.15,0,0,0,3,1.4
544,산업로2L,오정로교차,CU부천오정산업단지 ,겸용도로(비분리형),1.39,0,0,0,3,1.5
545,성곡로1R,성곡삼거리,새마을금고,겸용도로(분리형),0.78,1.2,3,1.7,0,0
546,성곡로1L,여월초교앞교차로,성곡삼거리,겸용도로(분리형),0.52,1.5,4,2.9,0,0
547,성곡로2L,새마을금고,여월초교앞교차로,겸용도로(분리형),0.23,1.3,2.9,1.6,0,0
548,체육관로1R,진산중사거리,진산교사거리,겸용도로(비분리형),0.62,0,0,0,2,1.4
549,체육관로2R,진산교사거리,삼산4교,겸용도로(분리형),0.22,2,5.1,3.7,0,0
550,성오로1R,예심교회,덕산중학교,겸용도로(비분리형),0.2,0,0,0,2.4,1.7
551,성오로2R,덕산중학교,오정대공원,겸용도로(비분리형),0.06,0,0,0,2.9,2.9
552,성오로3R,오정대공원,덕산어린이공원,겸용도로(분리형),0.17,2.2,5,5,0,0
553,성오로1L,베리내사거리,명신아파트,겸용도로(분리형),0.14,2.2,5,3.4,0,0
554,성오로2L,예심교회,배리네사거리,겸용도로(분리형),0.7,2.2,5,3.4,0,0
