연번,노선명,기점,종점,자전거도로종류,총연장길이(km),분리형 자전거도로(m),분리형 보도(m),분리형 유효폭원(m),비분리형 도로폭원(m),비분리형 유효폭원(m)
91,옥길로5R,옥길브리즈힐,옥길브리즈힐,겸용도로(분리형),0.01,2,0,2,0,0
92,옥길로6R,옥길브리즈힐,옥길브리즈힐,겸용도로(분리형),0.01,2,0,2,0,0
93,옥길로7R,퀸즈파크옥길,퀸즈파크옥길,겸용도로(분리형),0.02,2,0,2,0,0
94,옥길로8R,퀸즈파크옥길,퀸즈파크옥길,겸용도로(분리형),0.14,1.5,5,4,0,0
95,옥길로9R,옥길로,옥길로,겸용도로(분리형),0.01,2,0,2,0,0
96,옥길로10R,옥길로,옥길로,겸용도로(분리형),0.03,2,0,2,0,0
97,옥길로1L,옥길호반베르디움,옥길동시계교차로,겸용도로(분리형),0.12,1.5,5,4,0,0
98,옥길로2L,옥길시계교차로,옥길시계교차로,겸용도로(분리형),0.03,2,0,2,0,0
99,옥길로3L,옥길시계교차로,옥길시계교차로,겸용도로(분리형),1.2,1.5,5,4,0,0
100,옥길로4L,옥길산들초교,옥길산들초교,겸용도로(분리형),0.02,2,0,2,0,0
101,옥길로5L,옥길브리즈힐,옥길브리즈힐,겸용도로(분리형),0.02,2,0,2,0,0
102,옥길로6L,옥길브리즈힐,옥길브리즈힐,겸용도로(분리형),0.01,2,0,2,0,0
103,옥길로7L,퀸즈파크옥길,퀸즈파크옥길,겸용도로(분리형),0.02,2,0,2,0,0
104,옥길로8L,퀸즈파크옥길,역곡교,겸용도로(분리형),0.2,1.5,5,4,0,0
105,옥길로9L,옥길로,옥길로,겸용도로(분리형),0.02,2,0,2,0,0
106,옥길로1C,옥길산들초교,옥길산들초교,겸용도로(분리형),0.02,2,0,2,0,0
107,옥길로2C,옥길산들초교,옥길산들초교,겸용도로(분리형),0.02,2,0,2,0,0
108,옥길로3C,옥길브리즈힐,옥길브리즈힐,겸용도로(분리형),0.02,2,0,2,0,0
109,옥길로4C,옥길브리즈힐,옥길브리즈힐,겸용도로(분리형),0.02,2,0,2,0,0
110,옥길로5C,옥길브리즈힐,옥길브리즈힐,겸용도로(분리형),0.02,2,0,2,0,0
111,옥길로6C,옥길브리즈힐,옥길브리즈힐,겸용도로(분리형),0.02,2,0,2,0,0
112,옥길로7C,퀸즈파크옥길,퀸즈파크옥길,겸용도로(분리형),0.02,2,0,2,0,0
113,옥길로8C,퀸즈파크옥길,퀸즈파크옥길,겸용도로(분리형),0.02,2,0,2,0,0
114,범안로1R,옥길동시계교차로,옥길동시계교차로,겸용도로(분리형),0.02,2,0,2,0,0
115,범안로2R,이마트,이마트,겸용도로(분리형),0.02,2,0,2,0,0
116,범안로3R,옥길동시계교차로,옥길자이아파트,겸용도로(분리형),0.4,1.5,5,4,0,0
117,범안로4R,계수삼거리,범박지구대,겸용도로(비분리형),0.27,0,0,0,2.8,2.8
118,범안로5R,범박지구대,범박사거리,겸용도로(분리형),0.32,1.5,2.8,1.9,0,0
119,범안로1L,옥길동시계교차로,옥길동시계교차로,겸용도로(분리형),0.02,2,0,2,0,0
120,범안로2L,이마트,이마트,겸용도로(분리형),0.02,2,0,2,0,0
121,범안로3L,옥길동시계교차로,옥길자이아파트,겸용도로(분리형),0.41,1.5,5,4,0,0
122,범안로4L,계수삼거리,범박지구대,겸용도로(분리형),0.25,1.5,3,1.8,0,0
123,범안로4-1L,시온사거리,범박지구대,겸용도로(비분리형),0.18,0,0,0,2,1.4
124,범안로4-2L,시온사거리,범박지구대,겸용도로(분리형),0.18,0.8,3.1,2.5,0,0
125,범안로5L,범박지구대,범박사거리,겸용도로(분리형),0.31,1.5,2.8,1.9,0,0
126,범안로6L,범박사거리,동남사거리,겸용도로(분리형),0.22,1.5,2.8,1.9,0,0
127,은성로1R,계수삼거리,범박힐스테이트5단지,겸용도로(분리형),0.19,1.5,3,1.8,0,0
128,은성로2R,범박힐스테이트5단지,시온사거리,겸용도로(분리형),0.24,1.5,3,1.8,0,0
129,은성로3R,시온사거리,시온삼거리,겸용도로(분리형),0.22,1.5,3,1.8,0,0
130,은성로4R,소사주공사거리,소사주공사거리,겸용도로(분리형),0.02,2,0,2,0,0
131,은성로1L,계수삼거리,범박힐스테이트5단지,겸용도로(분리형),0.22,1.5,3,1.8,0,0
132,은성로2L,범박힐스테이트5단지,시온사거리,겸용도로(분리형),0.25,1.5,3,1.8,0,0
133,은성로2-1L,시온사거리,시온고교,겸용도로(비분리형),0.13,0,0,0,2,1.4
134,은성로3L,시온사거리,시온삼거리,겸용도로(분리형),0.22,1.5,3,1.8,0,0
