newsname
대구광역시, 공공장소 '방치 자전거'찾아가세요!
안산시민 자전거보험 혜택 살펴보니
"'자전거 운전능력' 따면…따릉이 요금 2년동안 깎아줘요"
대구시, 공공장소 무당방치 자전거 일제정비
천안시장애인체육회, 공공스포츠클럽 3년 연속 선정
태백시, 공공도서관 비대면 서비스 구축
자전거도 운전능력 시험 생긴다
서울에 '자전거 운전능력 시험'이 생깁니다. 통과한 사람 혜택이...
[특징주]자전거株, 급등세…전기자전거 시장 개화
전동킥보드와 공공자전거…주차존 공유 ‘편리한 공존’
고양시 ‘자전거이용활성화 위원회’ 출범
분주한 공공자전거 관리소
자동차운전면허 시험과 같은 ‘자전거 운전능력 인증제’ 6월 도입한다
언택트 시대 대표 교통수단 자전거
가평군, 공공하수처리시설·달전리 자전거도로 등 꽃 단장
자전거에 '라방'에... 따박따박 2030 공략하는 박영선
공공자전거 '따릉이' 인기
서비스 끝난 지가 언젠데… 공유자전거 좀 치워주세요
밤에도 안전하게…서울 자전거 '따릉이' 반사판 부착
은평 공공시설이 주민 건강증진 중심으로
[알려드림] 자전거 계절 4월, 얼른 '타슈', 아따 '타랑께'…안타고는 못 배길...
서울 공공자전거 '따릉이' 제로페이 이용시 30% 감면…1년 연장
'국회 공공자전거(따릉이) 대여소 설치'
‘10년 달린’ 제주 공공자전거, 정착까진 ‘먼 길’
알톤스포츠, 전기∙공유자전거 시장 성장에 따른 수혜 [키움증권]
[밀착카메라] 달릴수록 적자…'멈추는' 공공자전거
[기동취재] 속도내는 민간공유자전거... 공공자전거의 운명은?
서울시, 공공 자전거 ‘따릉이’ 앱 편의성 대폭 개선
박영선, '반값 데이터'로 20대 공략…자전거타며 시민 눈맞춤(종합)
노원구, 전 구민 자전거 보험 가입…최대 1천만원 보장
KT, 공유자전거로 'DX·친환경' 두 마리 토끼 잡는다
[애널리스트에게듣는다] 자동차·자전거의 새로운 모멘텀
방문 복지부터 공공자전거까지…서울시 대표 조례는?
고양시,새로운 공유자전거 '타조(TAZO)'운영
사통팔달 자전거 도로 구축 [용인시]
가평군 공공하수처리시설, 향기나는 꽃길.꽃동산 만들기 추진
고양시, 공릉·성사·창릉천 자전거도로 4곳 8.9㎞ 늘린다
서울시설공단, 따릉이 수리할 동네 자전거대리점 모집
퍼스널 모빌리티 시대...외면 받는 제주 공공자전거
송파구, 전 구민 무료 자전거보험 가입…최대 3000만원 보상
네이버·카톡으로 코로나19 방역물품 등 공공자원 활용 더 편하게
고양시 공유자전거 ‘타조’ 도입…피프틴 대체
영주시, 영주역 관광자전거 대여소 무료 운영
제조업에서 대여업으로...공유자전거 ‘전성시대’
고양시 공유자전거 '타조' 도입…자전거도로 4곳 8.9㎞ 추가 조성
북한에 자전거 3천대 보내기
<여론마당>자전거 무단 방치 여전…도시 미관 해치고 주민들 큰 불편
작고 가벼워졌다!…서울 공공자전거 '새싹따릉이' 도입
작고 가벼워진 '따릉이'…서울시 신형 자전거 2천대 도입
대전시설공단, 공공자전거 ‘타슈’ 설 연휴 정상 운영
서울시 공공자전거 '따릉이', 코로나에 더 많이 탔다
코로나로 5년 만에 특수 누리지만…국내 자전거업체 웃지 못하는 이유
날씨·반려견·자전거보험 상품 내놓는 ‘미니보험사’ 나온다
공유 자전거 '시즌 2'…'민간'과 손잡고 성공할까?
고양시 5월부터 무인대여 공유자전거 '타조(TAZO)' 도입…15일 시범운영
대구 남구, 자전거 수리센터 운영
13세까지 타는 새 공공자전거…이름은 '새싹따릉이'
[조홍식의세계속으로] ‘세계의 자전거 수도’ 꿈꾸는 파리
용인시, 경안천~탄천 발 사통팔달 자전거 도로 뚫는다
고양시, 5월부터 무인대여 공유자전거 타조(TAZO)도입
광주시, 자전거 정책자문관에 김광훈 씨 위촉
용인시, 총연장 120.3㎞ 6개 자전거 도로망 조성
‘광주형 자전거 도시’
충남 천안·계룡·예산에 자가발전 자전거·쿨링포그 설치
자전거 초보자를 위한 GUIDE
국회도 공공자전거 대여소 설치
세종시 공공자전거 '어울링' 이용건수 올해 100만건 돌파
[특징주] 옴니시스템, 무인대여 공유자전거 서비스 공급 소식에 주가 급등
행안부, 공공자원 개방 ․ 공유 서비스 확대
공유心 사라진 자전거-킥보드 공공의 적으로
코로나發 열풍에…‘자전거 보험’ 올라타는 서울 구청들
고양시, 새 공유자전거 서비스 준비 1년… 기존 이용자 불만 '나몰라라'
수원시 무단방치 자전거 정비한다
“국민들에게 칭찬 못 받는 ‘공공 SW사업’ 구조적 문제인 발주 관행부터 개...
‘공유자전거’ 활성화 나선 수원시… 2000대 추가 도입
울산 동구 방어진항 일대 '전기자전거로 달린다'
[B tv 한빛뉴스]안산 공공 자전거 페달로 '폐지'
[B tv 수원뉴스][기획1] 다시 달리는 수원 '공유자전거'…안착될까?
'마곡~한강' 자전거도로 개통…790m 구간 차도·보도 분리
고양시 공유자전거 ‘타조’ 시동… 2021년내 자전거길 4곳 추가로 조성
시민이 자전거 정책 직접 제안…정책 플랫폼 10월 가동
서울 공공자전거 따릉이 이용자들 '보이는 상담' 받는다
광주 서구, 공공자전거 이용자 대상 보험 가입
화성시공공급식지원센터, 식생활교육 학습키트 지원
<포토> 국회 공공자전거 '따릉이' 타는 이춘석 사무총장
광주 ‘자전거 도시 만들기’ …자문관 임명·자전거팀 신설
제주 원도심에서 찾은 공유자전거 가능성
‘두 바퀴의 행복’…평택 공공자전거 무료 대여소 문 열어
서울공공자전거 '따릉이' 태풍으로 운행 중단
대구광역시, '무단방치 자전거 노후 보관대' 일제 정비
7호선-경춘선 평일에도 자전거 ‘OK’
9월부터 서울 지하철에서 평일에도 자전거 휴대 가능
따릉이 도입 5년…자전거 2000대에서 2만 9500대로, ‘새싹따릉이’도 시범 운...
춘천시 버려진 자전거 재생…학교에 기증
서울 강동구, 자전거 특화거리 조성
"자전거로 서울 1시간" 외치지만···현실은 "도로위의 양서류"
서울 공공자전거 '따릉이' 부분 운영 재개
코로나로 두바퀴가 날개 달았다, 없어서 못파는 자전거
광주 무인 공공자전거 '타랑께' 7월부터 상무지구서 운영
고양시, 5월부터 무인대여 공유자전거‘타조(TAZO)’도입
사통팔달 자전거 도로 구축 [용인시]
지문 로그인에 길안내까지…서울 공공자전거 따릉이 앱 리뉴얼
