충청남도,지역," 27,217,416 "," 26,669,392 "," 26,717,137 "," 26,433,280 "," 26,258,831 "," 26,161,078 "," 22,638,891 "," 22,376,180 "," 22,287,778 "," 22,223,976 "," 24,227,558 "," 24,964,927 "
전라북도,직장," 92,466,881 "," 94,318,195 "," 94,135,283 "," 123,630,635 "," 103,989,933 "," 103,031,584 "," 107,767,182 "," 103,071,912 "," 99,512,556 "," 98,546,476 "," 98,528,873 "," 98,672,413 "
전라북도,지역," 21,510,179 "," 21,058,133 "," 21,070,471 "," 20,835,118 "," 20,687,756 "," 20,681,884 "," 17,520,299 "," 17,302,240 "," 17,239,930 "," 17,176,791 "," 18,420,925 "," 18,925,017 "
전라남도,직장," 91,015,933 "," 92,828,658 "," 93,022,754 "," 119,861,284 "," 102,800,479 "," 102,328,102 "," 105,266,989 "," 101,891,009 "," 98,973,454 "," 98,744,405 "," 98,171,481 "," 100,258,218 "
전라남도,지역," 21,410,240 "," 20,959,469 "," 20,914,387 "," 20,663,248 "," 20,536,575 "," 20,425,345 "," 16,967,419 "," 16,795,110 "," 16,705,971 "," 16,630,235 "," 17,993,862 "," 18,481,712 "
경상북도,직장," 143,699,992 "," 145,798,384 "," 144,296,046 "," 188,613,544 "," 159,148,581 "," 160,527,614 "," 168,051,814 "," 161,655,172 "," 155,253,342 "," 154,428,178 "," 153,057,089 "," 154,859,893 "
경상북도,지역," 32,585,938 "," 31,810,085 "," 31,914,025 "," 31,424,924 "," 31,136,185 "," 31,654,945 "," 26,873,246 "," 26,547,760 "," 26,445,690 "," 26,342,071 "," 28,284,871 "," 29,060,647 "
경상남도,직장," 199,619,904 "," 202,504,132 "," 201,677,944 "," 253,582,802 "," 221,435,594 "," 220,926,575 "," 231,114,428 "," 222,320,683 "," 213,326,139 "," 210,658,302 "," 211,349,629 "," 213,093,776 "
경상남도,지역," 44,785,656 "," 43,963,532 "," 44,016,634 "," 43,612,998 "," 43,305,538 "," 43,054,033 "," 37,133,678 "," 36,712,638 "," 36,520,628 "," 36,389,471 "," 38,883,988 "," 39,954,989 "
제주특별자치도,직장," 35,517,843 "," 36,562,959 "," 36,743,025 "," 46,609,302 "," 41,098,899 "," 40,719,312 "," 44,647,131 "," 41,333,789 "," 39,867,045 "," 39,102,131 "," 39,246,274 "," 41,630,648 "
제주특별자치도,지역," 10,545,020 "," 10,362,899 "," 10,366,682 "," 10,250,985 "," 10,192,148 "," 10,130,495 "," 8,964,189 "," 8,835,052 "," 8,807,921 "," 8,791,929 "," 9,707,888 "," 10,030,036 "
