업종명,신고일자,업소명,영업소 주소(도로명),우편번호(도로명),객실 수,소재지 전화,책임동명(광역동)
숙박업(일반),2002-12-02,마루호텔,"경기도 부천시 부일로199번길 21, 6~7층 (상동)",14598,32,    - 325-9100,상동
숙박업(일반),2003-01-03,낙원장여관,경기도 부천시 소사로 239 (소사본동),14705,10, 032- 346-1556,소사본동
숙박업(일반),2003-02-05,테마장여관,경기도 부천시 경인옛로22번길 10 (소사본동),14704,16,032 -346 -7435,소사본동
숙박업(일반),2003-03-18,리젠시,"경기도 부천시 경인로206번길 9, 2~5층 (심곡본동)",14711,32, 032- 657-2721,대산동
숙박업(일반),2003-05-26,목화장여관,경기도 부천시 자유로 73 (심곡본동),14710,15,032 -665 -0353,대산동
숙박업(일반),2003-05-19,모아장모텔,경기도 부천시 성주로269번길 42 (심곡본동),14711,12,032 -664 -2077,대산동
숙박업(일반),2003-07-04,초콜릿모텔,경기도 부천시 경인로 200-12 (심곡본동),14711,30,032 -664 -2213,대산동
숙박업(일반),2003-02-28,르네상스,경기도 부천시 원종로79번길 17 (원종동),14420,28,032 - 671-8833,오정동
숙박업(일반),2003-10-16,밀라노모텔,경기도 부천시 원종로71번길 14 (원종동),14420,17,032 - 673-6095,오정동
숙박업(일반),2003-01-03,마시모 모텔,경기도 부천시 부일로 762 (역곡동),14674,30,    - 348-0710,부천동
숙박업(일반),2003-01-07,마레,경기도 부천시 부일로518번길 18 (심곡동),14643,23,    - 652-6071,심곡동
숙박업(일반),2003-01-07,모모파크여관,"경기도 부천시 부일로 444-16, 1,2층 (심곡동)",14636,14,    - 653-2261,심곡동
숙박업(일반),2003-01-07,이오,경기도 부천시 부천로10번길 58 (심곡동),14643,20,032 -657 -2130,심곡동
숙박업(일반),2003-02-21,노블레스모텔,경기도 부천시 조마루로297번길 13 (중동),14580,29,    - 326-2255,신중동
숙박업(일반),2003-02-21,온양여인숙,경기도 부천시 부천로6번길 25 (심곡동),14644,15,    - 652-9750,심곡동
숙박업(일반),2003-02-21,연안여인숙,경기도 부천시 부천로6번길 27 (심곡동),14644,15,    - 652-4952,심곡동
숙박업(일반),2003-02-21,현대여인숙,경기도 부천시 부천로6번길 28 (심곡동),14644,15,    - 651-4764,심곡동
숙박업(일반),2003-03-17,호텔체리쉬,경기도 부천시 부천로6번길 29 (심곡동),14644,32,032 -665 -3883,심곡동
숙박업(일반),2003-03-20,우성여관,경기도 부천시 부일로496번길 10 (심곡동),14644,17,    - 651-3641,심곡동
숙박업(일반),2003-03-20,양지장여인숙,경기도 부천시 부천로6번길 21 (심곡동),14644,14,    - 656-0301,심곡동
숙박업(일반),2003-03-31,1박2일,경기도 부천시 부일로506번길 32 (심곡동),14643,25,    - 611-4503,심곡동
숙박업(일반),2003-05-19,신라모텔,경기도 부천시 부일로432번길 13 (심곡동),14636,18,    - 664-1627,심곡동
숙박업(일반),2003-07-09,샾모텔,경기도 부천시 부일로460번길 30 (심곡동),14637,18,032 -651 -2951,심곡동
숙박업(일반),2003-07-31,테마파크관광호텔,경기도 부천시 길주로 69 (상동),14543,100,    - 329-1100,상동
숙박업(일반),2003-09-04,닉스모텔,"경기도 부천시 역곡로2번길 9, 1~4층 (역곡동)",14674,28,    - 342-6782,부천동
숙박업(일반),2003-09-18,제니스관광호텔,"경기도 부천시 길주로77번길 19-22, 3-8층 (상동)",14543,59,    - 329-3333,상동
숙박업(일반),2003-11-11,향모텔,경기도 부천시 부천로9번길 46 (심곡동),14637,14, 032- 662-8588,심곡동
숙박업(일반),2003-12-12,나인9,경기도 부천시 원미로13번길 42 (심곡동),14643,37,    - 613-5443,심곡동
숙박업(일반),2003-12-23,노블레스,"경기도 부천시 부천로10번길 49 (심곡동,,13)",14643,43, 032- 663-9910,심곡동
숙박업(일반),2003-12-29,호텔오투,경기도 부천시 부천로1번길 42 (심곡동),14637,35, 032- 662-5557,심곡동
숙박업(일반),2004-01-05,골든게이트,경기도 부천시 신흥로22번길 45-9 (심곡동),14636,19, 032- 662-3331,심곡동
숙박업(일반),2004-01-10,코고라,경기도 부천시 원미로17번길 33 (심곡동),14643,36,032 -611 -7717,심곡동
숙박업(일반),2004-01-10,젠모텔,경기도 부천시 부천로35번길 11 (심곡동),14634,48, 032- 657-1101,심곡동
숙박업(일반),2004-01-15,캣츠호텔,경기도 부천시 원미로17번길 36 (심곡동),14643,46, 032- 612-0903,심곡동
숙박업(일반),2004-01-20,호텔씨앤,경기도 부천시 원미로17번길 21 (심곡동),14643,45,    - 667-8021,심곡동
숙박업(일반),2004-02-12,호텔G,경기도 부천시 원미로13번길 48 (심곡동),14643,31,032 -612 -7781,심곡동
숙박업(일반),2004-04-10,경남장여인숙,경기도 부천시 부일로496번길 25 (심곡동),14643,16, 032- 656-1333,심곡동
숙박업(일반),2004-05-14,호텔 폼,경기도 부천시 부일로506번길 27 (심곡동),14643,41,032 -668 -9599,심곡동
숙박업(일반),2004-05-19,에스(S)호텔,경기도 부천시 원미로17번길 28 (심곡동),14643,47,032 -657 -8777,심곡동
숙박업(일반),2004-05-14,호텔버스,"경기도 부천시 신흥로22번길 45-5 (심곡동,,11,12호)",14636,34, 032- 611-3085,심곡동
숙박업(일반),2004-06-14,호텔키노,경기도 부천시 신흥로26번길 45 (심곡동),14636,41, 032- 655-9774,심곡동
숙박업(일반),2004-08-30,부천호텔,경기도 부천시 길주로 131 (상동),14542,100,    - 326-8181,상동
숙박업(일반),2004-09-23,(주)폴라리스관광호텔,경기도 부천시 소향로13번길 27 (상동),14544,96, 032- 323-1500,상동
숙박업(일반),2004-10-06,미림여인숙,경기도 부천시 부천로3번길 42 (심곡동),14637,13, 032- 667-2050,심곡동
숙박업(일반),2004-11-01,호텔에스알,경기도 부천시 석천로178번길 22 (중동),14547,71, 032- 322-6363,신중동
숙박업(일반),2004-11-03,필름37.2모텔,경기도 부천시 부천로2번길 21 (심곡동),14644,45, 032- 663-5515,심곡동
숙박업(일반),2004-11-09,고려관광호텔,경기도 부천시 길주로 66 (상동),14544,103, 032- 329-0001,상동
숙박업(일반),2004-11-15,호텔시애틀 부천점,경기도 부천시 부천로2번길 33 (심곡동),14644,42,032 -611 -8844,심곡동
숙박업(일반),2005-11-16,유토피아,경기도 부천시 원종로65번길 16 (원종동),14420,19,032 - 673-6364,오정동
숙박업(일반),2005-04-25,아미고모텔,경기도 부천시 부천로3번길 29 (심곡동),14637,18,032 -613 -4545,심곡동
숙박업(일반),2005-08-26,로데오모텔,"경기도 부천시 송내대로73번길 41, 4-5층 (상동)",14598,30,    - 328-2677,상동
