행정기관,인구수 남자,인구수 여자,구성비 남자,구성비 여자,성비,세대수,세대당인구
부천시,"403,374","409,804",49.60,50.40,98.43,"344,153",2.36
심곡동,"32,424","31,403",3.99,3.86,103.25,"33,187",1.92
부천동,"44,854","44,713",5.52,5.50,100.32,"38,553",2.32
중동,"20,611","21,034",2.53,2.59,97.99,"17,541",2.37
신중동,"63,203","67,603",7.77,8.31,93.49,"54,222",2.41
상동,"42,317","43,809",5.20,5.39,96.59,"30,965",2.78
대산동,"40,334","41,101",4.96,5.05,98.13,"36,315",2.24
소사본동,"28,041","28,739",3.45,3.53,97.57,"24,148",2.35
범안동,"46,847","48,779",5.76,6.00,96.04,"37,226",2.57
성곡동,"41,696","41,561",5.13,5.11,100.32,"35,966",2.31
오정동,"43,047","41,062",5.29,5.05,104.83,"36,030",2.33
