구분,운영시간,연락처,주소
도자기체험,"09:00 ~ 18:00(평일), 12:00 ~ 18:00(일요일 및 공휴일), 매주 월요일 휴관",032-676-7573,"부천시 원미로 305(여월동, 무형문화재 부천전수관)"
전통민화체험,"09:00 ~ 18:00(평일), 12:00 ~ 18:00(일요일 및 공휴일), 매주 월요일 휴관",032-676-7573,"부천시 원미로 305(여월동, 무형문화재 부천전수관)"
나전칠기체험,"09:00 ~ 18:00(평일), 12:00 ~ 18:00(일요일 및 공휴일), 매주 월요일 휴관",032-676-7573,"부천시 원미로 305(여월동, 무형문화재 부천전수관)"
손뜨개체험,"09:00 ~ 18:00(평일), 12:00 ~ 18:00(일요일 및 공휴일), 매주 월요일 휴관",032-676-7573,"부천시 원미로 305(여월동, 무형문화재 부천전수관)"
천연비누체험,"09:00 ~ 18:00(평일), 12:00 ~ 18:00(일요일 및 공휴일), 매주 월요일 휴관",032-676-7573,"부천시 원미로 305(여월동, 무형문화재 부천전수관)"
퀼트인형체험,"09:00 ~ 18:00(평일), 12:00 ~ 18:00(일요일 및 공휴일), 매주 월요일 휴관",032-676-7573,"부천시 원미로 305(여월동, 무형문화재 부천전수관)"
