농장명,소재지,면적,구획수,대상자,기타사항
문화동산 농장,부천시 상동 529-2,"7,200㎡","250(일반회원 160, 단체회원 90)","일반회원 : 부천시민, 단체 : 관내 소재 유치원, 노인시설 등 단체","일반회원 참가비 : 4만원/1구획당, 단체회원 : 4만원/1구획당(최대 3구획 가능)"
소사나눔 농장,"부천시 옥길동 512-1,2,5,6","5,359㎡","160(일반회원 100, 실버회원 60)","일반회원 : 부천시민, 실버 : 부천시 거주 만65세 이상자","일반회원 참가비 : 4만원/1구획당, 실버회원 : 2만5천원/1구획당"
