시군명,시설구분명,시설명,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
부천시,체육도장업,용인대경용태권도장,경기도 부천시 소사본동 400-3번지 305호,"경기도 부천시 소사로102번길 13,  305호 (소사본동)",37.467902,126.7981898
부천시,체육도장업,명지태권도,경기도 부천시 오정동 582-3번지 2층,"경기도 부천시 부천로464번길 43  (오정동,2층)",37.5255881,126.7856563
부천시,체육도장업,동광신체육관,경기도 부천시 상동 541-1번지 메가플러스 603호,"경기도 부천시 상동로 90, 603호 (상동, 메가플러스)",37.5050636,126.7536872
부천시,체육도장업,용인대한국태권도,경기도 부천시 상동 537-2번지 아름다운프라자 201호,"경기도 부천시 송내대로265번길 37, 201호 (상동, 아름다운프라자)",37.5069527,126.7565762
부천시,체육도장업,자존감 태권도장,경기도 부천시 상동 546-10번지 302호,"경기도 부천시 소향로 35, 302호 (상동, 월드프라자)",37.50373464,126.7515542
부천시,체육도장업,역곡 백호 태권도장,경기도 부천시 괴안동 124번지 3층,"경기도 부천시 부광로 23, 3층 (괴안동)",37.4826771,126.8137068
부천시,체육도장업,경희대 펀 태권도장,"경기도 부천시 송내동 315번지 송내역파인푸르지오1단지 G동 107,108호","경기도 부천시 송내대로 16, 지107,108호 (송내동, 송내역파인푸르지오1단지)",37.485405,126.754216
부천시,체육도장업,베스트유소년스포츠클럽,경기도 부천시 범박동 44-8번지,경기도 부천시 범안로 141-10  (범박동),37.4692639,126.8097164
부천시,체육도장업,고리울태권도,경기도 부천시 춘의동 211-1번지 4층,"경기도 부천시 조마루로371번길 60  (춘의동,4층)",37.500595,126.7858305
부천시,체육도장업,부안체육도장(태권),경기도 부천시 괴안동 109-14번지,경기도 부천시 부광로8번길 46  (괴안동),37.4830141,126.810348
부천시,체육도장업,한국체대천마태권도,경기도 부천시 중동 1175-2번지,,37.4964856,126.7666071
부천시,체육도장업,신정체육관,경기도 부천시 괴안동 28-3번지,경기도 부천시 안곡로 7  (괴안동),37.4789295,126.8030777
부천시,체육도장업,해동청체육관,경기도 부천시 원종동 131-4 ,경기도 부천시 원종로29번길 83 (원종동),37.52741961,126.8022728
부천시,체육도장업,버팔로복싱짐,"경기도 부천시 중동 1142-18 301,2호","경기도 부천시 중동로254번길 69, 301,302호 (중동, 뉴월드프라자)",37.50211165,126.7726971
부천시,육상시설,부천종합운동장,경기도 부천시 춘의동 8번지,경기도 부천시 소사로 482,37.503069,126.7988743
부천시,축구시설,북부수자원생태공원내 인조잔디구장,경기도 부천시 대장동 434번지,경기도 부천시 벌말로 220,37.5467016,126.7685761
부천시,축구시설,오정대공원 인조잔디구장,경기도 부천시 오정동 1-3번지,경기도 부천시 상오정로 183,37.529812,126.7946608
부천시,축구시설,종합운동장 보조구장,경기도 부천시 춘의동 8번지,경기도 부천시 소사로 482,37.503069,126.7988743
부천시,축구시설,부천체육관 인조잔디구장,경기도 부천시 중동 1024번지,경기도 부천시 석천로 293,37.5135065,126.7626852
부천시,체육도장업,경희대동우태권도체육관,경기도 부천시 상동 533-2번지 302반,경기도 부천시 상동로117번길 57  (상동),37.5076782,126.7502742
부천시,체육도장업,서울스포츠대학원대부흥도장,경기도 부천시 중동 1039-1번지,경기도 부천시 계남로 165  (중동),37.5074788,126.7671605
부천시,체육도장업,JTA 태권도장,경기도 부천시 중동 1289번지 팰리스카운티 중앙상가 204호 ,"경기도 부천시 중동로 108-2, 204호 (중동, 팰리스카운티 중앙상가)",37.48984732,126.7675778
부천시,체육도장업,Fine Taekwondo,경기도 부천시 원종동 241-11번지 2층,"경기도 부천시 소사로808번길 51  (원종동,2층)",37.5285097,126.8076292
부천시,체육도장업,K.O GYM,경기도 부천시 중동 1138번지 호정프라자 302호,"경기도 부천시 중동로254번길 104, 호정프라자 302호 (중동)",37.50145688,126.7746095
부천시,체육도장업,백호체육관,경기도 부천시 소사본동 244-83번지,경기도 부천시 은성로 88  (소사본동),37.4748796,126.8004883
부천시,체육도장업,정우체육관,경기도 부천시 상동 231-35번지,경기도 부천시 석천로60번길 17 (상동),37.4924858,126.7624358
부천시,체육도장업,용인대 소일체육관,"경기도 부천시 소사본동 400-7번지 청구아파트 상가동 304,305,306호","경기도 부천시 소사로102번길 47 (소사본동, 소사청구아파트)",37.4687694,126.7996005
부천시,체육도장업,석사 경희대 한미 태권도장,경기도 부천시 역곡동 74-136번지 청호빌딩 4층,"경기도 부천시 지봉로 100, 4층 (역곡동)",37.4877622,126.8102906
부천시,체육도장업,엔젤태권도,경기도 부천시 오정동 566-15번지,경기도 부천시 상오정로 27  (오정동),37.5240948,126.786905
부천시,체육도장업,대한신성태권도스쿨,경기도 부천시 심곡본동 678-12번지,경기도 부천시 경인로234번길 37  (심곡본동),37.4813776,126.7813863
부천시,체육도장업,케이맥태권도,경기도 부천시 상동 544-4번지 가나베스트타운쓰리 311호,"경기도 부천시 석천로2번길 83, 4층 (상동)",37.4870655,126.7642397
부천시,체육도장업,용인대 황룡 태권도장,경기도 부천시 소사본동 144-8 ,"경기도 부천시 호현로 447, 2층 (소사본동)",37.47788712,126.7926112
부천시,체육도장업,무림검도관(검도),경기도 부천시 심곡본동 729-4번지,경기도 부천시 성주로 244-1  (심곡본동),37.4801259,126.7817744
부천시,체육도장업,용인대명문태권도,경기도 부천시 송내동 454-11번지 2층,"경기도 부천시 성주로 109  (송내동,2층)",37.4796497,126.7684351
부천시,체육도장업,용인대 도당 유도 체육관,경기도 부천시 도당동 108번지 청오빌딩,"경기도 부천시 삼작로 270, 청오빌딩 4층 (도당동)",37.5199224,126.7914304
부천시,체육도장업,청소년사랑터리더스클럽,경기도 부천시 상동 541-1번지 메가플러스 411호,"경기도 부천시 상동로 90,  411호 (상동,메가플러스)",37.5050636,126.7536872
부천시,체육도장업,피노키오 복싱,경기도 부천시 심곡동 399-8번지 3층,"경기도 부천시 부일로449번길 7, 3층 (심곡동)",37.4865376,126.7799691
부천시,체육도장업,반달태글리쉬,경기도 부천시 상동 403번지 402반,경기도 부천시 부일로205번길 47  (상동),37.4908446,126.7530786
부천시,체육도장업,송원상동유도관,경기도 부천시 상동 537-2번지 501호,"경기도 부천시 송내대로265번길 37, 501호 (상동)",37.5069527,126.7565762
부천시,체육도장업,석사 경희대 태권도장,경기도 부천시 심곡본동 709번지 ,"경기도 부천시 성주로 224, 206호 (심곡본동)",37.4780702,126.7809665
부천시,체육도장업,선 태권도장,경기도 부천시 역곡동 107-8 열린치과 ,"경기도 부천시 지봉로115번길 6, 열린치과 4층 (역곡동)",37.48868204,126.8118974
부천시,체육도장업,동곡태권도전문체육관,경기도 부천시 역곡동 225-6번지 3층,"경기도 부천시 안곡로 247, 3층 (역곡동)",37.4895654,126.816652
부천시,체육도장업,나래태권도장,경기도 부천시 원종동 377-4번지 ,경기도 부천시 성오로 32 (원종동),37.5171508,126.8037676
부천시,체육도장업,PARK'S 영어 태권도,경기도 부천시 상동 544-4번지 가나베스트타운5층 505호,"경기도 부천시 상동로 87  (상동,가나베스트타운5층 505호)",37.5051238,126.7523524
부천시,체육도장업,역곡키즈태권도체육관,경기도 부천시 역곡동 28-3번지,경기도 부천시 지봉로 43-3  (역곡동),37.4855453,126.8045186
부천시,체육도장업,늘푸른태권도장,경기도 부천시 괴안동 108-3번지 삼일빌딩3층,"경기도 부천시 부광로8번길 39  (괴안동,삼일빌딩3층)",37.4828166,126.8108234
부천시,체육도장업,호랑이태권도,"경기도 부천시 상동 534-1번지 승재프라자 604,605호","경기도 부천시 상동로 113, 604~605호 (상동, 승재프라자)",37.5073956,126.7529669
부천시,체육도장업,참태권도체육관,경기도 부천시 소사본동 135번지 소사에스케이뷰아파트 ,"경기도 부천시 소삼로 62, 2층 (소사본동, 소사에스케이뷰아파트)",37.47712256,126.8001319
부천시,체육도장업,아이런클럽,경기도 부천시 소사본동 400-2번지 302호,"경기도 부천시 소사로 102, 302호 (소사본동)",37.4677934,126.7979414
부천시,체육도장업,용인대 준 태권도장,경기도 부천시 내동 330번지,경기도 부천시 부천로410번길 27 (내동),37.5207056,126.7861003
부천시,체육도장업,현대 태권도,"경기도 부천시 중동 1208 계남아카데미 빌딩 502,5호","경기도 부천시 부흥로 256, 5층 502,503호 (중동, 계남아카데미빌딩)",37.49502534,126.7709558
부천시,체육도장업,키즈엘리트태권도장,경기도 부천시 상동 546-4번지 502반,경기도 부천시 소향로13번길 14-22  (상동),37.5039298,126.7501624
부천시,체육도장업,한울태권도,경기도 부천시 심곡본동 648-11번지,경기도 부천시 경인로216번길 78 (심곡본동),37.4797327,126.7786891
부천시,체육도장업,용인대송일백호태권도장,경기도 부천시 송내동 398-1번지 2층,경기도 부천시 경인로60번길 20 (송내동),37.4827085,126.7616644
부천시,체육도장업,정우종합체육관(태권),경기도 부천시 괴안동 109-4번지,경기도 부천시 경인로 492  (괴안동),37.483239,126.8101553
부천시,체육도장업,한국키즈태권도,경기도 부천시 상동 533-11번지,경기도 부천시 길주로77번길 61 (상동),37.5074302,126.7522995
부천시,체육도장업,누리 태권도장,경기도 부천시 소사본동 143-20 ,경기도 부천시 호현로 454 (소사본동),37.47815175,126.7931516
부천시,체육도장업,경희태권도체육관,경기도 부천시 중동 1170번지 포도마을 상가동 3층,"경기도 부천시 조마루로 137, 3층 (중동, 포도마을 상가동)",37.5010113,126.7590724
부천시,체육도장업,홍익태권도장,경기도 부천시 괴안동 70-13번지,경기도 부천시 범안로 26  (괴안동),37.4792328,126.8066269
부천시,체육도장업,용인대튼튼태권도장,경기도 부천시 상동 533-8번지 대림타운 603호,"경기도 부천시 상동로117번길 31, 603호 (상동, 대림타운)",37.5075368,126.7515527
부천시,체육도장업,예의바른태권도장,경기도 부천시 상동 544-11번지 새롬프라자15차 505호,"경기도 부천시 상동로 69, 505호 (상동, 새롬프라자15차)",37.50367292,126.7521877
부천시,체육도장업,대광태권도,경기도 부천시 원종동 229-8번지 401호,"경기도 부천시 소사로 779, 401호 (원종동)",37.5255942,126.8044579
부천시,체육도장업,국가대표 태비 태권도장,경기도 부천시 원미동 103-10 ,"경기도 부천시 조종로 27, 2층 (원미동)",37.49325359,126.7878509
부천시,체육도장업,부천김진호복싱남여다이어트,경기도 부천시 중동 1162-9번지 303호,"경기도 부천시 석천로169번길 30, 303호 (중동, 새롬프라자)",37.502926,126.7612714
부천시,체육도장업,K.T.M 차오름 태권도장,경기도 부천시 중동 1040-5번지 덕유마을 상가 지층호,"경기도 부천시 중동로 329, 덕유마을 상가 지층호 (중동)",37.509204,126.769304
부천시,체육도장업,홍익 태권도,경기도 부천시 원미동 123-1번지 지하층,"경기도 부천시 조종로 28, 지하층 (원미동)",37.4928771,126.7878204
부천시,체육도장업,삼정석사태권도체육관,경기도 부천시 삼정동 307-7번지 2층,"경기도 부천시 중동로420번길 32  (삼정동,2층)",37.5171738,126.7718582
부천시,체육도장업,올림픽 태권도장,경기도 부천시 소사본동 400-9 신한은행소사지점 ,경기도 부천시 소사로102번길 59 (소사본동),37.46906677,126.8008365
부천시,체육도장업,명문체육관,경기도 부천시 상동 236-45번지 3층,"경기도 부천시 장말로 208, 3층 (상동)",37.4924818,126.7648783
부천시,체육도장업,용인대꿈마을태권도장,경기도 부천시 중동 1096-1번지 2층,"경기도 부천시 옥산로 80  (중동,2층)",37.5005408,126.7809113
부천시,체육도장업,라온태권도장,경기도 부천시 원미동 1-8번지 태진빌딩 3층 ,"경기도 부천시 원미로 182, 태진빌딩 3층 (원미동)",37.4984001,126.7927464
부천시,체육도장업,명동체육관,경기도 부천시 상동 239번지 3층,"경기도 부천시 석천로44번길 51, 3층 (상동)",37.4910922,126.7638537
부천시,체육도장업,성무체육도장,경기도 부천시 중동 805-2번지,경기도 부천시 부일로 340 (중동),37.4877302,126.7677201
부천시,체육도장업,원미창조태권도,경기도 부천시 심곡동 800번지 하나리아벨주상복합아파트상가 201호,"경기도 부천시 부흥로 424, 상가층 201호 (심곡동, 하나리아벨주상복합아파트)",37.488343,126.7866574
부천시,체육도장업,부천복싱남녀다이어트,경기도 부천시 상동 400-3번지 ,"경기도 부천시 상일로 92, 201,202호 (상동, 광희빌딩)",37.49120367,126.7524103
부천시,체육도장업,용인대학석사 Y&J태권도장,경기도 부천시 상동 571-6번지 백송마을 풍림아이원 상가동 204~7호,"경기도 부천시 부흥로 51, 상가동 204~207호 (상동)",37.4985109,126.7483035
부천시,체육도장업,용인대 진성태권도,경기도 부천시 원종동 313-10번지 부천프라자5층,"경기도 부천시 원종로 64  (원종동,부천프라자5층)",37.5236791,126.8068725
부천시,체육도장업,용인대심곡태권도체육관,경기도 부천시 심곡본동 701번지,경기도 부천시 성주로 202  (심곡본동),37.4781289,126.77866
부천시,체육도장업,새나라태권도장,경기도 부천시 범박동 35-1 신한은행365 ,"경기도 부천시 범안로 118, 영프러스4층 (범박동)",37.47136799,126.8089689
부천시,체육도장업,힘찬체육관,경기도 부천시 심곡동 188-4번지 2층,"경기도 부천시 부흥로 431, 2층 (심곡동)",37.4881202,126.7879697
부천시,체육도장업,상도꿈나무도장,경기도 부천시 상동 445번지,,37.4930154,126.7570743
부천시,체육도장업,효재태권도,경기도 부천시 상동 399번지 반달마을상가 3층 307호 ,"경기도 부천시 부일로191번길 35, 307호 (상동, 반달마을 상가동)",37.4900638,126.7502431
부천시,체육도장업,도당태권도장,경기도 부천시 도당동 108 청오빌딩 ,"경기도 부천시 삼작로 270, 청오빌딩 302호 (도당동)",37.52003648,126.7914892
부천시,체육도장업,금메달태권도장,경기도 부천시 범박동 155-1번지 홈타운3단지 상가304호,"경기도 부천시 범안로95번길 16 상가 304호 (범박동,부천범박힐스테이트3단지아파트)",37.4725446,126.8103749
부천시,체육도장업,용인대도전체육관(권투),경기도 부천시 상동 235번지 301호(3층),"경기도 부천시 장말로 188, 301호 (상동)",37.4927299,126.7628308
부천시,체육도장업,청도태권도체육관,경기도 부천시 심곡동 296-5번지 2층호,"경기도 부천시 신흥로103번길 13, 2층 (심곡동)",37.4929571,126.7775188
부천시,체육도장업,태비한울태권도장,경기도 부천시 중동 1103번지 꿈마을 상가 201호,"경기도 부천시 옥산로 71, 꿈마을상가동 2층 201~203호 (중동, 꿈마을상가)",37.5000069,126.7796576
부천시,체육도장업,대무체육도장,경기도 부천시 심곡본동 707-5번지,,37.4774554,126.7798491
부천시,체육도장업,꿈나무태권도,경기도 부천시 상동 523-2번지 동양프라자 3층 ,"경기도 부천시 도약로 19, 3층 (상동, 동양프라자)",37.5127622,126.7513882
부천시,체육도장업,M복싱클럽,경기도 부천시 소사본동 278-54번지,경기도 부천시 은성로98번길 64 (소사본동),37.4722684,126.8014337
부천시,체육도장업,현대체육관,경기도 부천시 도당동 67-28번지,경기도 부천시 삼작로256번길 61 (도당동),37.5173159,126.7899673
부천시,체육도장업,청해진,경기도 부천시 춘의동 173-4번지 3층,"경기도 부천시 길주로 364, 3층 (춘의동)",37.5025631,126.7830767
부천시,체육도장업,BEST태권도장,경기도 부천시 송내동 614-3 ,"경기도 부천시 성주로 120, 3층 (송내동)",37.4793785,126.7695923
부천시,체육도장업,꿈마을 정도체육관,경기도 부천시 중동 1096-1번지 2층,"경기도 부천시 옥산로 80  (중동,2층)",37.5005408,126.7809113
부천시,체육도장업,레드복싱클럽,경기도 부천시 역곡동 78-9번지 3층,"경기도 부천시 부일로 719, 3층 (역곡동)",37.4854277,126.8096861
부천시,체육도장업,연세복싱,경기도 부천시 심곡동 93-13번지 3층일부,"경기도 부천시 부천로 107, 3층일부층 (심곡동)",37.4937362,126.7846065
부천시,체육도장업,富天 ACE태권도장,경기도 부천시 심곡동 800번지,경기도 부천시 부흥로 424  (심곡동),37.488343,126.7866574
부천시,체육도장업,한마루 태권play,경기도 부천시 범박동 151-2번지 현대홈타운아파트 5차 단지내 상가 302호,경기도 부천시 범안로 130-21 현대홈타운아파트 5차 단지내 상가 302호 (범박동),37.4689905,126.8078519
