관리번호,노선명,노선번호,기점,종점,총연장,포장도연장 계(단위:㎞),포장도연장 2차선,포장도연장 4차선,포장도연장 6차선,포장도연장 8차선,미개설도연장(단위:㎞)
1338,소로3류414호선,시도1338호선(소사-역곡),소사본동 253,역곡동 250,0.917,0.917,0.917,,,,
1339,소로3류415호선,시도1339호선(소사-소사),소사본동 255,소사본동 255,0.442,0.442,0.442,,,,
1340,소로3류416호선,시도1340호선(소사-소사),소사동 253,소사동 253,0.098,0.098,0.098,,,,
1341,소로3류417호선,시도1341호선(역곡-역곡),역곡동 250,역곡동 250,0.088,0.088,0.088,,,,
1342,소로3류418호선,시도1342호선(역곡-역곡),역곡동 250,역곡동 250,0.061,0.061,0.061,,,,
1343,소로3류419호선,시도1343호선(역곡-역곡),역곡동 250,역곡동 250,0.043,0.043,0.043,,,,
1344,소로3류420호선,시도1344호선(역곡-역곡),역곡동 258,역곡동 258,0.042,0.042,0.042,,,,
1345,소로3류421호선,시도1345호선(역곡-역곡),역곡동 258,역곡동 258,0.042,0.042,0.042,,,,
1346,소로3류422호선,시도1346호선(역곡-역곡),역곡동 258,역곡동 258,0.042,0.042,0.042,,,,
1347,소로3류423호선,시도1347호선(역곡-역곡),역곡동 258,역곡동 258,0.574,0.574,0.574,,,,
1348,소로3류424호선,시도1348호선(역곡-역곡),역곡동 270,역곡동 270,0.043,0.043,0.043,,,,
1349,소로3류425호선,시도1349호선(역곡-역곡),역곡동 270,역곡동 270,0.043,0.043,0.043,,,,
1350,소로3류426호선,시도1350호선(역곡-역곡),역곡동 271,역곡동 271,0.038,0.038,0.038,,,,
1351,소로3류427호선,시도1351호선(역곡-역곡),역곡동 271-1,역곡동 271-1,0.05,0.05,0.05,,,,
