관리번호,노선명,노선번호,기점,종점,총연장,포장도연장 계(단위:㎞),포장도연장 2차선,포장도연장 4차선,포장도연장 6차선,포장도연장 8차선,미개설도연장(단위:㎞)
1,광로2류2호선,시도1호선(범박-계수),범박동산7-3,계수동371-1,1.633,1.633,,,,1.633,
2,광로2류3호선,시도2호선(고강-삼정),고강동1-2,삼정동9-12,5.25,5.25,,,,5.25, 
3,광로2류4호선,시도3호선(송내-삼정),송내동639-6,삼정동11-17,5.017,5.017,,,,5.017, 
4,광로2류5호선,시도4호선(상동-춘의),상동7-8,춘의동87-4,4.703,4.703,,,,4.703, 
5,광로2류6호선,시도5호선(중동-중동),중동1026-1,중동1026,0.126,0.126,,,,0.126,
6,광로3류1호선,시도6호선(삼정-대장),삼정동9-20,대장동542-1,2.35,2.35,,,,2.35, 
7,광로3류2호선,시도7호선(삼정-삼정),삼정동9-18,삼정동5-6,0.14,0.14,,,,0.14,
8,광로3류4호선,시도8호선(고강동),고강동12-3,고강동12-4,0.098,,,,,,0.098
9,대로1류1호선,시도9호선(송내-괴안),송내동309-10,괴안동206-5,6.81,6.81,,,5.143,1.667, 
10,대로1류2호선,시도10호선(삼정-소사),삼정동320-1,소사동254,4.431,4.431,,,4.431,, 
11,대로1류3호선,시도11호선(소사-상동),심곡동117-7,심곡동440-9,0.264,0.264,,,0.264,, 
12,대로2류1호선,시도12호선(삼정-심곡),삼정동363-2,심곡동177-13,5.853,5.853,,,5.853,, 
13,대로2류2호선,시도13호선(심곡-상동),심곡동126-2,상1동32-23,3.108,3.108,,,3.108,, 
14,대로2류3호선,시도14호선(오정-삼정),오정동345-3,삼정동222-50,0.83,0.83,,,0.83,, 
15,대로2류4호선,시도15호선(역곡-송내),역곡동207-1,송내동313-23,6.256,6.256,,0.454,5.802,, 
16,대로2류5호선,시도16호선(원종-여월),원종동67-21,여월동151-1,3.31,3.31,,3.31,,, 
17,대로3류1호선,시도17호선(내동-중동),내동298,중동773-22,2.971,2.971,,2.971,,, 
18,대로3류2호선,시도18호선(심곡-상1동),심곡동489-8,상1동380-10,4.122,4.122,,4.122,,, 
19,대로3류4호선,시도19호선(역곡역),경인국도,역곡역,0.04,0.04,,0.04,,, 
20,대로3류5호선,시도20호선(소사-작동),소사동332-9,작동336-6,7,7,,7,,, 
21,대로3류6호선,시도21호선(작동-상동),작동산58-11,상동194-61,6.446,3.101,,,3.101,,3.345
22,대로3류7호선,시도22호선(고강-역곡),고강동산34-9,역곡동175-2,4.431,4.431,,4.431,,, 
23,대로3류8호선,시도23호선(고강-고강),고강동267-1,고강동산33-6,0.5,0.5,,0.5,,,
24,대로3류9호선,시도24호선(역곡-옥길),역곡동41-4,옥길동205-7,2.053,0,,,,,2.053
25,대로3류10호선,시도25호선(범박-범박),범박동29-1,범박동76-1,1.93,1.49,,1.49,,,0.44
26,대로3류11호선,시도26호선(도당-오정),도당동309,오정동593-4,0.738,0.738,,0.738,,, 
27,대로3류12호선,시도27호선(중동-약대),중동1027,약대동1001-7,0.788,0.788,,0.788,,, 
28,대로3류13호선,시도28호선(중동-상동),중동1024,상동321-19,3.021,3.021,,3.021,,,  
29,대로3류14호선,시도29호선(중동-중동),중동1169-1,중동1185-2,2.293,2.293,,2.293,,, 
30,대로3류15호선,시도30호선(중동-중동),중동1140-5,중동1134,0.15,0.15,,0.15,,, 
31,대로3류16호선,시도31호선(중동-심곡),중동1208,심곡동314-30,0.287,0.287,,0.287,,,
32,대로3류17호선,시도32호선(상동-상동),상동69-8,상동282-66,0.994,0.994,,0.994,,,
33,대로3류18호선,시도33호선(신흥-약대),신흥동364,약대동192-1,0.503,0.503,,0.503,,,
34,대로3류19호선,시도34호선(신흥-약대),신흥동193,약대동193,0.38,0.38,,0.38,,,
35,중로1류1호선, 시도35호선(중동-도당),중동1080-5,도당동159,1.919,1.919,,1.919,,,
36,중로1류2호선, 시도36호선(중동-원미),중동1170,원미동52-1,3.004,3.004,,3.004,,,
37,중로1류3호선, 시도37호선(오정-삼정),오정동110-8,삼정동29-12,2.85,2.85,,2.85,,,
38,중로1류4호선, 시도38호선(도당-상동),도당동253-1,상동392,3.141,3.141,,3.141,,,
39,중로1류5호선, 시도39호선(심곡-역곡),심곡동125-1,역곡동246-16,2.9,2.9,,2.9,,,
40,중로1류6호선, 시도40호선(중동-중동),중동1030-4,중동1097-2,2.604,2.604,,2.604,,,
41,중로1류7호선, 시도41호선(원종-여월),원종동371-4,여월동105-1,0.604,0.424,,0.424,,,0.18
42,중로1류8호선, 시도42호선(신흥-원종),신흥동59,원종동374,2.78,2.78,,2.78,,,
43,중로1류9호선, 시도43호선(내동-약대),내동323,약대동182-34,0.602,0.602,,0.602,,,
44,중로1류10호선, 시도44호선(중동-중동),중동1157-2,중동1160-3,0.263,0.263,,0.263,,,
45,중로1류11호선, 시도45호선(중동-중동),중동1155,중동1153,0.263,0.263,,0.263,,,
46,중로1류12호선, 시도46호선(상동-상동),상동429-7,상동398,1.015,1.015,,1.015,,,
47,중로1류13호선, 시도47호선(상동-상동),상동414-12,상동400,0.308,0.308,,0.308,,,
48,중로1류14호선, 시도48호선(상동-상동),상동444-13,상동448-2,0.294,0.294,,0.294,,,
49,중로1류15호선, 시도49호선(상동-상동),상동420,상동425-8,0.252,0.252,,0.252,,,
50,중로1류16호선, 시도50호선(원종-오정),원종동166-4,오정동103-16,1.49,1.49,,1.49,,,
51,중로1류17호선, 시도51호선(여월-도당),여월동산37,도당동62,0.555,0.555,,0.555,,,
52,중로1류18호선, 시도52호선(원종-원종),원종동337,원종동산61,1.11,1.11,,1.11,,,
53,중로1류19호선, 시도53호선(오정-오정),오정동125-2,오정동610,1.51,1.09,0.117,0.973,,,0.42
54,중로1류20호선, 시도54호선(역곡-역곡),괴안동195,괴안동182,0.37,0.37,,0.37,,,
55,중로1류21호선, 시도55호선(역곡-역곡),역곡동247,괴안동190-17,0.216,0.216,,0.216,,,
56,중로1류22호선, 시도56호선(원종-고강),원종동8-8,고강동69-3,0.97,0.97,,0.97,,,
57,중로2류1호선, 시도57호선(심곡-춘의),심곡2동124-17,춘의동149-10,2.4,2.4,,2.4,,,
58,중로2류2호선, 시도58호선(역곡-역곡),역곡동77-6,역곡동66-5,0.5,0.5,,0.5,,,
59,중로2류3호선, 시도59호선(내동-도당),내동312,도당동141,1.75,1.75,,1.75,,,
60,중로2류4호선, 시도60호선(도당-약대),도당동99-7,약대동46-7,1.382,1.382,,1.382,,,
61,중로2류5호선, 시도61호선중동-중동),중동1208-8,중동792-1,0.807,0.807,,0.807,,,
62,중로2류6호선, 시도62호선(원미-원미),원미동111-6,원미동177-56,0.84,0.84,,0.84,,,
63,중로2류7호선, 시도63호선(심곡-심곡),심곡동561,심곡동584-5,0.549,0.549,,0.549,,,
64,중로2류8호선, 시도64호선(소사-소사),소사동91-13,소사동136-1,0.28,0.28,,0.28,,,
65,중로2류9호선, 시도65호선(괴안-괴안),괴안동182-2,괴안동179-3,2.1,2.1,,2.1,,,
66,중로2류10호선, 시도66호선(소사-소사),소사동91-13,소사동산60-4,1.99,1.99,,1.99,,,
67,중로2류11호선, 시도67호선(역곡-역곡),역곡동1-18,역곡동190-17,1.734,1.734,0.466,1.268,,,
68,중로2류12호선, 시도68호선(역곡-역곡),역곡동78-12,역곡동111-5,1.48,1.48,1.48,,,,
69,중로2류13호선, 시도69호선(원종-작동),원종동372,작동30-8,1.18,1.18,1.18,,,,
70,중로2류14호선, 시도70호선(송내-상동),송내동352-2,상동881,0.975,0.975,0.975,,,,
71,중로2류15호선, 시도71호선(작동-원종),작동182-2,원종동348,0.626,0.35,0.35,,,,0.276
72,중로2류16호선, 시도72호선(원종-고강),원종동280,고강동338-12,0.92,0.92,0.92,,,,
73,중로2류17호선, 시도73호선(원종-원종),원종동293-4,원종동336-18,0.7,0.7,0.7,,,,
74,중로2류18호선, 시도74호선(고강-고강),고강동186-11,고강동278-4,1.01,1.01,1.01,,,,
75,중로2류19호선, 시도75호선(원종-원종),원종동60-14,원종동산62,0.108,0.108,0.108,,,,
76,중로2류20호선, 시도76호선(중동-중동),중동1032-2,중동1168,0.636,0.636,0.636,,,,
77,중로2류21호선, 시도77호선(중동-중동),중동1032-2,중동1058-6,1.117,1.117,1.117,,,,
78,중로2류22호선, 시도78호선(중동-중동),중동1157-3,중동1165,0.38,0.38,0.38,,,,
79,중로2류23호선, 시도79호선(중동-중동),중동1160-3,중동1168,0.38,0.38,0.38,,,,
80,중로2류24호선, 시도80호선(중동-중동),중동1120-2,중동1155,1.501,1.501,1.501,,,,
81,중로2류25호선, 시도81호선(중동-중동),중동1151,중동1137-2,0.634,0.634,0.634,,,,
82,중로2류26호선, 시도82호선(중동-중동),중동1148,중동1145,0.248,0.248,0.248,,,,
83,중로2류27호선, 시도83호선(중동-중동),중동1135,중동1062,0.515,0.515,0.515,,,,
84,중로2류28호선, 시도84호선(중동-중동),중동1132-4,중동1132-4,0.045,0.045,0.045,,,,
85,중로2류29호선, 시도85호선(중동-중동),중동1126-3,중동1126-2,0.042,0.042,0.042,,,,
86,중로2류30호선, 시도86호선(중동-중동),중동1123-4,중동1115,0.255,0.255,0.255,,,,
87,중로2류31호선, 시도87호선(중동-중동),중동1083-5,중동1160-3,0.867,0.867,0.867,,,,
88,중로2류32호선, 시도88호선(중동-중동),중동1079-4,중동1079-3,0.05,0.05,0.05,,,,
89,중로2류33호선, 시도89호선(중동-중동),중동1106-3,중동1107,0.105,0.105,0.105,,,,
90,중로2류34호선, 시도90호선(중동-중동),중동1106-4,중동1092-3,0.483,0.483,0.483,,,,
91,중로2류35호선, 시도91호선(중동-중동),중동1109-3,중동1108,0.09,0.09,0.09,,,,
92,중로2류36호선, 시도92호선(중동-중동),중동1113-3,중동1112-3,0.09,0.09,0.09,,,,
93,중로2류37호선, 시도93호선(중동-중동),중동1106,중동1114-3,0.638,0.638,0.638,,,,
94,중로2류38호선, 시도94호선(중동-중동),중동1105,중동1119-2,1.014,1.014,1.014,,,,
95,중로2류39호선, 시도95호선(중동-중동),중동1087,중동1118-1,0.915,0.915,0.915,,,,
96,중로2류40호선, 시도96호선(상동-상동),상동394,상동394-2,0.309,0.309,0.309,,,,
97,중로2류41호선, 시도97호선(중동-중동),중동1187-9,중동1196-7,0.279,0.279,0.279,,,,
98,중로2류42호선,시도98호선(소사-소사),소사동322-17,소사동297-7,0.389,0.389,0.389,,,,
99,중로2류43호선,시도99호선(소사-소사),소사동산40-10,소사동산49,0.498,0.498,0.498,,,,
100,중로2류45호선,시도100호선(도당-도당),도당동141,도당동714,0.32,0.32,0.32,,,,
101,중로2류46호선,시도101호선(약대-약대),약대동213-2,약대동141-6,0.738,0.738,0.738,,,,
102,중로2류47호선,시도102호선(소사-소사),소사동174-13,소사동171-4,0.125,0.125,0.125,,,,
103,중로3류1호선,시도103호선(원미-원미),원미동116-7,원미동204-12,0.91,0.91,0.91,,,,
104,중로3류2호선,시도104호선(소사-소사),소사동196,소사동166-8,1.16,1.16,1.16,,,,
105,중로3류3호선,시도105호선(심곡-심곡),심곡동132-13,심곡동368-1,0.978,0.978,0.978,,,,
106,중로3류4호선,시도106호선(심곡-송내),심곡동674-2,송내동389-6,2.259,2.259,2.259,,,,
107,중로3류5호선,시도107호선(송내-송내),송내동581,송내동608-2,0.42,0.42,0.42,,,,
108,중로3류6호선,시도108호선(심곡-심곡),심곡동382-9,심곡동439,0.77,0.77,0.77,,,,
109,중로3류7호선,시도109호선(심곡-심곡),심곡동454-3,심곡동355-1,0.8,0.8,0.8,,,,
110,중로3류8호선,시도110호선(심곡-심곡),심곡동138-5,심곡동153-18,0.25,0.25,0.25,,,,
111,중로3류9호선,시도111호선(소사-소사),소사동136-1,소사동210-35,1.28,1.28,1.28,,,,
112,중로3류10호선,시도112호선(역곡-괴안),역곡동114-7,소사동210-35,0.45,0.45,0.45,,,,
113,중로3류11호선,시도113호선(괴안-괴안),괴안동4-4,괴안동155-9,0.78,0.78,0.78,,,,
114,중로3류12호선,시도114호선(오정-삼정),오정동489,삼정동70-29,1.28,1.28,1.28,,,,
115,중로3류13호선,시도115호선(송내-송내),송내동628-7,송내동산78-7,0.824,0.824,0.824,,,,
116,중로3류14호선,시도116호선(고강-고강),고강동산56-10,고강동산33-4,0.912,0.912,0.912,,,,
117,중로3류15호선,시도117호선(원미-원미),원미동1-7,원미동산15-24,0.192,0.192,0.192,,,,
118,중로3류16호선,시도118호선(중동-중동),중동1158-8,중동1166-10,0.38,0.38,0.38,,,,
119,중로3류17호선,시도119호선(중동-중동),중동1154-14,중동1139,0.679,0.679,0.679,,,,
120,중로3류18호선,시도120호선(중동-중동),중동1122-1,중동1134,0.734,0.734,0.734,,,,
121,중로3류19호선,시도121호선(상동-상동),상동412-3,상동402,0.306,0.306,0.306,,,,
122,중로3류20호선,시도122호선(상동-상동),상동414-2,상동403,0.248,0.248,0.248,,,,
123,중로3류21호선,시도123호선(상동-상동),상동400,상동478,0.127,0.127,0.127,,,,
124,중로3류22호선,시도124호선(상동-상동),상동408-4,상동411-3,0.098,0.098,0.098,,,,
125,중로3류23호선,시도125호선(상동-상동),상동454-3,상동446,0.303,0.303,0.303,,,,
126,중로3류24호선,시도126호선(상동-상동),상동448-2,상동447,0.126,0.126,0.126,,,,
127,중로3류25호선,시도127호선(상동-상동),상동460,상동450,0.237,0.237,0.237,,,,
128,중로3류26호선,시도128호선(상동-상동),상동459-2,상동455-1,0.111,0.111,0.111,,,,
129,중로3류27호선,시도129호선(상동-상동),상동465,상동464-1,0.183,0.183,0.183,,,,
130,중로3류28호선,시도130호선(상동-상동),상동464,상동464-1,0.04,0.04,0.04,,,,
131,중로3류29호선,시도131호선(상동-상동),상동464-3,상동464-4,0.043,0.043,0.043,,,,
132,중로3류30호선,시도132호선(상동-상동),상동463-2,상동464-4,0.274,0.274,0.274,,,,
133,중로3류31호선,시도133호선(역곡-소사),역곡동4-8,소사동464-4,0.572,0.572,0.572,,,,
134,중로3류32호선,시도134호선(중동-중동),중동1158-6,중동1166,0.38,0.38,0.38,,,,
135,중로3류33호선,시도135호선(중동-중동),중동1154-14,중동1142-9,0.585,0.585,0.585,,,,
136,중로3류34호선,시도136호선(중동-중동),중동1124-6,중동1137-2,0.655,0.655,0.655,,,,
137,중로3류35호선,시도137호선(작동-작동),작동산69-3,작동362-9,0.159,0.159,0.159,,,,
138,중로3류36호선,시도138호선(작동-작동),작동196,작동350-7,0.338,0.338,0.338,,,,
139,중로3류37호선,시도139호선(작동-작동),작동196,작동202,0.105,0.105,0.105,,,,
140,중로3류38호선,시도140호선(삼정-삼정),삼정동14-12,삼정동64-3,0.662,0.332,0.332,,,,0.33
141,중로3류42호선,시도141호선(범박-범박),범박동46-2,범박동4,0.465,0.465,0.465,,,,
142,소로1류1호선,시도142호선(대장-고강),대장동749,고강동99-1,3.28,0,,,,,3.28
143,소로1류2호선,시도143호선(오정-오정),오정동182-1,오정동262-1,1.16,0,,,,,1.16
144,소로1류3호선,시도144호선(오정-오정),오정동219-1,오정동262,0.221,0,,,,,0.221
145,소로1류4호선,시도145호선(오정-오정),오정동192-1,오정동179-8,0.379,0.379,0.379,,,,
146,소로1류5호선,시도146호선(오정-오정),오정동179-3,오정동114-39,0.106,0.106,0.106,,,,
147,소로1류6호선,시도147호선(원종-원종),원종동409,원종동409,0.06,0.06,0.06,,,,
148,소로1류7호선,시도148호선(원종-원종),원종동413,원종동413,0.137,0.137,0.137,,,,
149,소로1류8호선,시도149호선(원종-원종),원종동149,원종동149,0.198,0.198,0.198,,,,
150,소로1류9호선,시도150호선(고강-고강),고강동474-1,고강동437,0.407,0.407,0.407,,,,
151,소로1류10호선,시도151호선(고강-고강),고강동507,고강동507,0.79,0.79,0.79,,,,
152,소로1류11호선,시도152호선(고강-고강),고강동500,고강동500,0.123,0.123,0.123,,,,
153,소로1류12호선,시도153호선(고강-고강),고강동541,고강동246-3,0.23,0.23,0.23,,,,
154,소로1류13호선,시도154호선(고강-고강),고강동산63-3,고강동산67-20,0.162,0.162,0.162,,,,
155,소로1류14호선,시도155호선(삼정-삼정),삼정동323,삼정동323,0.97,0.97,0.97,,,,
156,소로1류15호선,시도156호선(원종-원종),원종동431,원종동428,0.492,0.492,0.492,,,,
157,소로1류16호선,시도157호선(원종-원종),원종동430,원종동430,0.178,0.178,0.178,,,,
158,소로1류17호선,시도158호선(중동-중동),중동1226-1,중동1226-4,0.444,0.444,0.444,,,,
159,소로1류18호선,시도159호선(중동-중동),중동1230-3,중동1230-3,0.05,0.05,0.05,,,,
160,소로1류19호선,시도160호선(중동-중동),중동1234-1,중동1234-1,0.05,0.05,0.05,,,,
161,소로1류20호선,시도161호선(중동-중동),중동1232,중동1232,0.47,0.47,0.47,,,,
162,소로1류21호선,시도162호선(중동-중동),중동1234-1,중동1234-1,0.05,0.05,0.05,,,,
163,소로1류22호선,시도163호선(약대-약대),약대동153-24,도당동246-50,0.385,0.195,0.195,,,,0.19
164,소로1류23호선,시도164호선(중동-중동),중동1236,중동1236,0.264,0.264,0.264,,,,
165,소로1류24호선,시도165호선(중동-중동),중동1238,중동1238,0.246,0.246,0.246,,,,
166,소로1류25호선,시도166호선(도당-도당),도당동174,도당동174,0.216,0.216,0.216,,,,
167,소로1류26호선,시도167호선(작동-작동),작동산70,작동산70,0.971,0.971,0.971,,,,
168,소로1류27호선,시도168호선(작동-작동),작동산72-3,작동산72-3,0.147,0.147,0.147,,,,
169,소로1류28호선,시도169호선(작동-작동),작동산69-1,작동산53-1,0.244,0.244,0.244,,,,
170,소로1류29호선,시도170호선(작동-작동),작동산76,작동산76,0.021,0.021,0.021,,,,
171,소로1류30호선,시도171호선(중동-중동),중동971,중동971,0.111,0.111,0.111,,,,
172,소로1류31호선,시도172호선(중동-중동),중동974,중동973,0.234,0.234,0.234,,,,
173,소로1류32호선,시도173호선(중동-중동),중동977,중동977,0.066,0.066,0.066,,,,
174,소로1류33호선,시도174호선(상동-상동),상동334,상동332,0.384,0.384,0.384,,,,
175,소로1류34호선,시도175호선(상동-상동),상동334,상동332,0.377,0.377,0.377,,,,
176,소로1류35호선,시도176호선(상동-상동),상동337,상동334,0.402,0.402,0.402,,,,
177,소로1류36호선,시도177호선(중동-중동),중동881,중동979,0.453,0.453,0.453,,,,
178,소로1류37호선,시도178호선(심곡-심곡),심곡동413-6,심곡동413-6,0.46,0.46,0.46,,,,
179,소로1류38호선,시도179호선(송내-송내),송내동469,송내동466,0.42,0.42,0.42,,,,
180,소로1류39호선,시도180호선(송내-송내),송내동466,송내동466,0.376,0.376,0.376,,,,
181,소로1류40호선,시도181호선(송내-송내),송내동466,송내동466,0.111,0.111,0.111,,,,
182,소로1류41호선,시도182호선(송내-송내),송내동466,송내동466,0.954,0.954,0.954,,,,
183,소로1류42호선,시도183호선(송내-송내),송내동467,송내동467,0.91,0.91,0.91,,,,
184,소로1류43호선,시도184호선(송내-송내),송내동470,송내동470,0.186,0.186,0.186,,,,
185,소로1류44호선,시도185호선(송내-송내),송내동469,송내동469,0.084,0.084,0.084,,,,
186,소로1류45호선,시도186호선(송내-송내),송내동469,송내동469,0.19,0.19,0.19,,,,
187,소로1류46호선,시도187호선(송내-송내),송내동467,송내동467,0.207,0.207,0.207,,,,
188,소로1류47호선,시도188호선(중동-중동),중동987,중동911-1,0.181,0.181,0.181,,,,
189,소로1류48호선,시도189호선(송내-송내),송내동497,송내동497,0.479,0.479,0.479,,,,
190,소로1류49호선,시도190호선(송내-송내),송내동479,송내동479,0.224,0.224,0.224,,,,
191,소로1류50호선,시도191호선(송내-송내),송내동497,송내동497,0.166,0.166,0.166,,,,
192,소로1류51호선,시도192호선(송내-송내),송내동498,송내동496-4,0.165,0.165,0.165,,,,
193,소로1류52호선,시도193호선(역곡-역곡),역곡동267-1,역곡동267-1,0.241,0.241,0.241,,,,
194,소로1류53호선,시도194호선(역곡-역곡),역곡동268,역곡동268,0.244,0.244,0.244,,,,
195,소로1류54호선,시도195호선(역곡-역곡),역곡동275,역곡동275,0.19,0.19,0.19,,,,
196,소로1류55호선,시도196호선(송내-송내),송내동472,송내동313-43,0.241,0.241,0.241,,,,
197,소로1류56호선,시도197호선(송내-송내),송내동472,송내동472,0.116,0.116,0.116,,,,
198,소로1류57호선,시도198호선(송내-송내),송내동473,송내동474,0.659,0.659,0.659,,,,
199,소로1류58호선,시도199호선(송내-송내),송내동497,송내동497,0.341,0.341,0.341,,,,
200,소로1류59호선,시도200호선(송내-송내),송내동473,송내동472,0.794,0.794,0.794,,,,
201,소로1류60호선,시도201호선(송내-송내),송내동476,송내동476,0.376,0.376,0.376,,,,
202,소로1류61호선,시도202호선(송내-송내),송내동476,송내동476,0.23,0.23,0.23,,,,
203,소로1류62호선,시도203호선(송내-송내),송내동477,송내동477,0.467,0.467,0.467,,,,
204,소로1류63호선,시도204호선(송내-송내),송내동631-2,송내동477,0.128,0.128,0.128,,,,
205,소로1류64호선,시도205호선(심곡-심곡),심곡본동651,심곡본동651,0.576,0.576,0.576,,,,
206,소로1류65호선,시도206호선(심곡-심곡),심곡본동563,심곡본동819,0.292,0.292,0.292,,,,
207,소로1류66호선,시도207호선(심곡-심곡),심곡본동615,심곡본동615,0.139,0.139,0.139,,,,
208,소로1류67호선,시도208호선(심곡-심곡),심곡본동562-198,심곡본동산59-4,0.64,0,,,,,0.64
209,소로1류68호선,시도209호선(소사-소사),소사본동194-11,소사본동383,0.273,0.273,0.273,,,,
210,소로1류69호선,시도210호선(소사-소사),소사본동271,소사본동271,0.234,0.234,0.234,,,,
211,소로1류70호선,시도211호선(소사-소사),소사본동260,소사본동260,0.331,0.331,0.331,,,,
212,소로1류71호선,시도212호선(소사-소사),소사본동258,소사본동258,0.243,0.243,0.243,,,,
213,소로1류72호선,시도213호선(소사-소사),소사본동261,소사본동261,0.073,0.073,0.073,,,,
214,소로1류73호선,시도214호선(소사-소사),소사본동305,소사본동305,0.336,0.336,0.336,,,,
215,소로1류74호선,시도215호선(소사-소사),소사본동305,소사본동306,0.23,0.23,0.23,,,,
216,소로1류75호선,시도216호선(소사-소사),소사본동310,소사본동310,0.288,0.288,0.288,,,,
217,소로1류76호선,시도217호선(소사-소사),소사본동312,소사본동312,0.264,0.264,0.264,,,,
218,소로1류77호선,시도218호선(소사-소사),소사본동311,소사본동311,0.125,0.125,0.125,,,,
219,소로1류78호선,시도219호선(괴안-괴안),괴안동182-2,괴안동182-2,0.066,0.066,0.066,,,,
220,소로1류79호선,시도220호선(소사-소사),소사본동402,소사본동402,0.042,0.042,0.042,,,,
221,소로1류80호선,시도221호선(소사-소사),소사본동402,소사본동402,0.04,0.04,0.04,,,,
222,소로1류81호선,시도222호선(옥길-옥길),옥길동544-4,서울시구역계,1.553,0,,,,,1.553
223,소로1류82호선,시도223호선(중동-중동),중동1229-1,중동1229-1,0.281,0.281,0.281,,,,
224,소로1류83호선,시도224호선(중동-중동),중동1229-2,중동1229-2,0.22,0.22,0.22,,,,
225,소로1류84호선,시도225호선(중동-중동),중동1230-1,중동1230-1,0.281,0.281,0.281,,,,
226,소로1류85호선,시도226호선(중동-중동),중동1230-2,중동1230-2,0.279,0.279,0.279,,,,
227,소로1류86호선,시도227호선(중동-중동),중동1230-2,중동1230-2,0.49,0.49,0.49,,,,
228,소로1류87호선,시도228호선(중동-중동),중동1233-1,중동1233-1,0.12,0.12,0.12,,,,
229,소로1류88호선,시도229호선(중동-중동),중동1233-1,중동1233-1,0.52,0.52,0.52,,,,
230,소로1류89호선,시도230호선(중동-중동),중동1233-1,중동1233-1,0.159,0.159,0.159,,,,
231,소로1류90호선,시도231호선(중동-중동),중동1234-2,중동1234-2,0.05,0.05,0.05,,,,
232,소로1류91호선,시도232호선(중동-중동),중동1239-2,중동1239-2,0.05,0.05,0.05,,,,
233,소로1류92호선,시도233호선(중동-중동),중동1246-1,중동1246-1,0.067,0.067,0.067,,,,
234,소로1류93호선,시도234호선(중동-중동),중동1246-1,중동1246-1,0.02,0.02,0.02,,,,
235,소로1류94호선,시도235호선(중동-중동),중동1246-1,중동1246-1,0.02,0.02,0.02,,,,
236,소로1류95호선,시도236호선(중동-중동),중동1246-1,중동1246-1,0.06,0.06,0.06,,,,
237,소로1류96호선,시도237호선(중동-중동),중동1246-1,중동1246-1,0.04,0.04,0.04,,,,
238,소로1류97호선,시도238호선(중동-중동),중동1247-1,중동1247-1,0.29,0.29,0.29,,,,
239,소로1류98호선,시도239호선(중동-중동),중동1247-2,중동1247-1,0.288,0.288,0.288,,,,
240,소로1류99호선,시도240호선(중동-중동),중동1255,중동1255,0.166,0.166,0.166,,,,
241,소로1류100호선,시도241호선(중동-중동),중동1255,중동1255,0.39,0.39,0.39,,,,
242,소로1류101호선,시도242호선(중동-중동),중동1148-4,중동1148-4,0.07,0.07,0.07,,,,
243,소로1류102호선,시도243호선(중동-중동),중동1142-21,중동1142-21,0.02,0.02,0.02,,,,
244,소로1류103호선,시도244호선(중동-중동),중동1142-21,중동1142-21,0.02,0.02,0.02,,,,
245,소로1류104호선,시도245호선(중동-중동),중동1143-9,중동1143-9,0.06,0.06,0.06,,,,
246,소로1류105호선,시도246호선(중동-중동),중동1145-3,중동1145-3,0.04,0.04,0.04,,,,
247,소로1류106호선,시도247호선(중동-중동),중동1260,중동1260,0.279,0.279,0.279,,,,
248,소로1류107호선,시도248호선(중동-중동),중동1261,중동1261,0.277,0.277,0.277,,,,
249,소로1류108호선,시도249호선(중동-중동),중동1260,중동1260,0.606,0.606,0.606,,,,
250,소로1류109호선,시도250호선(중동-중동),중동1134-5,중동1134-5,0.027,0.027,0.027,,,,
251,소로1류110호선,시도251호선(중동-중동),중동1130-19,중동1130-19,0.02,0.02,0.02,,,,
252,소로1류111호선,시도252호선(중동-중동),중동1130-19,중동1130-19,0.02,0.02,0.02,,,,
253,소로1류112호선,시도253호선(중동-중동),중동1261,중동1261,0.715,0.715,0.715,,,,
254,소로1류113호선,시도254호선(중동-중동),중동1128,중동1128,0.027,0.027,0.027,,,,
255,소로1류114호선,시도255호선(중동-중동),중동1124-15,중동1124-15,0.02,0.02,0.02,,,,
256,소로1류115호선,시도256호선(중동-중동),중동1124-15,중동1124-15,0.02,0.02,0.02,,,,
257,소로1류116호선,시도257호선(상동-상동),상동469,상동469,0.279,0.279,0.279,,,,
258,소로1류117호선,시도258호선(상동-상동),상동469,상동469,0.326,0.326,0.326,,,,
259,소로1류118호선,시도259호선(상동-상동),상동472,상동472,0.404,0.404,0.404,,,,
260,소로1류119호선,시도260호선(상동-상동),상동472,상동472,0.129,0.129,0.129,,,,
261,소로1류120호선,시도261호선(상동-상동),상동474,상동474,0.291,0.291,0.291,,,,
262,소로1류121호선,시도262호선(상동-상동),상동476,상동476,0.039,0.039,0.039,,,,
263,소로1류122호선,시도263호선(상동-상동),상동476,상동476,0.154,0.154,0.154,,,,
264,소로1류123호선,시도264호선(상동-상동),상동478,상동478,0.051,0.051,0.051,,,,
265,소로1류124호선,시도265호선(상동-상동),상동476,상동476,0.076,0.076,0.076,,,,
266,소로1류125호선,시도266호선(상동-상동),상동476,상동476,0.039,0.039,0.039,,,,
267,소로1류126호선,시도267호선(상동-상동),상동484,상동484,0.202,0.202,0.202,,,,
268,소로1류127호선,시도268호선(상동-상동),상동484,상동484,0.459,0.459,0.459,,,,
269,소로1류128호선,시도269호선(상동-상동),상동484,상동484,0.12,0.12,0.12,,,,
270,소로1류129호선,시도270호선(상동-상동),상동490,상동490,0.04,0.04,0.04,,,,
271,소로1류130호선,시도271호선(상동-상동),상동490,상동490,0.174,0.174,0.174,,,,
272,소로1류131호선,시도272호선(상동-상동),상동490,상동490,0.046,0.046,0.046,,,,
273,소로1류132호선,시도273호선(상동-상동),상동490,상동490,0.09,0.09,0.09,,,,
