시군명,사업장명,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,X좌표값,Y좌표값
부천시,복사골스포츠센터,경기도 부천시 장말로 107  (상동),경기도 부천시 상동 394-2번지,37.4946222,126.7542194,178200.6985,443639.8762
부천시,자마이카피트니스,"경기도 부천시 옥산로 7, B110,111호 (중동, 리첸시아 중동)",경기도 부천시 중동 1116 리첸시아 중동 ,37.49538287,126.7792784,180426.8242,443677.0161
부천시,(주)더블유휘트니스,"경기도 부천시 신흥로 190-1, 상가2동 B101호 (중동, 위브터스테이트)",경기도 부천시 중동 1107 위브더스테이트 상가2동 B101호 ,37.50065755,126.7780964,180295.4122,444337.3839
부천시,부천스포츠센터,경기도 부천시 중동로71번길 43 (송내동),경기도 부천시 송내동 368 ,37.48651473,126.7619443,178948.925,442648.2247
부천시,웅진플레이도시,경기도 부천시 조마루로 2 (상동),경기도 부천시 상동 572-1번지 ,37.49981897,126.7448838,177375.853,444220.0139
