시군명,공동주택명,읍면동,지번,사용검사일자,동수,세대수,의무관리대상여부
부천시,현대아파트,원종동,211-3,1987-08-31,1,30,N
부천시,현대아파트,원종동,362-4,1987-02-16,1,40,N
부천시,현대아파트,중동,813,1985-10-30,1,25,N
부천시,현대아파트,중동,772-2,1984-04-07,1,50,N
부천시,현진 아파트,역곡동,Feb-98,1986-02-19,1,80,N
부천시,협성아파트,원종동,201,1987-11-24,1,60,N
부천시,형진아파트,원종동,360-8,1986-06-19,1,45,N
부천시,형진아파트,중동,732-1,1987-07-01,2,80,N
부천시,홍익아파트,고강동,409-5,1989-03-07,2,80,N
부천시,효마을아파트,오정동,559-2,2008-02-04,1,50,N
부천시,효자아파트,원종동,138-1,1987-02-11,2,130,N
부천시,효행복마을아파트,오정동,415-4,2013-06-13,1,150,Y
부천시,흥립약대아파트,약대동,169-38,1984-08-22,4,210,N

