,dong,year,total,man,woman,age10,age20,age30,age40,age50,age60
48,역곡동,2017,"93,523.75","50,816.23","42,707.51","5,340.05","17,510.93","18,752.18","18,137.41","18,301.87","15,481.31"
49,중동,2017,"432,746.73","236,381.37","196,365.36","24,820.05","64,386.76","100,910.49","96,435.36","92,503.87","53,690.21"
50,상동,2017,"510,214.80","304,025.90","206,188.89","28,802.93","69,896.56","115,878.43","124,004.08","113,075.23","58,557.56"
51,소사본동,2017,"146,219.34","85,187.73","61,031.62","7,746.84","20,792.36","28,775.08","31,034.81","34,664.24","23,206.01"
52,심곡본동,2017,"128,022.58","68,859.78","59,162.80","9,743.36","24,015.77","25,197.75","23,809.13","25,653.79","19,602.78"
53,범박동,2017,"37,121.14","22,029.29","15,091.85","2,280.33","3,568.88","8,752.42","9,013.63","8,079.53","5,426.35"
54,괴안동,2017,"119,815.37","67,424.56","52,390.81","6,562.08","20,448.13","25,432.01","24,420.03","24,032.98","18,920.15"
55,송내동,2017,"147,810.50","84,735.32","63,075.17","8,483.42","24,371.53","31,727.33","31,383.80","31,558.75","20,285.67"
56,옥길동,2017,"27,769.39","18,121.99","9,647.40","1,138.59","2,232.86","6,505.78","6,910.34","6,673.64","4,308.17"
57,계수동,2017,"6,746.68","4,532.40","2,214.29",292.08,542.54,"1,422.42","1,661.85","1,775.03","1,052.75"
58,오정동,2017,"76,139.27","50,606.83","25,532.44","3,251.81","8,691.12","16,767.19","18,896.64","18,541.44","9,991.07"
59,여월동,2017,"53,144.42","31,345.18","21,799.24","3,132.27","6,686","10,298.74","12,224.75","13,014.61","7,788.05"
60,작동,2017,"40,331.07","24,171.57","16,159.50","1,831.61","4,836.62","8,111.68","9,278.95","9,840.84","6,431.37"
61,원종동,2017,"132,255","79,809.24","52,445.77","7,210.44","16,876.47","26,496","30,117.87","32,412.40","19,141.84"
62,고강동,2017,"91,379.27","58,612.30","32,766.98","3,612.76","10,890.12","18,700.01","21,767.51","22,248.56","14,160.32"
63,원미동,2018,"39,652.34","23,964.99","15,687.35","1,746.12","4,338.93","7,423.21","8,357.30","10,209.78","7,576.99"
64,심곡동,2018,"121,448.72","69,849.68","51,599.03","6,526.12","21,285.17","23,920.56","22,880.83","26,178.97","20,657.07"
65,춘의동,2018,"122,531.78","73,739.80","48,791.98","4,834.72","17,853.44","26,402.63","26,456.45","27,462.05","19,522.47"
66,도당동,2018,"74,409.36","49,362.42","25,046.94","2,651.22","8,070.61","14,542.25","17,641.82","19,806.51","11,696.95"
67,약대동,2018,"38,219.44","24,954.56","13,264.89","1,379.09","4,025.63","8,035.55","9,034.49","9,769.44","5,975.25"
68,소사동,2018,"30,489.78","17,715.44","12,774.34","1,399.31","4,291.73","5,857.46","6,071.62","6,937.69","5,931.98"
69,역곡동,2018,"95,814.91","52,863.92","42,950.99","5,243.31","17,182.12","18,568.50","18,170.02","18,717.57","17,933.39"
70,중동,2018,"409,803.18","229,445.96","180,357.22","22,074.84","56,328.26","90,958.11","89,669.90","90,102.21","60,669.88"
71,상동,2018,"529,951.96","321,014.61","208,937.35","29,552.46","66,614.62","112,899.99","125,831.12","121,092.52","73,961.26"
72,소사본동,2018,"155,814.36","91,433.80","64,380.56","8,192.82","20,577.74","29,633.52","31,741.96","36,658.08","29,010.24"
73,심곡본동,2018,"121,944.35","66,424.57","55,519.78","7,920.87","21,062.28","23,046.39","22,252.27","25,136.92","22,525.62"
74,범박동,2018,"42,818.71","25,105.20","17,713.51","2,770.99","3,909.08","9,967.26","10,241.25","8,906.60","7,023.52"
75,괴안동,2018,"124,890.61","70,925.55","53,965.05","6,779.45","19,486.17","25,470.23","25,060.50","25,221.37","22,872.88"
76,송내동,2018,"148,497.42","86,435.66","62,061.75","8,375.75","22,308.35","30,011.96","31,035.68","32,240.98","24,524.69"
77,옥길동,2018,"41,334.31","24,840.61","16,493.70","2,389.08","3,433.61","10,253.46","10,055.58","8,629.68","6,572.91"
78,계수동,2018,"9,982.29","6,037.63","3,944.66",666.02,901.44,"2,344.38","2,328.22","2,190.72","1,551.52"
79,오정동,2018,"78,116.03","52,433.95","25,682.08","3,178.64","8,407.74","16,252.94","18,538.51","19,312.64","12,425.56"
80,여월동,2018,"47,515.73","28,715.65","18,800.08","2,436.77","5,481.37","8,654.65","10,598.29","12,147.69","8,196.97"
81,작동,2018,"39,427.23","23,650.13","15,777.10","1,764.83","4,521.04","7,638.13","8,709.29","9,517.55","7,276.39"
82,원종동,2018,"134,292.16","82,690.91","51,601.25","6,225.18","15,690.45","25,894.25","29,184.01","33,693.37","23,604.90"
83,고강동,2018,"98,011.73","63,738.79","34,272.93","3,892.11","10,654.49","18,893.58","22,283.83","24,314.52","17,973.20"
