,이름,지번주소,위도,경도
224,수방사 신화권투체육관,경기도 부천시 원종동 231번지 부원빌딩 지하1동 ,37.5279289,126.8051305
225,꿈나무체육관(태권),경기도 부천시 송내동 333-1번지,37.4856827,126.7577428
226,경희대석사스카이태권도,경기도 부천시 소사본동 409-6번지 504호,37.4724608,126.8033549
227,올림픽태권도장,경기도 부천시 중동 1051-1번지 단지내상가 302호,37.5086736,126.7699051
228,역곡M복싱클럽,경기도 부천시 괴안동 114-7번지 ,37.4840712,126.8121543
229,부천왕호태권도장,경기도 부천시 괴안동 248-1번지 ,37.48001208,126.8148555
230,경희대큰나무태권도체육관,경기도 부천시 상동 557-3번지 늘푸른종합상가 403호,37.50059423,126.7534646
231,경희대 신어태권도장,경기도 부천시 원미동 83-9번지 2층호,37.4955373,126.7890227
232,연세대준태권도장,경기도 부천시 원종동 70-1번지 동문아파트 상가 3층 2호,37.5305671,126.8041279
233,역곡유도회관,경기도 부천시 역곡동 111-7번지 지하호,37.4867045,126.8136514
234,JWC영어태권도장,경기도 부천시 중동 1056번지 제일프라자 ,37.50448362,126.769692
235,wawa이지유도클럽,경기도 부천시 상동 533-11 부건프라자 ,37.50752809,126.7523805
236,CH복싱&크로스핏,경기도 부천시 원종동 222번지,37.5237904,126.8033541
237,석천태권도체육관,경기도 부천시 상동 534-2번지 611반,37.5069269,126.7528893
238,용인대도전체육관(태권도),경기도 부천시 상동 235번지 301호(3층),37.4927299,126.7628308
239,상동검도관,경기도 부천시 상동 546-10 501반 ,37.50383666,126.7516027
240,백호 태권도,경기도 부천시 작동 71-5번지 2층,37.5139572,126.8067396
241,최강태권도체육관,경기도 부천시 여월동 48-43번지 2층,37.5147281,126.8043736
242,한국체대 비전태권도,경기도 부천시 원종동 206-3번지,37.5241733,126.8007399
243,우슈격투기비호관,경기도 부천시 춘의동 131-2번지 3층,37.5056486,126.780489
244,검도스쿨중동점,"경기도 부천시 중동 1058-1 신명타운605,606호 ",37.50398732,126.7728373
245,파이널 유도 멀티짐,경기도 부천시 송내동 586번지 4층,37.48368,126.769881
246,퍼펙복싱,경기도 부천시 심곡본동 688-2번지,37.4796837,126.78138
247,박사경희대태권도교육관 상인초점,경기도 부천시 상동 526-1 ,37.51190856,126.7552221
248,부광태권도,경기도 부천시 심곡동 181-12번지 3층,37.4896212,126.785964
249,소사체육관(태권),경기도 부천시 소사본동 199-20번지,37.4731831,126.7989102
250,대한검도 검학당,경기도 부천시 상동 536-2번지 월드컵타운 6층 603호,37.5071741,126.7547433
251,세종태권도,경기도 부천시 내동 31 ,37.5182557,126.7722395
252,용인대한국키즈태권도,경기도 부천시 상동 533-11번지 부건프라자 501호,37.5074302,126.7522995
253,명성체육관,경기도 부천시 고강동 399번지,37.5255674,126.8214043
254,뉴서울체육관,경기도 부천시 송내동 368번지 뉴서울상가 2층 219호,37.4857109,126.7627176
255,금메달 체육관,경기도 부천시 고강동 390-3번지,37.5275318,126.8216032
256,정인 태권도체육관,경기도 부천시 역곡동 212-2번지 한국아파트 상가 303호,37.4927861,126.8135683
257,베스트 체대입시,경기도 부천시 소사본동 75-3번지,37.4809066,126.7948757
258,청무검도관,경기도 부천시 중동 1134-1번지 상지프라자 401호,37.4999802,126.7751342
259,용승태권도체육관,경기도 부천시 소사본동 222-46번지 3층,37.4702075,126.7975731
260,태권도 영광체육관,경기도 부천시 상동 408-3번지 우신프라자 702호,37.489679,126.7514995
261,정무문쿵후체육관,경기도 부천시 심곡동 131-38번지 ,37.48593085,126.7879873
262,청룡체육관,경기도 부천시 춘의동 222-13번지,37.4983129,126.7844122
263,경희대석사위브태권도,경기도 부천시 중동 1111번지 위브더스테이트 상가 6동 209호,37.4986532,126.7785195
264,태양복싱 다이어트,경기도 부천시 고강동 310-3번지 ,37.5279513,126.8132984
265,권영택유도교실,경기도 부천시 소사본동 233-30번지 2층,37.4708795,126.7954687
266,용인대한얼태권도장,경기도 부천시 중동 765-1번지 3층,37.4934033,126.7616866
267,동신체육관,경기도 부천시 괴안동 199-2번지,37.4882372,126.8200474
268,베스트 스포츠 클럽,경기도 부천시 범박동 44-16 보람월드프라자 ,37.46984716,126.80939
269,검도스쿨원미관,경기도 부천시 상동 546-6번지 801반,37.5038676,126.7505471
270,부천검도관,경기도 부천시 심곡동 146-15번지 3층호,37.48565562,126.7852971
271,신성태권도,경기도 부천시 도당동 128번지,37.519089,126.7939666
272,중동신인복싱클럽,"경기도 부천시 중동 1162-4번지 중동프라자 203,204호",37.5027571,126.7624368
273,금강태권도,경기도 부천시 중동 1027-2번지 예일빌딩 1층,37.5109278,126.7617999
274,화랑태권도,경기도 부천시 고강동 459-2번지 2층,37.5253414,126.8151603
275,즐거운태권도,경기도 부천시 괴안동 204-5 삼익세라믹아파트 ,37.47515138,126.8024424
276,베스트태권도장,경기도 부천시 범박동 152-2번지 상가동 301호,37.47273878,126.8075539
277,도원태권도체육관,경기도 부천시 심곡본동 630-25번지 ,37.4770411,126.7751926
278,예스복싱클럽,경기도 부천시 중동 1079-1번지 뉴월드타워 701~702호,37.5032914,126.7775217
279,맑음 태권도,경기도 부천시 상동 557-1번지 5층호,37.50095451,126.7534068
280,고려태권도세상,"경기도 부천시 상동 533-3번지 504,505호",37.5076516,126.7505005
281,제일호키태권도,경기도 부천시 괴안동 166-4번지 2층,37.4839882,126.8166319
282,연세대꿈나무태권도장,경기도 부천시 심곡본동 703-9번지 아람빌딩 ,37.4774618,126.7784924
283,중동태권도,"경기도 부천시 중동 1208번지 계남아카데미빌딩 502,503호",37.4949262,126.7707733
284,슈퍼아이태권도장,경기도 부천시 중동 1103번지 ,37.5000069,126.7796576
285,노블레스 태권도,경기도 부천시 송내동 504번지 2층,37.4861762,126.7655541
286,용인대 전진체육관,경기도 부천시 소사본동 195-1번지 3층 1호,37.4749834,126.7979331
287,용인대 국가대표 태권도,"경기도 부천시 도당동 63-9번지 2,3층",37.5195612,126.7909903
288,부안 태권도장,경기도 부천시 괴안동 100-48 ,37.4800257,126.8113208
289,연세태권도체육관,경기도 부천시 소사본동 174-10번지,37.4750177,126.7918509
290,C.M. 복싱,경기도 부천시 오정동 207-8번지 5층,37.5273941,126.782936
291,SL태권도장,경기도 부천시 도당동 105-4번지 2층,37.5185906,126.7923844
292,봉황태권도장,경기도 부천시 소사본동 159-48번지,37.475234,126.7969941
293,경희대충무태권도,경기도 부천시 상동 318-4번지 3층,37.4884864,126.7629349
294,한체대리틀태권도,경기도 부천시 송내동 370번지 외 1필지,37.4861822,126.7640729
295,경희대힘찬태권도장,경기도 부천시 도당동 42-4번지 2층호,37.5189486,126.7860715
296,행복한 동행 삼성태권도장,경기도 부천시 오정동 192-8 ,37.52958377,126.7873359
297,경희대현대태권도,"경기도 부천시 범박동 154-2번지 현대홈타운1단지상가 301,302",37.4745436,126.8096576
298,경희대석사 삼손참태권도장,경기도 부천시 원미동 122-4번지 4층 ,37.49278803,126.7883295
299,고려태권도,경기도 부천시 약대동 91-3번지,37.5147274,126.7694904
300,VICTOR MMA 아카데미,경기도 부천시 상동 545-8번지,37.5046793,126.7509402
301,백인태권도체육관,경기도 부천시 중동 1031-3번지,37.5051998,126.7629153
302,용인대 대동 태권도,경기도 부천시 심곡동 92-13번지 2층,37.4955715,126.7831085
303,홍익태권도장,경기도 부천시 괴안동 70-13번지,37.4792328,126.8066269
304,경희대 전진 태권도장,경기도 부천시 소사본동 194-18번지,37.4733798,126.7980505
305,유성체육관,경기도 부천시 상동 536-4번지 506반,37.507094,126.7552186
