,군집,위도_평균,경도_평균
0,0,37.49704094748323,126.76748581571282
1,3,37.501440407785864,126.75038562267974
2,5,37.49646065341709,126.78722585647142
3,6,37.490873005276256,126.79067255166257
4,10,37.480927309479966,126.79808692370473
5,15,37.52150044028708,126.78761642818824
6,18,37.517252456709755,126.78781847372537
7,22,37.52018654064919,126.79396606424345
8,25,37.47917156850767,126.77979292848022
9,26,37.473220782308644,126.79305097338606
10,29,37.49474826157966,126.76117322387995
11,30,37.47781896735694,126.80593869563184
12,35,37.46260057050597,126.8109793671262
13,37,37.4947902590584,126.78014003944168
14,42,37.48442010278713,126.756863698124
15,43,37.48470931709585,126.7702077357078
16,44,37.47876343322727,126.77558129077592
17,47,37.500437354375556,126.7785918890281
18,48,37.48552307241526,126.76335662667054
19,11_0,37.510612427329484,126.75170098123947
20,11_1,37.50662337232883,126.75042081240127
21,12_0,37.48394528376961,126.78778469271607
22,12_1,37.48118950367527,126.79167522003269
23,13_0,37.490967949335925,126.75128428743317
24,13_1,37.49396915363014,126.7480791636357
25,14_0,37.53050719939809,126.78651216008537
26,14_1,37.52610674908697,126.78545066074004
27,16_0,37.4766405627801,126.80080634313234
28,16_1,37.47361386577069,126.8018936729022
29,17_0,37.518726595549055,126.8042633298643
30,17_1,37.510788254404225,126.8050677532283
31,19_0,37.50170148087934,126.76002364781294
32,19_1,37.49941655292555,126.75818579764045
33,1_0,37.50474037344244,126.77363325980454
34,1_1,37.50791640493415,126.77710994784601
35,20_0,37.491925435552375,126.76621603617912
36,20_1,37.48933065946411,126.76768679380274
37,21_0,37.495400717387675,126.75231068965354
38,21_1,37.496590571053964,126.75551755693839
39,23_0,37.50111181662796,126.79459825158244
40,23_1,37.4948574041188,126.79375208673086
41,24_0,37.485534702890355,126.77740111104994
42,24_1,37.48948720734411,126.77450818045064
43,27_0,37.50495122633235,126.76401434403502
44,27_1,37.50854510202021,126.76216872943785
45,28_0,37.50867133633582,126.77161512436388
46,28_1,37.507217696236694,126.76819454300046
47,2_0,37.500917648782874,126.76971060191389
48,2_1,37.50157888289722,126.7725325411261
49,31_0,37.47345309964816,126.81017717440291
50,31_1,37.470343095331145,126.80770413943725
51,32_0,37.489053551888716,126.8095783600781
52,32_1,37.49028600169713,126.81336454523769
53,33_0,37.49918355464218,126.77387564875681
54,33_1,37.495095827246864,126.77361357230616
55,34_0,37.48007918223076,126.81138440210718
56,34_1,37.481284120841934,126.81536971920177
57,36_0,37.486985874970244,126.78665160267077
58,36_1,37.48991914115677,126.78197781704239
59,38_0,37.50187505103527,126.78412604466045
60,38_1,37.50569926551221,126.7830524031113
61,39_0,37.48382173412198,126.81775953496566
62,39_1,37.48996145333395,126.81958898787597
63,40_0,37.463745394447116,126.8196651018302
64,40_1,37.463647209749084,126.82499681675252
65,41_0,37.52373797288121,126.80004369355461
66,41_1,37.52911721318798,126.80071366661133
67,45_0,37.48656435168359,126.80717742448115
68,45_1,37.483735905971656,126.8030562359828
69,46_0,37.480608077212636,126.77019108051657
70,46_1,37.47855388148215,126.76596980414513
71,49_0,37.525893239114346,126.8239954081498
72,49_1,37.52916699757811,126.81996534049807
73,4_0,37.51452567258382,126.77256119805303
74,4_1,37.514165501409146,126.76731845840173
75,7_0,37.53007201732828,126.80804841662338
76,7_1,37.5242965582155,126.81073299521229
77,8_0,37.46788312881544,126.8005647981234
78,8_1,37.46999714007743,126.80422045164079
79,9_0,37.51432898976387,126.75741587493505
80,9_1,37.51026785450146,126.75660750445803
