,자전거대여소명,위도,경도,버스_5분이내수,버스_5분이내거리최소,버스_5분이내거리평균,버스_5분이내거리최대
0,공공자전거대여소 부천시청역,37.504938,126.763465,14,0.0014498679560494341,0.0028247765750022374,0.004015572025253359
1,공공자전거대여소 상동역,37.506069000000004,126.754122,23,0.0005411859015264633,0.0025590651689709806,0.003993487823953839
2,공공자전거대여소 신중동역,37.503068,126.775751,19,0.0016381118673661596,0.002873535036980689,0.003914171060392
3,공공자전거대여소 부천역,37.484716999999996,126.782677,22,0.0014235665702817008,0.002651358565821899,0.00401242254629284
4,공공자전거대여소 송내역,37.488285999999995,126.755075,21,0.0003072742911502547,0.0025341178391871926,0.003917206260836676
5,공공자전거대여소 부천시청,37.503728,126.766102,14,0.000723593808704699,0.0026757553137787085,0.0038555783197791087
6,공공자전거대여소 굴포천,37.51828870000001,126.76075390000001,16,9.106069405758003e-05,0.0027067381627921346,0.004032937931603988
