,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
5865,202006,경인선,역곡,977,19,27561,3917,44631,10576,122096,13444,114285,27139,56444,21822,34280,19483,30132,21908,31027,23320,29940,24730,25455,26494,24979,29920,29537,41664,32721,60690,32212,107920,20538,97521,17582,52876,15477,45985,13686,42110,5930,26744,412,3615,0,0,0,0,0,0,20200703
5871,202006,경인선,중동,830,3,10648,1610,16956,4839,42068,6031,32510,12044,16789,7683,11156,6794,10837,6674,10855,8069,10174,7933,8579,8831,8960,10108,10555,12789,11680,18203,12600,28502,6646,28721,5265,15585,4471,13715,3072,12634,1356,7620,172,2902,0,0,0,0,0,0,20200703
6242,202005,7호선,까치울,2,0,3507,745,9046,3246,25280,4607,32658,9209,15760,4827,8458,5176,7876,6647,8468,7113,9121,7540,8648,7330,8958,8031,9657,9990,10433,16046,10183,25799,6460,23219,5262,13635,4170,11757,3252,11267,1122,6942,1,6,0,0,0,0,0,0,20200603
6262,202005,7호선,상동,9,0,3882,1768,13524,4921,34251,10107,32143,23604,15193,22524,11535,13427,12528,13986,13838,15855,14732,16452,15027,16988,16659,16515,18928,17679,21066,22787,26689,38398,16933,33984,14486,18639,15864,14185,15010,12098,4873,8439,27,1585,0,0,0,0,0,0,20200603
6267,202005,7호선,신중동,5,0,4866,2202,14653,5426,38649,12260,37935,39118,19205,24207,14430,14336,14342,12156,14985,12925,15502,14973,15507,14390,16479,15449,18115,17727,23152,22957,37495,38385,17659,39450,19139,19154,11564,16111,9923,14407,4157,11703,3,602,0,0,0,0,0,0,20200603
6281,202005,7호선,춘의,0,0,4366,1155,8492,5309,20326,21928,21533,41433,12075,14764,8519,7076,7308,5742,8022,6202,8421,7088,8395,6751,8496,7052,10328,8104,22514,10357,34945,17424,12794,15963,8215,10590,6993,9537,3891,7780,1276,6049,0,58,0,0,0,0,0,0,20200603
6460,202005,경인선,소사,1050,36,15078,2983,15039,5699,30764,6742,30079,11203,19048,8796,15050,9235,13175,9962,13865,10923,13331,11031,11992,11441,12022,11876,12158,14663,14101,20057,13657,28106,8007,24263,6132,15080,5098,15222,3688,13278,1615,8293,189,2733,0,0,0,0,0,0,20200603
6462,202005,경인선,역곡,754,6,25105,3457,39744,10301,106380,12018,103587,25257,54958,20230,35929,19864,32468,22732,33936,26791,32998,26338,28871,29495,28129,31620,33349,43054,33107,58802,32822,103869,21285,87211,18098,52096,16148,46410,13885,41445,6028,25632,507,5087,0,0,0,0,0,0,20200603
6468,202005,경인선,중동,799,5,9585,1552,15061,4656,36862,5354,30067,11001,16344,7903,11541,7134,11598,7091,11799,8208,11448,8778,10210,9598,9758,10674,10788,12951,11408,17626,12146,27458,6623,26779,5601,15346,4622,13108,3318,11951,1327,8454,206,2348,0,0,0,0,0,0,20200603
6839,202004,7호선,까치울,6,0,3329,649,8599,3448,24590,4438,31440,8842,15062,4205,7808,4357,7220,5155,7508,6139,8060,6175,7521,6402,7722,6872,8375,8749,9781,15102,9525,23678,6276,21955,4683,12997,3593,11080,2742,10261,951,6114,1,9,0,0,0,0,0,0,20200503
6859,202004,7호선,상동,4,0,3698,1730,12998,5224,33112,10006,31291,22403,14675,22218,10246,11908,10590,12064,12215,13653,12964,14618,13139,14720,14816,14303,17005,15605,19812,21010,25220,38165,16802,33068,13443,18214,15141,13473,13921,11414,4476,8200,45,1392,0,0,0,0,0,0,20200503
6864,202004,7호선,신중동,4,0,4927,2070,13919,4939,37592,12284,37542,38688,17904,22813,12344,12797,12192,10285,13256,11317,13764,13520,13749,13073,14924,13560,15962,16025,22169,21906,37973,36448,17522,39116,17671,18560,10456,15104,9411,13176,3976,10605,6,448,0,0,0,0,0,0,20200503
6878,202004,7호선,춘의,1,0,4276,1116,8312,4853,20282,23557,21111,44963,11500,14470,7353,6547,6117,5101,7014,5411,7451,6409,7265,6084,7783,6430,9635,7072,22343,9631,36787,16927,13603,15813,8909,9839,7266,9497,3948,6886,1280,5424,1,48,0,0,0,0,0,0,20200503
7058,202004,경인선,소사,817,33,14764,2625,14457,5437,29382,6591,28362,10716,17024,7523,12722,7525,11269,7982,11709,8897,10803,8939,9861,9779,9915,10338,10427,12820,12598,17901,12275,26023,7202,23791,5021,13358,4249,13217,3166,11409,1425,7424,131,2352,0,0,0,0,0,0,20200503
7060,202004,경인선,역곡,713,15,23607,3470,38572,10088,103008,11142,99650,23724,50766,18623,30086,16464,26920,17855,29098,20938,28483,22018,25115,24339,25003,27005,27519,38251,29117,52930,29827,97097,19610,86438,15839,49484,14520,42534,11825,38004,5282,22921,462,4663,0,0,0,0,0,0,20200503
7066,202004,경인선,중동,550,1,8835,1335,14799,4514,35467,5015,28710,10779,14923,7077,9996,6051,9641,6090,10104,6989,9684,7275,8779,7805,8237,9239,9485,10889,10306,16435,11564,26218,6488,25172,5025,14828,3850,12177,2719,10620,1207,7681,157,2046,0,0,0,0,0,0,20200503
7438,202003,7호선,까치울,1,0,3295,642,8481,3042,24405,4563,32115,7787,14586,3841,6850,3618,6081,3985,6576,4870,7003,5470,6433,5253,6602,6076,7151,7787,7986,13834,9230,23771,5528,22080,4162,12811,3076,9899,2450,9443,1025,5085,97,1258,0,0,0,0,0,0,20200403
7458,202003,7호선,상동,2,0,3422,1689,12820,4845,33072,9652,31057,22738,13990,20917,9008,11085,9091,10302,10644,11623,10834,12706,11233,12787,12573,12521,14052,13172,18029,18902,24670,36443,15387,32201,13118,17464,13780,12501,12074,10558,4721,7437,862,2571,1,99,0,0,0,0,20200403
7463,202003,7호선,신중동,10,0,5014,1850,13888,4599,37737,12603,37039,39249,17344,20571,10883,14088,10693,9161,11676,9973,11895,11966,12447,11285,13011,11628,14443,14085,20030,19145,37808,36163,18292,37543,14590,17665,10005,14008,8624,12285,3921,8766,761,3142,0,1,0,0,0,0,20200403
7477,202003,7호선,춘의,0,0,4384,1116,8079,4870,20415,25258,21282,47923,11065,14319,6403,6043,5516,4652,6027,4861,6577,5636,6551,5109,6916,5559,8588,6207,21839,9187,38390,16697,13591,16287,9822,10106,7908,8889,3742,6508,1501,4238,193,1652,0,0,0,0,0,0,20200403
7656,202003,경인선,소사,903,30,14070,2537,14604,5403,29724,6578,27761,9644,15178,6169,10722,6379,9297,6144,9642,7452,8971,7687,8161,8282,8338,8817,8941,10950,10858,15511,11480,24770,6612,24154,4396,12970,3905,12006,2779,10821,1238,6309,131,2255,0,0,0,0,0,0,20200403
7658,202003,경인선,역곡,523,17,23548,3261,38252,10277,103787,10868,98918,21781,48683,17665,27016,14787,23390,14537,24772,18443,23929,19146,21818,21817,21072,24619,24163,32892,27019,49045,27946,97105,18406,85591,14279,49968,13217,39687,10482,33075,5712,21886,508,4021,0,0,0,0,0,0,20200403
7664,202003,경인선,중동,499,2,8435,1262,14558,4437,35580,5220,28603,10390,13583,6399,8519,5510,8090,5000,8776,5989,8644,6585,7630,6611,7359,7875,8360,8862,8946,15128,11094,25625,5816,25365,4570,14427,3409,11361,2442,9979,1327,6692,153,1952,0,0,0,0,0,0,20200403
8035,202002,7호선,까치울,0,0,3261,720,8736,3086,26892,4411,34986,8261,16278,4370,8234,3906,7503,4630,7994,5557,8098,6415,6995,5994,7252,6956,7762,8915,8515,14761,9647,25084,6038,23666,4623,14298,3592,11723,2671,11408,1042,6357,123,1540,0,0,0,0,0,0,20200303
8055,202002,7호선,상동,9,1,4002,1682,13957,5263,38183,10211,34593,25471,16047,23900,11337,14108,11898,13988,14444,15713,15051,17299,14935,16414,16645,16265,18910,17486,21721,22162,28821,41679,18099,36709,14960,20592,16256,15235,14841,13381,6034,9686,1086,3320,0,118,0,0,0,0,20200303
8060,202002,7호선,신중동,5,0,5076,1504,14865,4712,42630,12536,41033,39983,19317,24799,13711,14241,13907,11725,15362,12275,15261,14320,15195,14159,15962,14366,16929,16944,22710,21557,40012,38562,17768,44202,18769,20189,11528,16543,9850,14961,4848,10938,844,3908,0,0,0,0,0,0,20200303
8074,202002,7호선,춘의,0,0,4406,1151,8337,5217,22582,24727,23302,49479,12270,15431,7668,7397,7125,5694,7921,5464,8220,6991,7631,6380,8342,6862,9343,7639,22487,9937,40560,17740,14478,18008,10162,10628,8740,10216,4173,8070,1717,5410,257,2045,0,0,0,0,0,0,20200303
8253,202002,경인선,소사,889,11,13622,2258,15247,6397,34559,7197,30245,11156,17813,8119,12791,7702,11694,8403,12207,10280,11841,10789,11238,10961,11283,10955,12174,12710,13208,17825,13143,25951,7505,27653,5351,14857,4234,14118,3365,13697,1581,8769,112,3016,0,0,0,0,0,0,20200303
8255,202002,경인선,역곡,474,14,23635,3275,40489,10936,118331,12061,111093,23575,54387,20322,33798,17262,29891,17922,31374,24223,30597,24781,26415,27445,25480,30759,27931,37605,33251,55272,31664,100797,20725,97954,16896,55555,14741,47596,13166,41322,6789,29249,580,5271,0,0,0,0,0,0,20200303
8261,202002,경인선,중동,426,3,8566,1296,15115,4408,40209,4944,31262,11834,15603,8476,10329,6580,10585,6467,11473,7000,10988,8413,9218,8061,9288,9558,9805,10974,10418,17418,12413,27001,6636,27655,5190,16004,4165,13328,2889,12053,1559,9074,147,2326,0,0,0,0,0,0,20200303
8632,202001,7호선,까치울,4,0,3189,713,8964,3196,28089,4488,36247,8746,18242,4996,11048,4874,10110,5708,10326,6852,10067,7829,9437,7703,9371,8888,9631,11505,10584,16646,10628,27251,7013,24893,5353,15424,4447,13761,3373,13537,1345,7806,132,2096,0,16,0,0,0,0,20200203
8652,202001,7호선,상동,18,0,4607,1803,14976,5803,40824,11285,38114,27615,18927,28019,15520,18222,16643,18898,18928,21188,19710,22599,20001,22414,22992,23224,25847,23843,28889,29469,33953,48712,22535,43354,19051,24414,21394,18789,19914,15964,7600,12618,1413,3913,8,384,0,0,0,0,20200203
8657,202001,7호선,신중동,5,0,5466,1466,15587,5098,45378,13374,44070,42019,22580,28058,18017,17257,18428,15540,20430,16472,19882,18002,20278,19058,21468,19517,22504,22661,28185,27072,43843,47581,21213,46370,21889,24174,14493,19615,12686,18279,5960,13746,1089,5229,2,31,0,0,0,0,20200203
8671,202001,7호선,춘의,0,0,4516,1102,8943,5340,22842,25277,24635,50964,14453,16588,10238,8410,9536,7238,10558,7217,10246,8529,10003,8414,10566,9181,11835,9661,25006,12368,42622,19403,16505,19481,11180,12072,8657,11280,5091,9972,2014,6824,257,2502,0,6,0,0,0,0,20200203
8850,202001,경인선,소사,895,21,13583,2350,15869,6841,36721,8109,33933,12406,23266,10595,19194,10661,17267,11398,18265,13979,16974,14870,15457,14942,15904,15601,16505,17198,16694,23534,15695,29945,9632,29311,7308,18078,5824,18472,4530,17314,2197,11187,226,4051,0,24,0,0,0,0,20200203
8852,202001,경인선,역곡,565,27,23907,3385,42897,11450,124517,12877,122877,27567,66097,24775,47327,21897,43134,23866,45101,31091,43108,33297,36966,36873,35567,40589,38019,52634,40722,69572,39722,111512,25861,106701,21541,63235,18370,58511,16314,53422,8207,37325,625,6290,4,58,0,0,0,0,20200203
8858,202001,경인선,중동,520,2,8750,1501,15800,4334,42454,5479,33909,13250,19480,10199,15633,8802,15302,9411,16490,10339,15401,11725,13036,11252,12518,13561,13733,16237,13545,22074,14975,29743,8280,29343,6676,18113,5589,16049,3817,14534,1874,11561,216,2854,1,13,0,0,0,0,20200203
9229,201912,7호선,까치울,3,0,3468,805,9873,3828,30941,5301,41308,10903,21040,5896,12375,5511,11568,7135,11329,8736,11585,9128,10519,8785,10835,10502,12229,14179,12510,19316,12443,29465,7769,26233,6190,16686,5317,15876,3878,15214,1598,9429,145,2467,3,35,0,0,0,0,20200103
9249,201912,7호선,상동,7,0,4923,1970,15436,6282,43965,11839,41229,30183,22331,29979,18047,21126,18597,21959,21359,24370,23246,25970,24201,25820,26524,26329,30207,29588,34020,36535,36775,56114,24444,46226,22153,26362,24264,21061,21968,18924,9647,15386,1655,5061,16,303,0,7,0,0,20200103
9254,201912,7호선,신중동,17,0,5772,1712,16490,5659,48229,13834,47932,45834,26077,30593,20719,18121,20541,17051,22162,18718,22823,20469,22033,20271,24769,22438,26741,26620,33572,33460,46473,52047,22639,48345,24158,26639,16773,22081,14811,21020,7518,16672,1163,6171,29,44,0,11,0,0,20200103
9268,201912,7호선,춘의,0,0,4771,1196,9502,5521,24804,25992,26757,53788,15938,17748,11255,8515,10285,7388,11162,7479,11015,9024,10509,8541,11050,9868,13499,11334,27250,14306,43780,20778,17010,19140,11272,12615,9172,12276,5328,11094,2182,8031,300,2928,5,31,0,0,0,0,20200103
9446,201912,경인선,소사,995,35,16337,2673,17334,7934,39239,9102,38326,18583,26538,13496,21518,13988,19598,14846,20842,17178,19645,17088,18487,16210,19586,18505,21373,21831,20843,26838,18579,32176,10923,30683,8411,20224,6859,19316,5488,19787,2590,13605,185,4125,0,0,0,0,0,0,20200103
9448,201912,경인선,역곡,600,17,26875,3657,46568,13015,133126,14761,135300,34822,77179,35397,54515,25811,49056,29968,50092,34583,47998,39700,43105,40186,42874,48275,49404,60684,53046,78786,46207,120535,30410,110406,24783,68143,22785,64638,20513,62025,10526,42884,781,8010,0,0,0,0,0,0,20200103
9454,201912,경인선,중동,533,5,10015,1882,16774,4889,45609,6415,37790,16156,22853,11461,17720,8745,16694,9945,18370,11575,17416,12258,14514,12897,14186,15305,16189,18722,16382,23945,16105,32755,8934,30911,7207,19310,6032,18075,4454,17488,2010,13661,260,3634,0,0,0,0,0,0,20200103
9825,201911,7호선,까치울,3,0,3974,869,10566,3977,32769,5357,43658,10972,21839,6638,11905,5841,11018,7227,10973,7913,11063,8981,9810,9200,9859,9884,11272,13974,12137,19442,12081,31005,7592,27644,5566,16298,4651,15910,3507,14606,1519,8687,180,2226,0,0,0,0,0,0,20191203
9845,201911,7호선,상동,12,0,5030,2184,16047,6382,46291,12508,43256,31334,24944,29506,18271,20846,18027,21983,21123,23106,22597,24748,22972,25458,25223,25697,28256,27896,31234,35813,36004,53450,23217,47418,20152,26168,21641,20499,20529,17549,8235,14021,1369,4505,2,224,0,0,0,0,20191203
9850,201911,7호선,신중동,7,0,6041,1383,17425,5525,50752,14311,50060,46078,27600,31569,20611,17128,20311,15054,20721,17238,20943,19315,20039,18655,22223,21141,23936,24897,30828,32398,45615,50793,21185,51050,22232,25380,15549,21212,12914,20075,6017,15219,1072,5778,0,2,0,0,0,0,20191203
9864,201911,7호선,춘의,3,0,5192,1502,9978,5385,25827,26765,27931,53836,16531,17359,11038,8617,9902,7095,10979,7165,10927,8948,9943,8332,10535,9532,12461,10997,26186,14701,44061,21232,16909,20688,11772,12932,9174,12054,5092,10390,2003,7276,266,2639,0,0,0,0,0,0,20191203
10043,201911,경인선,소사,1180,40,18191,3200,17710,8543,40756,9495,39730,23700,26707,14691,20418,16484,18352,14316,20484,17568,18910,16940,17430,16161,19861,18064,22922,20724,22243,27982,20351,32239,12010,32925,8686,20211,7746,18435,6333,18916,2723,12837,218,3610,0,0,0,0,0,0,20191203
10045,201911,경인선,역곡,765,26,29017,3424,48413,13068,140534,15116,143627,40868,80514,45612,52197,30905,45392,32942,48136,33579,45904,40661,39010,38620,40596,47249,48560,57540,55446,80605,50609,122959,31893,115156,25738,70151,24506,62920,21753,58573,11030,40514,862,7778,0,0,0,0,0,0,20191203
10051,201911,경인선,중동,713,4,10729,1726,17804,5478,47995,6533,40651,16340,24576,11708,17344,8736,15951,9520,17143,10877,16697,12082,13141,12402,12830,14779,14845,18349,15350,24333,15884,33052,8653,34504,6963,19255,6256,17844,4237,16231,1946,12942,232,2999,0,0,0,0,0,0,20191203
10422,201910,7호선,까치울,3,0,4087,1139,10895,4215,35020,5831,44152,11427,22268,6610,12912,6412,11007,8586,11695,8985,11517,9682,10790,9844,11481,10795,12510,14947,13086,19737,13303,31276,8116,27807,5953,17958,5043,16493,3431,15177,1472,9019,198,2367,0,0,0,0,0,0,20191103
10442,201910,7호선,상동,9,0,5427,2046,16588,6657,47572,13724,44144,32286,24993,30083,18807,20826,18911,22124,21941,23691,22486,24380,23066,25960,24923,24495,27106,28941,30586,35656,36193,51922,23390,48949,20733,27051,22965,21035,20908,18834,8149,13984,1374,4544,2,304,0,0,0,0,20191103
10447,201910,7호선,신중동,12,1,6477,1583,18555,5749,51771,14533,50667,47081,28155,31718,21516,17502,21174,16108,21924,17343,21956,20061,20751,17994,22352,22133,24116,24995,30811,32823,45882,50352,22029,51466,22648,26582,15700,22105,12567,21228,6079,15583,1032,5871,1,8,0,0,0,0,20191103
10461,201910,7호선,춘의,0,0,5309,1627,10559,5511,26941,28410,28287,55214,16885,17159,11300,9211,10342,7129,11070,7563,11222,9447,10204,7990,10435,9991,12091,11220,26802,14608,45653,21989,17360,20829,12048,13500,9600,12233,4921,10946,2073,7641,282,2549,1,0,0,0,0,0,20191103
10641,201910,경인선,소사,1490,58,19430,3540,18591,9504,42422,10904,40076,23987,27661,15176,21942,16921,19802,15907,21691,18023,20527,18023,18981,16491,20791,18828,23506,21922,23136,28844,21535,34136,13276,34228,9580,21374,7833,19577,5979,20190,2692,13123,197,3764,0,0,0,0,0,0,20191103
10643,201910,경인선,역곡,1104,22,31160,3758,50784,13540,145777,16612,145499,42613,82297,47147,56041,31413,49820,35516,51088,37611,48880,42513,41669,40757,43409,49004,50521,61254,56803,81460,52627,128522,33294,118336,26725,73136,24963,66382,22526,61565,11088,40933,871,8074,0,0,0,0,0,0,20191103
10649,201910,경인선,중동,858,11,11503,1975,18724,6121,50328,6835,41724,17044,25707,11772,18900,8651,17554,9734,18123,11462,16778,12242,13550,12687,13340,15663,15611,20141,15471,25101,16726,34982,9346,35306,6934,20708,6224,19495,4343,17196,2005,13425,278,3030,0,0,0,0,0,0,20191103
11020,201909,7호선,까치울,2,0,3336,833,9871,3632,31829,5549,39475,10105,19824,5930,11561,5365,9696,6884,10158,7754,9973,8327,8883,8599,9444,9216,10705,13330,11084,17581,11729,28598,7514,24726,5429,16180,4663,14616,3306,13558,1429,7984,151,2133,3,17,0,0,0,0,20191003
11040,201909,7호선,상동,8,0,4548,1895,15420,6085,43394,12828,39543,29402,21909,26762,16604,18428,16112,19374,18966,20334,19752,22424,19873,23112,22050,21815,23756,25518,27336,32429,32281,44512,21863,45344,18849,24494,20894,19184,19391,16427,7217,12450,1316,4204,12,338,0,0,0,0,20191003
11045,201909,7호선,신중동,8,0,5254,1362,16853,4959,47076,13487,45115,42389,24815,29368,19085,16181,18383,14795,19371,16031,19291,17868,18424,16972,20104,19816,22132,21898,27965,29071,40868,43849,20350,47607,21219,23464,13886,19395,11706,18811,5540,14083,965,5270,12,37,0,0,0,0,20191003
11059,201909,7호선,춘의,0,0,4521,1410,9711,5216,24785,26034,25312,48829,15097,15406,10639,8102,9550,6774,10336,7057,10296,8597,9714,7722,9946,9099,11306,10249,23500,13146,40613,18982,15960,19412,10890,12177,8760,11272,4846,10325,1914,6922,257,2433,0,23,0,0,0,0,20191003
11238,201909,경인선,소사,1363,32,15894,3028,16099,7910,38787,9566,35874,22109,24423,15113,19813,15468,17686,13918,19739,16236,17658,16128,16726,14940,19583,16555,21425,19083,20448,24266,18792,30871,11493,30113,8706,19133,7320,17933,5566,18377,2660,11604,224,3479,0,48,0,0,0,0,20191003
11240,201909,경인선,역곡,1004,20,26007,3344,45652,11854,132450,15478,130220,40380,72918,45105,49631,30714,43388,33945,44564,33340,42462,38790,37168,37510,41119,44127,46847,53996,51380,72515,50530,115594,33089,105478,25305,65673,23421,58996,20283,56133,10368,36207,841,7314,2,76,0,0,0,0,20191003
11246,201909,경인선,중동,714,1,9620,1725,16890,5242,45081,6605,36814,15635,22995,10638,16568,8006,15626,9248,15945,10855,15012,11498,12390,11631,12150,14080,14058,16967,14220,21793,15254,31707,9027,31099,6540,18804,5663,16880,4188,15667,1778,11770,277,2983,2,23,0,0,0,0,20191003
11617,201908,7호선,까치울,1,0,3714,967,10312,4180,30875,5338,38737,9470,19202,5743,11416,5123,10190,7013,10344,7575,10483,8011,9355,8462,9276,8594,10528,12874,11317,17076,12203,29029,8088,26690,6225,16680,5298,15154,3861,14295,1478,8556,176,2239,0,0,0,0,0,0,20190903
11637,201908,7호선,상동,9,0,4974,1935,16166,6443,41840,13463,37956,29818,20654,29832,16714,19695,17381,21236,19972,22760,20808,22805,21328,24515,23571,23662,26864,25795,29326,32831,35193,48248,23559,45206,21010,25210,22962,20139,22263,17406,8368,13860,1489,4176,0,300,0,0,0,0,20190903
11642,201908,7호선,신중동,10,0,5712,1511,17198,5627,47070,14898,44824,41302,24326,29349,19059,17511,19132,15706,20840,17385,20959,19066,19894,17051,21612,20224,23666,22166,30032,28729,43758,45871,21451,48010,22377,25325,14573,20568,12732,20262,6137,15360,1012,5363,0,1,0,0,0,0,20190903
11656,201908,7호선,춘의,0,0,5037,1556,10142,5745,24869,27104,25598,51308,15694,15702,10897,8399,9838,7185,10796,6865,10448,8765,9685,7293,10009,8991,11472,10036,23912,13241,42722,19231,16873,19853,12068,13261,9414,12054,5031,11010,2107,7485,269,2409,0,0,0,0,0,0,20190903
11836,201908,경인선,소사,1525,35,17877,3494,16975,9135,39111,9610,35763,13986,24113,10799,19197,10885,16846,11075,17761,11349,15798,12826,14043,12937,13962,14576,15463,17499,17199,23663,15981,30198,10678,30845,8209,19523,6269,18320,4637,18650,2457,12525,181,3847,0,0,0,0,0,0,20190903
11838,201908,경인선,역곡,1045,15,28763,3915,47701,14157,133431,15471,129796,31243,71450,28629,49814,23746,43758,27784,44418,29977,42944,34476,36366,34409,36277,41331,42593,52515,45989,70750,42796,114276,29065,112351,23254,69376,20321,63486,16938,59757,9075,39322,690,7841,0,0,0,0,0,0,20190903
11844,201908,경인선,중동,873,6,10567,1968,17534,5477,45032,6646,36518,14620,22227,10573,15885,8142,15437,8856,15645,11020,15052,11084,12538,10758,12135,13048,13695,16323,14938,21863,15729,30655,9493,31976,7253,19991,5800,17798,4509,16491,2047,12603,287,3210,0,0,0,0,0,0,20190903
12215,201907,7호선,까치울,1,0,3966,882,10883,4374,35342,6081,43984,11036,20356,6117,11465,5386,10082,7675,10451,8544,10606,8278,9719,8800,9712,9302,10943,13116,12206,17989,12836,32127,8180,29194,6512,17608,5367,15585,3940,15194,1494,8782,213,2521,0,0,0,0,0,0,20190803
12235,201907,7호선,상동,3,0,5615,2066,17797,7037,48280,14505,42846,32433,21631,31512,16823,19835,17226,21269,19928,22468,21204,24514,21331,25173,23620,23272,27524,27078,29816,34406,37537,51075,24052,49641,21484,27213,23774,20483,22913,18473,8780,14121,1626,4771,2,221,0,0,0,0,20190803
12240,201907,7호선,신중동,8,0,6201,1573,18944,6051,53061,16278,50773,47453,25845,32246,19211,17788,19018,15894,21145,18148,21096,20282,20315,17671,22204,21040,24040,22811,31190,29359,46868,48665,22296,52408,23198,26521,15781,21205,13370,21168,6584,15640,1241,5665,0,3,0,0,0,0,20190803
12254,201907,7호선,춘의,0,0,5462,1558,10853,6355,27176,30428,27368,58567,15893,17629,10513,8515,9770,7272,10780,7566,10457,9196,9738,7687,10292,9339,12275,10464,26458,13978,48327,20696,18674,20809,13403,13673,10159,12241,5465,11633,2244,7519,335,2700,0,0,0,0,0,0,20190803
12433,201907,경인선,소사,1293,21,19036,3963,18255,9921,43095,10045,39105,15165,24946,11680,19672,11581,16990,11391,17990,12159,16406,13845,14851,13526,14906,15119,16463,18314,17984,23813,16668,33241,11067,32301,8272,21005,6638,19046,4788,19759,2666,12722,206,3869,0,0,0,0,0,0,20190803
12435,201907,경인선,역곡,1047,19,30133,4287,51987,14909,148441,15577,143304,32687,75478,27103,50526,22963,43199,26000,44442,30455,42689,35681,35975,35404,35079,42154,40755,54116,44228,74271,43737,125984,28702,118197,24165,72200,20271,65571,16829,62395,8710,40186,720,8223,0,0,0,0,0,0,20190803
12441,201907,경인선,중동,887,3,11254,2122,19495,5688,51215,7070,40567,17039,23589,11416,16607,8401,15168,9701,15861,11734,15854,12167,13100,11611,12798,13818,14280,17254,15711,22558,16696,33820,9392,34943,7647,20926,6398,18565,4683,17770,2165,13123,284,3279,0,0,0,0,0,0,20190803
12812,201906,7호선,까치울,8,1,3531,969,10220,4250,31933,5523,39474,10137,20551,6458,12025,7011,10828,8877,10997,9250,11275,9133,10902,9154,11553,10264,12415,13727,12868,18874,12691,28613,8433,26170,6551,16349,5408,15161,3857,15382,1657,8796,185,2250,0,0,0,0,0,0,20190703
12832,201906,7호선,상동,9,1,5362,2087,16103,6752,42106,13135,38846,30393,22080,29839,17729,20312,17875,22024,20258,23202,21559,23684,22351,23969,23821,24218,26724,25989,28595,32075,34173,49526,22772,44247,20513,25619,22070,20497,21726,17217,8420,13340,1479,4675,2,291,0,0,0,0,20190703
12837,201906,7호선,신중동,10,0,5864,1506,17082,5838,47222,14777,45888,41670,26157,30079,20136,17267,19646,16385,21589,16694,20710,18976,19654,18683,21734,20439,23047,23441,29342,28858,42177,45008,21135,47585,22090,25022,15308,21437,12750,19994,6678,15835,926,5584,1,0,0,0,0,0,20190703
12851,201906,7호선,춘의,0,0,5173,1453,10030,6114,24250,27128,24958,49429,16017,16547,11101,10155,10294,8021,11402,7904,11336,9732,10881,9109,11266,9841,12539,10988,24199,13842,42577,19183,16261,18893,11878,13242,9387,12271,5096,10819,2119,7602,273,2570,0,0,0,0,0,0,20190703
13029,201906,경인선,소사,1222,13,18242,3680,16975,9633,39004,9917,36756,18865,25678,14110,20709,14045,18563,14211,19526,16031,18664,15708,17683,14649,17922,16573,19111,19328,20332,24896,18337,30484,12190,30873,9372,20369,7635,18897,5705,19303,2842,12730,187,3870,0,0,0,0,0,0,20190703
13031,201906,경인선,역곡,945,15,28746,4314,48503,14482,132063,15961,129581,36695,75702,40557,53005,28003,46244,32477,48200,33443,46438,40605,40366,38587,41543,44871,48745,55692,49098,72108,45567,115344,30442,106763,26122,69236,23655,63581,21486,60397,11360,40904,898,7533,1,0,0,0,0,0,20190703
13037,201906,경인선,중동,642,5,11204,1862,18265,5391,45065,6812,37787,15595,23898,10966,17344,8399,16141,9645,16212,11061,16022,11996,13282,12524,12981,14320,14547,18076,15366,22538,15374,32214,9451,31087,7527,20388,6464,18730,4717,16926,2230,13267,297,3365,0,0,0,0,0,0,20190703
13408,201905,7호선,까치울,5,0,3763,1074,11568,4256,35852,5902,45053,11018,22898,7397,12746,7739,11232,9647,11894,9924,12229,10153,11776,10132,12206,10863,13203,14201,14278,20745,13855,31663,9266,28887,6952,17949,5670,16302,3869,16869,1626,9534,208,2831,0,0,0,0,0,0,20190603
13428,201905,7호선,상동,7,0,5489,2118,17933,7708,48171,14709,44989,33391,25814,30481,19345,21816,19224,21440,21437,22955,22447,24584,22810,25292,24579,25368,27691,28684,30559,35280,36918,55935,24395,49093,21897,28531,23642,22662,22459,19758,8555,15034,1633,5387,1,341,0,0,0,0,20190603
