,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
1470,202101,7호선,춘의,1,0,3912,1066,7915,6008,19822,25481,20831,50455,10685,15246,7417,6701,6583,5002,7218,5810,7415,6900,7506,5982,8147,6927,10644,7366,24350,10322,39499,17601,14166,15363,9551,9818,8427,10207,3047,5275,706,2586,0,14,0,0,0,0,0,0,20210203
1648,202101,경인선,소사,825,55,13687,1805,13974,4578,29815,5925,26614,8319,15685,6601,12474,6293,10854,7137,10894,8071,10039,8606,9511,9364,9074,9521,9282,12959,10070,17321,9526,25452,5357,23729,4308,13403,3686,15931,1991,8558,654,3471,34,565,0,0,0,0,0,0,20210203
1650,202101,경인선,역곡,586,3,21803,2992,37233,9572,98932,10695,94553,22761,47686,17705,29589,16527,26765,18662,27961,20444,27366,22376,24297,24772,23985,26305,25868,40064,27359,53169,25727,92984,15725,82360,15088,46534,13851,50930,5882,24569,1824,9657,30,644,0,0,0,0,0,0,20210203
1656,202101,경인선,중동,590,10,8409,989,13942,3468,33791,4744,26716,9693,13538,6250,10201,5584,9176,6065,9848,7524,9711,7919,8718,8589,8206,9496,8965,11621,9498,15445,10280,26120,5551,24333,4326,14422,3945,14716,1847,8190,625,3050,32,496,0,0,0,0,0,0,20210203
2035,202012,7호선,까치울,0,0,3305,717,8732,3600,25776,4893,34217,8012,15151,4163,7693,3515,6649,4383,6978,5216,6902,5689,6289,6128,6437,6620,7505,9690,7946,15250,7535,26201,4371,21945,3616,13251,2778,12328,1549,6547,393,2445,0,0,0,0,0,0,0,0,20210103
2055,202012,7호선,상동,5,0,3402,1506,12524,4061,30857,8885,30087,23607,13766,21861,9510,10966,9806,10589,11396,11886,11385,13367,11962,14381,13741,13739,15507,15245,17923,20824,23381,32802,13557,29108,13335,15352,13752,11805,5838,8173,1551,3837,8,392,0,0,0,0,0,0,20210103
2060,202012,7호선,신중동,6,0,4659,1566,13302,5703,37416,12924,37706,40743,17393,23520,11901,12273,11737,9030,12156,11164,12772,13231,13318,11408,13866,13679,16163,15686,22684,20457,36762,35010,14966,31904,16669,15472,10037,14532,4482,9552,1237,4898,0,100,0,0,0,0,0,0,20210103
2074,202012,7호선,춘의,3,0,4294,1197,8250,6386,20330,26841,21986,50760,11116,14932,7434,6586,6210,4944,6938,5808,7313,6940,7324,5726,8003,6943,10840,7480,24937,10504,39109,18286,14010,15569,9432,10067,7662,9246,2864,5219,737,2462,1,6,0,0,0,0,0,0,20210103
2251,202012,경인선,소사,904,45,15422,2627,14956,4756,31400,6337,28818,9627,16758,6925,12387,6688,10807,7299,10692,8139,9864,8923,9480,9371,9007,9849,9602,13022,10893,18629,9697,27024,5351,23233,4263,13122,3577,14972,1949,8015,811,3488,30,261,0,0,0,0,0,0,20210103
2253,202012,경인선,역곡,675,14,23805,3327,38502,10092,102471,11709,99417,24507,49744,18847,29457,16526,25816,19000,27216,20523,26402,22825,23359,25330,23331,28552,25659,40585,27063,56358,25418,96257,15614,81380,14273,44791,12254,45166,6422,22894,2060,9843,16,406,0,0,0,0,0,0,20210103
2259,202012,경인선,중동,666,2,9135,1195,14298,3882,35190,5401,28522,10804,14206,6676,10133,6015,9220,5943,9465,7665,9484,8174,8188,9083,8614,9616,9232,12071,9416,16819,10222,26988,5112,24586,4415,14068,3586,12464,1952,7750,632,3126,37,560,0,0,0,0,0,0,20210103
2638,202011,7호선,까치울,4,0,3769,845,9779,4114,29516,5397,38792,9615,17479,4968,9452,4612,7979,5891,8685,6387,8832,6724,7905,7433,8451,7354,9678,11142,10257,17165,9781,28444,5422,24632,4566,14978,3509,12503,2474,10701,771,5742,0,10,0,0,0,0,0,0,20201203
2658,202011,7호선,상동,4,0,3970,1680,14711,4923,37605,10756,35862,27219,16906,25703,12277,13396,12623,13635,14847,15457,14692,17095,15165,17282,17105,17089,20311,18632,23003,26709,28154,39704,16456,38141,14205,19333,16320,14424,13254,12043,4394,8010,17,1412,0,0,0,0,0,0,20201203
2663,202011,7호선,신중동,6,0,5213,1885,15164,5538,43577,13850,42619,43574,20922,24991,14626,13336,14529,11095,15301,13322,15141,15034,14962,13181,15988,15589,19006,18063,26030,24489,39909,41931,16879,41036,17715,18968,11055,16218,8542,14472,3472,10473,1,345,1,0,0,0,0,0,20201203
