,자전거대여소명,위도,경도,부동산_5분이내수,부동산_5분이내거리최소,부동산_5분이내거리평균,부동산_5분이내거리최대
0,공공자전거대여소 부천시청역,37.504938,126.763465,45,0.0009194629892840121,0.002647905122166343,0.0038243190239772625
1,공공자전거대여소 상동역,37.506069000000004,126.754122,69,0.001035861539428388,0.0026847800773740355,0.003915721992050921
2,공공자전거대여소 신중동역,37.503068,126.775751,46,0.0009768204921443693,0.0027546288897287606,0.004027453841128069
3,공공자전거대여소 부천역,37.484716999999996,126.782677,72,0.0006830542172085223,0.0025580006045879816,0.004012114758756893
4,공공자전거대여소 송내역,37.488285999999995,126.755075,54,0.0004439611930266373,0.0023904047744403895,0.004078930636610736
5,공공자전거대여소 부천시청,37.503728,126.766102,42,0.0014840213522766862,0.0029658075499361513,0.004029113850067952
