,군집,위도,경도,학원_5분이내거리최소
0,0,37.49704094748323,126.76748581571282,0.0010186220312232354
1,3,37.50144040778585,126.75038562267973,0.0014931633410454912
2,5,37.49646065341709,126.78722585647142,0.001662322269188468
3,6,37.490873005276256,126.79067255166255,0.0008123984612437081
4,10,37.48092730947997,126.79808692370472,0.0029602374561189058
5,15,37.52150044028708,126.78761642818823,0.00029139661736361105
6,18,37.517252456709755,126.78781847372535,0.001688312386080897
7,22,37.520186540649185,126.79396606424343,0.0004122963092221477
8,25,37.479171568507674,126.77979292848022,0.0005896506953286719
9,26,37.47322078230864,126.79305097338606,0.0008577718069056872
10,29,37.49474826157966,126.76117322387995,0.00034604383052469197
11,30,37.47781896735694,126.80593869563185,0.0011026130238341487
12,35,37.46260057050597,126.8109793671262,0.001681938204522627
13,37,37.4947902590584,126.78014003944168,0.0006402930654851146
14,42,37.48442010278713,126.75686369812401,0.0017514249750689907
15,43,37.48470931709585,126.7702077357078,0.0013020695415222737
16,44,37.47876343322727,126.77558129077593,0.0004672316187328082
17,47,37.50043735437556,126.77859188902809,0.0008557178561533829
18,48,37.485523072415255,126.76335662667056,0.0006659882198605474
19,11_0,37.50662337232883,126.75042081240127,0.001031410642123832
20,11_1,37.51061242732949,126.7517009812395,0.001488743351725997
21,12_0,37.481189503675274,126.79167522003269,0.0008365049392925802
22,12_1,37.48394528376961,126.78778469271609,0.0018438291648210483
23,13_0,37.49396915363014,126.74807916363571,0.0014006293805452626
24,13_1,37.490967949335925,126.75128428743315,0.00037933034638805245
25,14_0,37.530507199398095,126.78651216008535,0.0005725267373578722
26,14_1,37.52610674908696,126.78545066074005,0.000909757438807851
27,16_0,37.476640562780105,126.80080634313234,0.0008289721700550369
28,16_1,37.47361386577069,126.8018936729022,0.0015549980745914508
29,17_0,37.518726595549055,126.8042633298643,0.00015611119290859923
30,17_1,37.510788254404225,126.8050677532283,0.0005007335275016259
31,19_0,37.50170148087935,126.76002364781294,0.0009495303748966106
32,19_1,37.499416552925545,126.75818579764044,0.0008803122831736334
33,1_0,37.50791640493415,126.77710994784599,0.001625900614001932
34,1_1,37.50474037344244,126.77363325980455,0.0009699471254328927
35,20_0,37.491925435552375,126.76621603617912,0.0010045592601924057
36,20_1,37.48933065946411,126.76768679380274,0.0005280319672006901
37,21_0,37.49540071738768,126.75231068965356,0.0002310316796398351
38,21_1,37.496590571053964,126.7555175569384,0.0009681086543296428
39,23_0,37.4948574041188,126.79375208673086,0.0004182090910937913
40,23_1,37.50111181662796,126.79459825158243,0.0028498710431776302
41,24_0,37.489487207344105,126.77450818045065,0.00030336418433990313
42,24_1,37.485534702890355,126.77740111104994,0.002244918677600867
43,27_0,37.50495122633235,126.76401434403502,0.00017059036639371263
44,27_1,37.508545102020214,126.76216872943785,0.0007981582516579788
45,28_0,37.50721769623669,126.76819454300045,0.0010664240761420814
46,28_1,37.50867133633582,126.77161512436388,0.0015322181352988907
47,2_0,37.50040231639278,126.77175203960572,0.0007357484164327168
48,2_1,37.503006288146,126.77014282926979,0.0006139320417039636
49,31_0,37.47034309533115,126.80770413943723,0.0011971273689743787
50,31_1,37.473453099648154,126.81017717440292,0.0009297476447149374
51,32_0,37.489053551888716,126.80957836007809,0.00026892075927217104
52,32_1,37.490286001697136,126.81336454523769,0.000820875885540054
53,33_0,37.49918355464218,126.77387564875679,0.0007876475929974716
54,33_1,37.495095827246864,126.77361357230616,0.0008407207663848722
55,34_0,37.48007918223076,126.81138440210718,0.00022622245110117415
56,34_1,37.481284120841934,126.81536971920177,0.0009275103190229468
57,36_0,37.48698587497024,126.78665160267076,0.0005055576958297601
58,36_1,37.489919141156776,126.7819778170424,0.001375867470826926
59,38_0,37.50187505103528,126.78412604466044,0.002009947071856445
60,38_1,37.505699265512206,126.7830524031113,0.0005850254927380679
61,39_0,37.489961453333954,126.81958898787596,0.0029635634806839737
62,39_1,37.483821734121975,126.81775953496565,0.0013403428820422298
63,40_0,37.46364720974909,126.82499681675252,0.001433044400912023
64,40_1,37.463745394447116,126.8196651018302,0.0025
65,41_0,37.52911721318797,126.80071366661132,0.0022880867888496726
66,41_1,37.523737972881214,126.8000436935546,0.00036878031390289096
67,45_0,37.483735905971656,126.8030562359828,5.975612322342387e-05
68,45_1,37.48656435168359,126.80717742448117,0.0012140003576524528
69,46_0,37.47855388148215,126.76596980414513,0.00040629544623407084
70,46_1,37.480608077212636,126.77019108051657,0.0006265536323837403
71,49_0,37.52916699757811,126.81996534049809,0.0007833265955115773
72,49_1,37.52589323911434,126.8239954081498,0.0003722499539682925
73,4_0,37.514525672583815,126.77256119805305,0.0018701032026939733
74,4_1,37.51416550140915,126.76731845840172,0.0009988720269046398
75,7_0,37.5242965582155,126.81073299521229,0.0007677252522801203
76,7_1,37.53007201732828,126.80804841662338,0.000571657696048598
77,8_0,37.46999714007743,126.8042204516408,0.0014753690862490127
78,8_1,37.46788312881544,126.8005647981234,0.0004329543159576517
79,9_0,37.510267854501464,126.75660750445805,0.001364900279229256
80,9_1,37.51432898976387,126.75741587493505,0.0012056899046661825
