,자전거대여소명,위도,경도,학원_5분이내수,학원_5분이내거리최소,학원_5분이내거리평균,학원_5분이내거리최대
0,공공자전거대여소 부천시청역,37.504938,126.763465,87,0.00019204606218262317,0.0021503915459026705,0.003973967143601433
1,공공자전거대여소 상동역,37.506069000000004,126.754122,263,0.0007088974882886334,0.0022200107669459704,0.003952240066096848
2,공공자전거대여소 신중동역,37.503068,126.775751,81,0.001031204717801513,0.0029169259161386843,0.004011196556204742
3,공공자전거대여소 부천역,37.484716999999996,126.782677,40,0.0007148538298804055,0.002322878180451863,0.003958325024746998
4,공공자전거대여소 송내역,37.488285999999995,126.755075,32,0.0014867325624043776,0.0030921242271775016,0.004081657784823685
5,공공자전거대여소 부천시청,37.503728,126.766102,114,0.0011649715704665912,0.0028872462825828595,0.0040857371914454505
6,공공자전거대여소 굴포천,37.51828870000001,126.76075390000001,0,0.0025,0.0025,0.0025
