Month,Day,강수,강수형태,기온,풍속,풍향
1,13,0.0,0.0,-1.1750000000000003,0.18333333333333335,84.16666666666667
1,14,0.0,0.0,0.6583333333333333,0.19999999999999998,114.54166666666667
1,15,0.0,0.0,-5.216666666666667,1.433333333333333,301.0
1,16,0.004166666666666667,0.125,-3.9874999999999994,0.3708333333333333,171.45833333333334
1,17,0.0,0.0,-3.470833333333333,0.4333333333333333,113.125
1,18,0.0,0.0,-0.4125000000000001,0.13749999999999998,76.79166666666667
1,19,-0.041666666666666664,-0.041666666666666664,-0.12083333333333325,0.5791666666666667,189.08333333333334
1,2,-0.041666666666666664,-0.041666666666666664,-8.6625,0.1416666666666667,61.25
1,20,0.0,0.0,-4.216666666666667,1.0458333333333334,237.79166666666666
1,21,0.0,0.0,-0.6958333333333333,0.5208333333333334,163.54166666666666
1,22,0.0,0.0,0.22083333333333324,0.4666666666666666,189.25
1,23,0.0,0.0,-0.6916666666666669,0.8416666666666669,200.875
1,24,0.0,0.0,-2.216666666666667,0.16666666666666666,98.625
1,25,0.0,0.0,-2.4124999999999996,1.570833333333333,298.5
1,26,0.0,0.0,-4.433333333333333,0.5541666666666666,128.08333333333334
1,27,0.0,0.0,1.7750000000000004,0.7375000000000002,236.08333333333334
1,28,0.0,0.0,-2.3083333333333336,1.0,197.70833333333334
1,29,0.0,0.0,-1.1416666666666664,0.21666666666666665,126.58333333333333
1,3,0.0,0.0,-5.083333333333333,0.1708333333333333,44.208333333333336
1,30,0.0,0.0,1.1791666666666665,0.5833333333333334,190.08333333333334
1,31,0.0,0.0,-5.454166666666667,0.9166666666666669,214.16666666666666
1,4,0.0,0.0,-2.620833333333333,0.2666666666666667,117.58333333333333
1,5,0.0,0.0,-4.829166666666667,0.5999999999999999,143.04166666666666
1,6,0.0,0.0,-5.3083333333333345,0.15833333333333335,75.45833333333333
1,7,0.0,0.0,-3.4166666666666665,0.2708333333333333,129.125
1,8,0.0,0.0,-5.345833333333334,1.2375,192.70833333333334
1,9,0.0,0.0,-4.429166666666667,0.13333333333333333,45.625
2,1,0.0,0.0,-1.8125,0.2916666666666667,108.41666666666667
2,10,0.0,0.0,-5.0625,0.2583333333333333,215.625
2,11,0.0,0.0,-2.7375000000000003,0.4833333333333332,155.0
2,12,0.0,0.0,-2.020833333333333,0.6708333333333334,149.125
2,13,0.0,0.0,-2.783333333333333,0.7250000000000001,178.375
2,14,0.020833333333333332,0.5,-1.05,0.3541666666666667,82.625
2,15,0.04583333333333334,0.5,-1.754166666666667,0.8583333333333334,236.54166666666666
2,16,0.0,0.0,-4.0,0.4791666666666666,244.20833333333334
2,17,0.0,0.0,-2.645833333333333,0.3499999999999999,156.41666666666666
2,18,-0.12083333333333333,0.2916666666666667,-2.6374999999999997,0.3541666666666667,91.04166666666667
2,19,0.08333333333333333,0.25,0.6333333333333333,0.6583333333333333,211.58333333333334
2,2,0.3499999999999999,0.4166666666666667,0.9374999999999994,0.5791666666666665,94.0
2,20,0.0,0.0,-0.5166666666666667,0.5208333333333334,158.95833333333334
2,21,-0.041666666666666664,-0.041666666666666664,0.24583333333333332,0.11666666666666663,95.125
2,22,0.0,0.0,1.891666666666666,0.3458333333333334,126.79166666666667
2,23,0.0,0.0,3.7208333333333337,0.43750000000000006,93.375
2,24,0.0,0.0,4.054166666666666,0.3083333333333333,129.41666666666666
2,25,0.0,0.0,1.5041666666666662,0.3291666666666667,79.0
2,26,0.0,0.0,4.729166666666666,0.30833333333333335,84.54166666666667
2,27,0.0,0.0,4.266666666666666,0.29583333333333334,81.29166666666667
2,28,0.0,0.0,3.829166666666667,0.3333333333333333,130.04166666666666
2,3,0.2791666666666666,0.4583333333333333,1.0374999999999999,0.6874999999999999,218.66666666666666
2,4,0.0,0.0,-2.170833333333333,0.32916666666666666,105.5
2,5,0.0,0.0,1.6875,0.42083333333333334,87.875
2,6,0.0,0.08333333333333333,4.4125000000000005,0.7374999999999999,237.54166666666666
2,7,0.0,0.0,-6.258333333333334,1.8083333333333336,282.375
2,8,0.0,0.0,-5.6125,0.9041666666666667,230.91666666666666
2,9,0.0,0.0,-6.0125,0.9624999999999999,198.04166666666666
3,1,0.0,0.0,3.720833333333332,0.2583333333333333,109.75
3,10,0.0,0.0,6.570833333333334,0.49999999999999994,73.16666666666667
3,11,0.0,0.0,4.683333333333334,0.5416666666666666,174.08333333333334
3,12,0.0,0.0,2.9499999999999997,1.2625000000000004,287.625
3,13,0.0,0.0,1.9416666666666655,0.9791666666666669,214.95833333333334
3,14,0.0,0.0,5.745833333333334,0.6166666666666666,186.91666666666666
3,15,0.041666666666666664,0.08333333333333333,3.5500000000000003,0.6,140.625
3,16,0.0,0.0,3.712499999999999,0.5041666666666667,154.41666666666666
3,17,0.0,0.0,4.075,0.6041666666666665,162.83333333333334
3,18,0.0,0.0,5.579166666666667,0.3625,115.16666666666667
3,19,0.0,0.0,8.116666666666667,0.38749999999999996,149.79166666666666
3,2,0.0,0.0,5.0249999999999995,0.26666666666666666,86.125
3,20,1.0833333333333333,0.7083333333333334,9.745833333333332,0.8166666666666668,121.25
3,21,0.0,0.0,3.9374999999999996,1.6124999999999998,312.7916666666667
3,22,0.0,0.0,2.9208333333333325,1.1208333333333333,239.04166666666666
3,23,0.10416666666666667,0.125,3.2875,1.1416666666666668,292.5833333333333
3,24,0.0,0.0,4.1375,0.9291666666666668,195.125
3,25,0.0,0.0,8.083333333333336,0.8833333333333336,181.95833333333334
3,26,0.0,0.0,9.825,0.7375000000000002,203.58333333333334
3,27,0.0,0.0,9.308333333333332,1.125,182.0
3,28,0.0,0.0,8.641666666666667,0.8958333333333334,179.83333333333334
3,29,0.125,0.125,7.483333333333332,0.5291666666666667,257.125
3,3,0.0,0.0,7.533333333333334,0.4041666666666666,125.79166666666667
3,30,0.0,0.08333333333333333,4.504166666666667,1.666666666666667,288.5416666666667
3,31,0.0,0.0,3.9666666666666663,1.2333333333333332,245.66666666666666
3,4,0.0,0.0,7.333333333333332,0.5166666666666666,197.25
3,5,0.0,0.0,6.408333333333332,0.3,139.70833333333334
3,6,0.0,0.0,6.087500000000001,0.6041666666666666,162.29166666666666
3,7,0.0,-0.041666666666666664,3.9000000000000004,0.6166666666666666,173.41666666666666
3,8,0.0,0.0,2.8583333333333343,0.3916666666666666,128.20833333333334
3,9,0.0,0.0,7.279166666666666,0.40833333333333327,138.91666666666666
4,1,0.0,0.0,4.783333333333334,0.8166666666666665,235.25
4,10,0.020833333333333332,0.041666666666666664,5.645833333333333,0.5291666666666665,113.0
4,11,0.0,0.0,8.508333333333331,0.38749999999999996,146.70833333333334
4,12,0.0,0.0,9.450000000000001,0.4583333333333333,172.125
4,13,0.020833333333333332,0.041666666666666664,10.720833291666667,0.35833333333333334,117.29166666666667
4,14,0.0625,0.041666666666666664,8.145833333333334,0.6208333333333333,203.5
4,15,0.0,0.0,10.737499916666666,0.49999999999999994,143.33333333333334
4,16,0.0,0.0,13.266666749999997,0.34583333333333327,125.625
4,17,0.0,0.0,13.312500166666668,0.5666666666666665,148.79166666666666
4,18,0.0,0.0,11.416666666666666,0.5958333333333333,102.20833333333333
4,19,0.0,0.0,12.566666666666665,0.5499999999999999,81.16666666666667
4,2,0.0,0.0,5.954166666666666,0.7458333333333332,219.16666666666666
4,20,0.0625,0.041666666666666664,14.2125,0.3333333333333334,170.20833333333334
4,21,-0.041666666666666664,-0.041666666666666664,9.704166708333332,0.14166666666666664,124.125
4,22,0.0,0.0,18.61666658333333,0.3541666666666667,116.95833333333333
4,23,0.22916666666666666,0.25,18.674999875,0.18749999999999997,102.375
4,24,0.0,0.0,17.358333166666668,0.44583333333333336,140.33333333333334
4,25,0.4375,0.3333333333333333,10.208333375,0.41666666666666674,148.16666666666666
4,26,0.020833333333333332,0.041666666666666664,7.275000000000001,0.5166666666666665,76.04166666666667
4,27,0.0,0.0,12.341666666666667,0.3625,167.91666666666666
4,28,0.0,0.0,11.345833375,0.3,109.70833333333333
4,29,0.0,0.0,11.541666666666666,0.22916666666666666,83.58333333333333
