,val,위도,경도,0
0,5379.0,37.50965905227816,126.76736251279495,28
1,4169.0,37.494230653098825,126.7505447020188,13
2,3789.0,37.510539240815966,126.76395945878186,27
3,3438.0,37.50962382806721,126.76170550886043,27
4,3211.0,37.502448717329116,126.76743297599458,2
5,2910.0,37.49962401489096,126.7482281631248,3
6,2795.0,37.49343578607635,126.76752101969444,20
7,2751.0,37.51227077023082,126.75262736249992,11
8,2701.0,37.499772813783984,126.77198440512069,2
9,2466.0,37.51501029788968,126.75825779441105,9
10,2335.0,37.50868704387353,126.75605746009394,9
11,2334.0,37.50966606461325,126.76849391476144,28
12,2196.0,37.504279280796325,126.77194064637226,2
13,2108.0,37.51139803188067,126.75716204826901,9
14,2043.0,37.51138377873904,126.75489919822948,9
15,1987.0,37.514996064578256,126.75599483474606,9
16,1925.0,37.49873710254693,126.750499663676,3
17,1921.0,37.51409477632524,126.7560037824198,9
18,1864.0,37.509552566972154,126.75039153072258,11
19,1836.0,37.50867991257697,126.75492607607781,11
20,1825.0,37.50696218937379,126.76852030060222,28
21,1817.0,37.5005540156119,126.75274416600391,3
22,1622.0,37.51225642993485,126.75036448845259,11
23,1594.0,37.5095597418418,126.75152292673978,11
24,1527.0,37.49190506352455,126.8127841254426,32
25,1474.0,37.49334369334253,126.75281601147522,21
26,1471.0,37.503236364424964,126.74932331487928,3
27,1435.0,37.50324354850238,126.75045461530227,3
28,1433.0,37.50233507574581,126.74933233895321,3
29,1418.0,37.4970409602529,126.76748580692009,0
30,1412.0,37.49442046679557,126.78108629275772,37
31,1332.0,37.48531009111398,126.76533815678042,48
32,1324.0,37.5159610632656,126.76616934009724,4
33,1312.0,37.47296449902064,126.81069574434325,31
34,1310.0,37.48724436668926,126.78681073582241,36
35,1283.0,37.506912880266334,126.7606007807069,27
36,1260.0,37.511355142420335,126.75037350294409,11
37,1255.0,37.498758586303566,126.75389336341995,21
38,1240.0,37.506941121907,126.76512621828465,27
39,1239.0,37.46479963611788,126.80172434335309,8
40,1190.0,37.48883723738432,126.75286090189695,13
41,1189.0,37.485324136011684,126.76760022550378,43
42,1171.0,37.49618155804978,126.77428180464523,33
43,1164.0,37.472043353814,126.80731148682207,31
44,1163.0,37.48268981829872,126.77893657989227,25
45,1161.0,37.485296002911355,126.76307608962941,48
46,1153.0,37.503377987673076,126.7719493989016,2
47,1137.0,37.49087678898304,126.79130095243472,6
48,1130.0,37.477404500181926,126.79934510128052,16
49,1124.0,37.502370886642844,126.75498877709242,19
50,1119.0,37.48527478941086,126.7596829918616,42
51,1099.0,37.503257884157954,126.75271721735163,3
52,1091.0,37.50970096375242,126.77415093045823,1
53,1080.0,37.491633198150375,126.76753862372928,20
