,자전거대여소명,위도,경도,지하철 역_5분이내수,지하철 역_5분이내거리최소,지하철 역_5분이내거리평균,지하철 역_5분이내거리최대
0,공공자전거대여소 부천시청역,37.504938,126.763465,1,0.002051858545313311,0.002051858545313311,0.002051858545313311
1,공공자전거대여소 상동역,37.506069000000004,126.754122,1,0.0031580120788240297,0.0031580120788240297,0.0031580120788240297
2,공공자전거대여소 신중동역,37.503068,126.775751,1,0.0019627040760063705,0.0019627040760063705,0.0019627040760063705
3,공공자전거대여소 부천역,37.484716999999996,126.782677,1,0.0021573491349426606,0.0021573491349426606,0.0021573491349426606
4,공공자전거대여소 송내역,37.488285999999995,126.755075,0,0.0025,0.0025,0.0025
5,공공자전거대여소 부천시청,37.503728,126.766102,0,0.0025,0.0025,0.0025
