운영장소,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
상동역,234,225,304,343,363,519,165,379,308,142
시청역,212,285,388,484,484,432,821,458,327,136
신중동역,160,203,317,280,302,382,147,304,298,112
부천역,90,125,137,174,145,239,82,146,120,87
송내역,40,72,92,114,114,136,48,111,151,45
부천시청,140,206,168,264,160,199,79,241,223,82
굴포천,0,0,0,101,103,68,13,48,73,0
