운영장소,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
상동역,313,415,542,455,633,709,560,548,391,215
시청역,444,468,618,612,601,703,622,640,447,319
신중동역,206,301,371,358,424,524,460,408,314,188
부천역,168,207,247,415,388,393,329,392,184,91
송내역,135,161,214,157,254,225,236,197,144,91
부천시청,57,58,123,114,107,124,109,151,104,44
굴포천,85,105,107,155,64,94,125,231,117,7
