,자전거대여소명,위도,경도,음식점_5분이내수,음식점_5분이내거리최소,음식점_5분이내거리평균,음식점_5분이내거리최대
0,공공자전거대여소 부천시청역,37.504938,126.763465,464,0.00025725607562225204,0.00221436503655594,0.0040728824377238605
1,공공자전거대여소 상동역,37.506069000000004,126.754122,514,0.000314811121470036,0.002471581966398086,0.004073281113786236
2,공공자전거대여소 신중동역,37.503068,126.775751,458,0.0007005187797297097,0.0026072333162173943,0.004049345039711973
3,공공자전거대여소 부천역,37.484716999999996,126.782677,907,0.0006830542172085223,0.002502634909895067,0.004078523061756675
4,공공자전거대여소 송내역,37.488285999999995,126.755075,450,0.00011402890350671797,0.0025537222718562693,0.004078930636610736
5,공공자전거대여소 부천시청,37.503728,126.766102,345,0.0007989345998524142,0.0032031076237902956,0.004071546929196763
6,공공자전거대여소 굴포천,37.51828870000001,126.76075390000001,7,0.0017206675344738705,0.002053438940272417,0.003353239588066791
