,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
263514,스톤네일,생활서비스,이/미용/건강,발/네일케어,126.780998924543,37.4858593440429,경기도 부천시 부일로 460
263542,엄마손꼬마김밥,음식,분식,라면김밥분식,126.769978558392,37.4835375765706,경기도 부천시 경인로134번길 14
263555,웰컴투곱창골,음식,한식,한식/백반/한정식,126.804070435846,37.5245514001244,경기도 부천시 원종로35번길 14
263564,셈네일,생활서비스,이/미용/건강,발/네일케어,126.77597696913,37.5018909102216,경기도 부천시 신흥로 205
263593,고운테라피,생활서비스,이/미용/건강,비만/피부관리,126.81428061013,37.5241858163047,경기도 부천시 원종로 127
263599,부천시재활용녹색센터,소매,중고품소매/교환,중고가전가구,126.786347214429,37.4858603468159,경기도 부천시 부일로505번길 9
263602,바른생갈비,음식,한식,갈비/삼겹살,126.81646778816,37.5268117463527,경기도 부천시 역곡로 474
263650,쉐어헬스,스포츠,실내운동시설,헬스클럽,126.757871123065,37.4943314440213,경기도 부천시 장말로 137
263736,네츄럴필링,소매,화장품소매,화장품판매점,126.747468522353,37.4969697524481,경기도 부천시 신상로 91
263779,ABC마트,소매,종합소매점,시장/종합상가,126.760836134179,37.5044631731619,경기도 부천시 길주로 172
263805,모든인쇄,생활서비스,광고/인쇄,인쇄종합,126.7905565172,37.5200257439174,경기도 부천시 삼작로 262
263809,ORAnail,생활서비스,이/미용/건강,발/네일케어,126.787844938078,37.4932372010944,경기도 부천시 조종로 27
263810,옥길세탁,생활서비스,세탁/가사서비스,세탁소/빨래방,126.817995778082,37.4708094642898,경기도 부천시 양지로 134
263874,간단하지만특별한화피디Cafe,음식,커피점/카페,커피전문점/카페/다방,126.814523165332,37.5181513150512,경기도 부천시 역곡로 376
263875,간단하지만특별한화피디Cafe,음식,커피점/카페,커피전문점/카페/다방,126.790769210731,37.4752824398944,경기도 부천시 은성로 1
263891,브레인스쿨,학문/교육,유아교육,유아교육기관기타,126.753830870086,37.506768198398,경기도 부천시 상동로 108
263950,에이블,음식,한식,한식/백반/한정식,126.750321984092,37.5069293525937,경기도 부천시 길주로77번길 19-22
264046,대화해물파전,음식,한식,한식/백반/한정식,126.805504484106,37.5254309062212,경기도 부천시 소사로776번길 13
264064,서울안마원,관광/여가/오락,요가/단전/마사지,안마시술소,126.764334616539,37.4877676115209,경기도 부천시 중동로85번길 12
264101,메카호프,음식,유흥주점,호프/맥주,126.749724961456,37.490506214784,경기도 부천시 상일로 72
264103,모바일퍼스트,소매,사진/광학/정밀기기소매,핸드폰소매,126.783183756285,37.4836112523781,경기도 부천시 자유로 63
264125,서현영어교습소,학문/교육,학원-어학,학원-외국어/어학,126.765786197813,37.4957569487243,경기도 부천시 부흥로 208-2
264146,ABC마트,소매,종합소매점,시장/종합상가,126.755014008019,37.5043118464915,경기도 부천시 길주로 118
264174,우리정육점,소매,음/식료품소매,정육점,126.751554204255,37.4899849402388,경기도 부천시 부일로191번길 30
264184,향원정,음식,한식,한식/백반/한정식,126.768624526528,37.5026524531792,경기도 부천시 중동로 255
264209,CU내동대보점,소매,종합소매점,편의점,126.791072819877,37.5216799210785,경기도 부천시 수도로 241
264246,에스엠전자,소매,음/식료품소매,식료품점,126.75527048941,37.4888618213233,경기도 부천시 부일로 223
264284,킹노래연습장,관광/여가/오락,무도/유흥/가무,노래방,126.776363818337,37.4809548336571,경기도 부천시 심곡로33번길 15
264326,엄마맘어린이집,학문/교육,유아교육,어린이집,126.804268997209,37.5291216509,경기도 부천시 소사로819번길 9
264381,알로에마임,소매,건강/미용식품,건강식품판매,126.764334616539,37.4877676115209,경기도 부천시 중동로85번길 12
264391,미리내세탁소,생활서비스,세탁/가사서비스,세탁소/빨래방,126.771167340007,37.5006966586424,경기도 부천시 소향로 206
264396,더장작,음식,한식,한식/백반/한정식,126.765176388885,37.516303143399,경기도 부천시 석천로 328-10
264424,25시차이나,음식,중식,중국음식/중국집,126.784149769068,37.4847024438312,경기도 부천시 부천로6번길 23
264447,노랑통닭,음식,닭/오리요리,후라이드/양념치킨,126.773002951928,37.5163757033962,경기도 부천시 평천로751번길 19
264500,찜닭에꽂힌닭집애,소매,음/식료품소매,닭집,126.779771167527,37.505723523355,경기도 부천시 정주로 7
264508,신의주찹쌀순대,음식,한식,한식/백반/한정식,126.79447291305,37.4811950681267,경기도 부천시 경인옛로 22
264554,맛있는떡볶이히야,음식,분식,떡볶이전문,126.788257242743,37.4880154135988,경기도 부천시 부흥로 433-1
264652,GS25심곡제일점,소매,종합소매점,편의점,126.774014931056,37.488391069755,경기도 부천시 신흥로45번길 56
264673,현대이발관,생활서비스,이/미용/건강,남성미용실,126.784698154487,37.5255159644979,경기도 부천시 상오정로7번길 28
264678,세븐일레븐,소매,종합소매점,편의점,126.803711709725,37.5137173303809,경기도 부천시 여월로 65
264730,황기닭곰탕,음식,한식,한식/백반/한정식,126.787203340685,37.488157775224,경기도 부천시 부흥로 428
264758,웰빙건강원,소매,건강/미용식품,건강원,126.78073726764,37.4887399633268,경기도 부천시 장말로352번길 37
264768,깐부치킨,음식,닭/오리요리,후라이드/양념치킨,126.778585343682,37.4986741839014,경기도 부천시 신흥로 170-1
264795,꿀꿀이정육점,소매,음/식료품소매,육류소매,126.817103878591,37.4843612191919,경기도 부천시 경인로536번길 59
264811,태인유통,소매,음/식료품소매,육류소매,126.743842363497,37.4960572451897,경기도 부천시 상이로 81
264839,영재탑보습학원,학문/교육,학원-보습교습입시,학원-입시,126.747148676908,37.4937767031262,경기도 부천시 신상로 45
264840,우리냉.난방시스템,소매,철물/난방/건설자재소매,건축백화점,126.788492820776,37.4825305064326,경기도 부천시 경인로 296-1
264866,KoosHair,생활서비스,이/미용/건강,여성미용실,126.771163906271,37.5029762398522,경기도 부천시 길주로 262
264878,춘천골닭갈비,음식,닭/오리요리,닭갈비전문,126.811202810544,37.4871402632787,경기도 부천시 역곡로20번길 3
264889,산채정식,음식,한식,한식/백반/한정식,126.807684988835,37.4929075045199,경기도 부천시 역곡로85번길 25
264893,매나니마켓,소매,종합소매점,종합소매,126.762398641155,37.51737332661,경기도 부천시 송내대로 388
264896,육클라스,소매,음/식료품소매,정육점,126.785804624868,37.5040106600887,경기도 부천시 길주로391번길 11
264897,크린에이스,생활서비스,세탁/가사서비스,세탁소/빨래방,126.792626215268,37.4751032024126,경기도 부천시 은성로 20
264915,흥부네보리밥분식,음식,한식,한식/백반/한정식,126.785408291211,37.4872833475399,경기도 부천시 부일로495번길 39
264927,진미식당,음식,한식,한식/백반/한정식,126.786552773583,37.5269586664087,경기도 부천시 오정로232번길 50
264953,엘리시엔,생활서비스,이/미용/건강,비만/피부관리,126.798985730727,37.5241664168044,경기도 부천시 성오로117번길 14
265013,청기와뼈다귀,음식,한식,해장국/감자탕,126.782469877668,37.487190027756,경기도 부천시 부일로469번길 29
265046,샤브,음식,한식,한식/백반/한정식,126.782658660422,37.4867054129467,경기도 부천시 부일로469번길 20
265053,로데오고시원,학문/교육,도서관/독서실,고시원,126.752502011944,37.4907878632982,경기도 부천시 상일로94번길 16
265110,스타벅스,음식,커피점/카페,커피전문점/카페/다방,126.784366499272,37.4929581769831,경기도 부천시 부천로 97
265141,미리내해물칼국수,음식,분식,국수/만두/칼국수,126.775911987392,37.4989438524236,경기도 부천시 조마루로291번길 30
265151,CU,소매,종합소매점,편의점,126.813495705801,37.4830095173969,경기도 부천시 부광로 19
265302,유리카모메,음식,유흥주점,룸살롱/단란주점,126.752895999913,37.4902153612342,경기도 부천시 송내대로73번길 21
265310,슈즈월드,소매,가방/신발/액세서리,신발소매,126.755594905193,37.4911178259052,경기도 부천시 상일로 120
265333,디지털프라자,소매,가전제품소매,일반가전제품,126.762071535382,37.5043049309835,경기도 부천시 길주로 180
