,자전거대여소명,위도,경도,스타벅스_5분이내수,스타벅스_5분이내거리최소,스타벅스_5분이내거리평균,스타벅스_5분이내거리최대
0,공공자전거대여소 부천시청역,37.504938,126.763465,3,0.0009118404437328406,0.001141363368855506,0.0015136523193489328
1,공공자전거대여소 상동역,37.506069000000004,126.754122,3,0.00032237652959243244,0.0018163504159396527,0.0032215748812882486
2,공공자전거대여소 신중동역,37.503068,126.775751,2,0.001756570274576027,0.0022985336501185156,0.0028404970256610046
3,공공자전거대여소 부천역,37.484716999999996,126.782677,1,0.00067896279771139,0.00067896279771139,0.00067896279771139
4,공공자전거대여소 송내역,37.488285999999995,126.755075,1,0.002472839660323435,0.002472839660323435,0.002472839660323435
5,공공자전거대여소 부천시청,37.503728,126.766102,4,0.0021788528223089165,0.003129766923103589,0.0040609534779962216
6,공공자전거대여소 굴포천,37.51828870000001,126.76075390000001,0,0.0025,0.0025,0.0025
