,자전거대여소명,위도,경도,학문/교육_5분이내수,학문/교육_5분이내거리최소,학문/교육_5분이내거리평균,학문/교육_5분이내거리최대
0,공공자전거대여소 부천시청역,37.504938,126.763465,134,0.00025725607562225204,0.002090269427935495,0.004047506842708572
1,공공자전거대여소 상동역,37.506069000000004,126.754122,316,0.000314811121470036,0.0022410504205452072,0.004073281113786236
2,공공자전거대여소 신중동역,37.503068,126.775751,122,0.001079004870916261,0.0029036322537817957,0.004049345039711973
3,공공자전거대여소 부천역,37.484716999999996,126.782677,66,0.0008233813649075971,0.0022847501296002757,0.004046041255186156
4,공공자전거대여소 송내역,37.488285999999995,126.755075,61,0.0004439611930266373,0.002791272731914242,0.00403174547855574
5,공공자전거대여소 부천시청,37.503728,126.766102,152,0.0007989345998524142,0.002951197098149912,0.004044414073604505
