,군집,인구밀도,위도,경도,부동산_5분이내수,부동산_5분이내거리최소,부동산_5분이내거리평균,부동산_5분이내거리최대
0,0,677.3636363636364,37.49704094748323,126.76748581571282,17,0.0005968660369417281,0.002685362881989973,0.003977973316669835
1,3,1207.3076923076926,37.50144040778585,126.75038562267973,55,0.00118197938187469,0.0028603798737775674,0.003955432554864204
2,5,553.6666666666666,37.49646065341709,126.78722585647142,20,0.0008437835261398002,0.002381987742603831,0.003907403569565052
3,6,599.4444444444445,37.490873005276256,126.79067255166255,8,0.0009041524991952768,0.002089539731040477,0.0040587253686435705
4,10,564.5,37.48092730947997,126.79808692370472,13,0.001549154105894514,0.0027849926695600164,0.00407972897308812
5,15,551.3333333333334,37.52150044028708,126.78761642818823,11,0.0014616119697485222,0.0027102267321087413,0.003704484066019522
6,18,552.5714285714286,37.517252456709755,126.78781847372535,13,0.0014884196578353259,0.0028969457159462933,0.003852943871527068
7,22,542.4,37.520186540649185,126.79396606424343,14,0.0005944470911756111,0.002093449940598096,0.003832121206095174
8,25,597.0,37.479171568507674,126.77979292848022,27,0.000885081915683247,0.0022132544314505567,0.004001068765410337
9,26,566.4,37.47322078230864,126.79305097338606,18,0.000633699210058917,0.0027292508930792806,0.0037483980435906424
10,29,496.9,37.49474826157966,126.76117322387995,16,0.0006787518088995165,0.0026240975279604225,0.003923712441655932
11,30,522.4166666666666,37.47781896735694,126.80593869563185,25,0.0011462700726089662,0.0026946714319727068,0.004066713287301674
12,35,725.0,37.46260057050597,126.8109793671262,5,0.0016557601951592775,0.0017144548282764086,0.001753584583687829
13,37,684.5833333333334,37.4947902590584,126.78014003944168,39,0.00058717360994562,0.002727400322604665,0.0040861921529468295
14,42,609.5714285714286,37.48442010278713,126.75686369812401,15,0.000637783428431753,0.002248736035001074,0.003579033739538462
15,43,606.1,37.48470931709585,126.7702077357078,15,0.001038078863652145,0.00290076137076295,0.0040618862966190356
16,44,515.6666666666666,37.47876343322727,126.77558129077593,17,0.000264161601981271,0.002208682559975044,0.0034605841709894627
17,47,626.1538461538463,37.50043735437556,126.77859188902809,53,0.0007859139498009569,0.0027494766732785677,0.0040120826215169535
18,48,816.5,37.485523072415255,126.76335662667056,32,0.0005516426548308612,0.0024366662768074616,0.004004297925891398
19,11_0,484.0,37.50662337232883,126.75042081240127,82,0.0002582988382195487,0.002347992301732905,0.003707739696181381
