,군집,인구밀도,위도,경도,부동산_5분이내수,부동산_5분이내거리최소,부동산_5분이내거리평균,부동산_5분이내거리최대
54,33_1,667.0,37.495095827246864,126.77361357230616,20,0.00040758232184110333,0.002848432307604203,0.004080613139926041
55,34_0,507.5555555555555,37.48007918223076,126.81138440210718,13,0.000516243834582517,0.0031007166744715592,0.0039804347909640474
56,34_1,514.4,37.481284120841934,126.81536971920177,20,0.0010507594611336936,0.0029254780189190955,0.003859998509382855
57,36_0,635.8571428571429,37.48698587497024,126.78665160267076,39,0.0002889410676715464,0.0027293812876189806,0.004057461139815273
58,36_1,542.75,37.489919141156776,126.7819778170424,39,0.0009468811937125342,0.00263287394639854,0.0040657930693797075
59,38_0,561.0,37.50187505103528,126.78412604466044,17,0.0006822436570438851,0.0029077879419816505,0.0040583843050089495
60,38_1,628.6666666666666,37.505699265512206,126.7830524031113,21,0.0009049051484953832,0.0025967257715976103,0.004004482197152652
61,39_0,517.8,37.489961453333954,126.81958898787596,2,0.0011485271384673746,0.0012241524423910585,0.0012997777463147424
62,39_1,595.0,37.483821734121975,126.81775953496565,10,0.0006108530577468603,0.002277732173118963,0.004053522162910984
63,40_0,780.2857142857142,37.46364720974909,126.82499681675252,2,0.0024312555118912865,0.0025479898952801548,0.002664724278669023
64,40_1,716.8571428571429,37.463745394447116,126.8196651018302,5,0.0010154765319418673,0.0015478040391991306,0.0027744172572611524
65,41_0,564.9090909090909,37.52911721318797,126.80071366661132,16,0.0011338310084024325,0.0033154565122441035,0.003953096309565577
66,41_1,528.1,37.523737972881214,126.8000436935546,16,0.00034488913184835946,0.0023248070227973707,0.004052327397216522
67,45_0,458.0,37.483735905971656,126.8030562359828,4,0.0024562375663392234,0.0030554725801444126,0.00384264848876976
68,45_1,523.6666666666666,37.48656435168359,126.80717742448117,19,0.0006235053535025343,0.002350770051322697,0.004025338505617364
69,46_0,628.8333333333334,37.47855388148215,126.76596980414513,11,0.0008356905205898079,0.0025124352298697837,0.003949813875384949
70,46_1,565.5,37.480608077212636,126.77019108051657,12,0.00012431652813667965,0.0023960237624398883,0.004014260626490341
71,49_0,504.0,37.52916699757811,126.81996534049809,14,0.0008934344071959043,0.0023480769960728684,0.004009426812536914
72,49_1,530.8181818181819,37.52589323911434,126.8239954081498,6,0.00048516134118005384,0.002410617757970753,0.00328309549367793
73,4_0,499.0,37.514525672583815,126.77256119805305,17,0.0010326309207302263,0.0027481103801245657,0.004010026530743146
74,4_1,728.25,37.51416550140915,126.76731845840172,19,0.0006402629673127875,0.0023961179510122977,0.003946768129954201
75,7_0,555.4,37.5242965582155,126.81073299521229,22,0.000272162576837794,0.002210093585797523,0.004084250865604271
76,7_1,475.25,37.53007201732828,126.80804841662338,19,0.0019674990889658635,0.003275652766214446,0.0040569615524000254
77,8_0,632.25,37.46999714007743,126.8042204516408,7,0.0018001005077515,0.003266562861007481,0.004050101106029731
78,8_1,677.8571428571429,37.46788312881544,126.8005647981234,9,0.0010948912494451537,0.0018351330230791047,0.0036502600147692485
79,9_0,1836.5,37.510267854501464,126.75660750445805,33,0.001257780429935147,0.0027521137835677346,0.0039834393276742715
80,9_1,1701.25,37.51432898976387,126.75741587493505,15,0.0007308912311027579,0.0021838080199925347,0.003537625784218552
