,자전거대여소명,위도,경도,관광/여가/오락_5분이내수,관광/여가/오락_5분이내거리최소,관광/여가/오락_5분이내거리평균,관광/여가/오락_5분이내거리최대
0,공공자전거대여소 부천시청역,37.504938,126.763465,38,0.001233029385588849,0.0022936696708391,0.003483745404068965
1,공공자전거대여소 상동역,37.506069000000004,126.754122,99,0.0007573869728081611,0.0023456236487085507,0.0038118753533709607
2,공공자전거대여소 신중동역,37.503068,126.775751,55,0.0011985834948516725,0.0027847826793354863,0.004049345039711973
3,공공자전거대여소 부천역,37.484716999999996,126.782677,120,0.0006830542172085223,0.0023947137777142464,0.0040806270461566764
4,공공자전거대여소 송내역,37.488285999999995,126.755075,46,0.0010065608349635838,0.002468446127621648,0.003733412801628374
5,공공자전거대여소 부천시청,37.503728,126.766102,21,0.001914500427138284,0.003078802590548561,0.003900029270193527
