,자전거대여소명,위도,경도,숙박_5분이내수,숙박_5분이내거리최소,숙박_5분이내거리평균,숙박_5분이내거리최대
0,공공자전거대여소 부천시청역,37.504938,126.763465,5,0.0019379452418288989,0.0021610755901578576,0.002263715472850132
1,공공자전거대여소 상동역,37.506069000000004,126.754122,10,0.002399571491342941,0.0027605204083692575,0.003610510145799839
2,공공자전거대여소 신중동역,37.503068,126.775751,0,0.0025,0.0025,0.0025
3,공공자전거대여소 부천역,37.484716999999996,126.782677,61,0.0009300906793833303,0.0027164461792415474,0.004016709145812751
4,공공자전거대여소 송내역,37.488285999999995,126.755075,7,0.0015231987004552538,0.0027613522070725725,0.0038166246990568964
5,공공자전거대여소 부천시청,37.503728,126.766102,5,0.0022604265976823965,0.002682030787781847,0.0029630339725031916
