,자전거대여소명,위도,경도,체육시설_5분이내수,체육시설_5분이내거리최소,체육시설_5분이내거리평균,체육시설_5분이내거리최대
0,공공자전거대여소 부천시청역,37.504938,126.763465,14,0.00019195129590452828,0.0020180786181243876,0.003550403227855277
1,공공자전거대여소 상동역,37.506069000000004,126.754122,30,0.0008832324835443373,0.002080834452363871,0.003952200021514285
2,공공자전거대여소 신중동역,37.503068,126.775751,13,0.0017847369694108212,0.0031291055026266006,0.004011295607396115
3,공공자전거대여소 부천역,37.484716999999996,126.782677,9,0.0013211909248911303,0.002869914553017695,0.003633515391465284
4,공공자전거대여소 송내역,37.488285999999995,126.755075,8,0.002954185972973772,0.003444661150968098,0.003951382583219681
5,공공자전거대여소 부천시청,37.503728,126.766102,16,0.0009176395915581936,0.003021888964540479,0.004075381034957199
